File path,Title,AltTitle.other,Local ID,Parent ARK,Item ARK,Resource.Type,Date.normalized,Date.creation,Creator 1 Name,Creator 2 Name,Language,Copyright Status,Geographic-coverage,Genre,Repository
,Blaeu Atlas,,,,,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,,,
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_001.tif,[Title page],,THE ATRVM,,ark:/21198/zz0017s3dk,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_002.tif,Regiones sub Polo Arctico.,Regions below the Arctic Pole.,Regiones svb polo Arctico-4,,ark:/21198/zz0017s2qr,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Polo Arctico [Arctic Pole],maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_003.tif,Tabula Islandiæ.,Map of Iceland.,ISLANDIA,,ark:/21198/zz0017rrgb,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Islandia [Iceland]|~|Iceland,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_004.tif,"Diœcesis Stavangriensis, &amp; partes aliquot vicinæ.","Diocese of Stavanger, & several neighboring parts.","BERGA,STAVANGRIA",,ark:/21198/zz0017rq4p,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Stavangria [Stavanger]|~|Norway,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_005.tif,Dania Regnum.,Kingdom of Denmark.,DANIA,,ark:/21198/zz0017rqnf,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Dania [Denmark]|~|Denmark,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_006.tif,Fionia vulgo Funen.,"Fionia, commonly known as Funen [Fyn].",FIONIA,,ark:/21198/zz0017rqz3,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Funen [Fyn] |~|Fionia|~|Denmark,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_007.tif,"Suecia, Dania, et Norvegia, regna Europæ septentrionolia.","Sweden, Denmark, and Norway, kingdoms of northern Europe.",SVECIA,,ark:/21198/zz0017s35z,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Norvegia [Norway]|~|Suecia [Sweden]|~|Dania [Denmark]|~|Sweden|~|Denmark|~|Norway,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_008.tif,Gothia.,Götaland.,UCLA,,ark:/21198/zz0017s3mp,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Gothia [Götaland]|~|Sweden,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
Masters/othermasters/nux_bruman/atlases/blaeu/bruman_blaeu_009.tif,Ducatus Vplandia.,Duchy of Uppland.,VPLANDIA,,ark:/21198/zz0017s3pq,cartographic,1645,1645,"Blaeu, Joan, 1596-1673","Blaeu, Willem Janszoon, 1571-1638",lat,pd,Uplandia [Uppland]|~|Sweden,maps,"University of California, Los Angeles Library, Henry J. Bruman Map Collection"
