Project Name,Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Title,Alt ID.local,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002hwdm2,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002hwdm2_2310675_master.tif,,tombstones|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Memorial inscription on stone for Sylvia Ruth DuCane, born 12 Feb. 1870 died 16 May 1907. Oblong folio sheet, design is in 2 sections. Signed AER Gill.",1907 July 1,1907-07-1,"19 3/8 x 9 1/4""",Untitled,CEG367,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hwdm2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hwdm2/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5ffz,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5ffz_2310672_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Original design for inscription on the frieze of the Council Chamber at County Hall, Northallerton.",1907 January 29,1907-01-29,"31 x 6 1/2""","Untitled (Council Chamber at County Hall, Northallerton)",CEG366,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5ffz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5ffz/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fgg,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fgg_2310678_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Design for inscription on stone, “Edmondus Warre…” Signed and dated by Gill.",1908 December 14,1908-12-14,"8 1/4 x 3 3/4""",Untitled,CEG368,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fgg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fgg/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fh0,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fh0_2310695_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Design for inscription on stone, “Edmondus Warre…” Signed and dated by Gill. Annotation reads, “…very rough, but I think it suggests how the lettering would go in.”",1908 December 8,1908-12-8,"10 1/2 x 6 3/8""",Untitled,CEG369,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fh0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fh0/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fjh,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fjh_2310698_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Original design for an inscription. Memorial stone to Irene Elder Morgan. Large oblong folio sheet, signed by Gill, “AER Gill for Gill & Christie.”",1907 June 19,1907-06-19,"32 3/8 x 13""",Untitled,CEG370,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fjh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fjh/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fk1,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fk1_2310701_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and watercolor on paper,"Sketch of a frame to be carved, and lettered at top, “Ave Maria plena gratia.” Marginal notes discuss size and carving details. Not identified in Gill business records, or included in Gill Inscriptional work.",1908 August,1908-08,"18 x 7 1/4""",Untitled,CEG371,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fk1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fk1/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fmj,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fmj_2310704_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and watercolor on paper,"Setting out for inscription on pier in Church at Upton in Severn (scale: 1”=1’): pencil finished drawing, color washed, with scale annotations by artist indicating 9’6” height for 3’6” base. Inscription (31 lines) begins, “This window was erected by his friends in memory of George Edward Martin of Ham. Court… born 11 Nov. 1829 died 12 Feb. 1905…” Gill Journal, Job 169 (1906) indicated this may have been drawing # 1 of a series (& this one not executed) for Mrs. Martin.",1906 July 4,1906-07-4,4 ¾ x 16 ½”,Eric Gill II,CEG372,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fmj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fmj/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fn2,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fn2_2310707_master.tif,,rubbings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,"Isias 53.2, rubbing of inscription of four lines beginning “Ex ascendet sicut virguetum coram…”",1913 January,1913-01,"40 x 14""",Isias 53.2,CEG373,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fn2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fn2/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fpk,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fpk_2310710_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"2 1/4 x 3 1/2""",The Crucifix: York Minster,CEG374,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fpk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fpk/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fq3,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fq3_2310713_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"3 x 4 1/2""",The Crucifix: York Minster,CEG375,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fq3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fq3/manifest
