Becky's notes!,Project Name,Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Title,Alt ID.local,IIIF Manifest URL
,Eric Gill Artwork Collection,ark:/21198/zz002d1s2n,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s2n%2Fgt278k92,drawings (visual works)|~|erotica,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"A sketchbook with three pencil nudes: female, back view from shoulders to knees; male, front view from chest to knees; male genitals.",1939 January,1939-01,"7 3/4 x 10 1/4""",Three pencil nudes,CEG1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s2n/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1tqz,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1tqz%2Fng92dg6d,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,"Two gridded drawings of a hand holding a tool, perhaps a chisel. The same drawings are traced on the reverse, with text in Gill’s hand explaining how the tool is used.",undated,1914/1963,"7 1/2 x 10 3/4""",Untitled,CEG50,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1tqz/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1v0k,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v0k%2Fg007zz28,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Drawing of a hand making a fist. Initialed and dated in Gill’s hand, along with the phrase “from Geering” [or “from Seering?”].On verso is a rough sketch of the back of a hand.",1914 June 10,1914-06-10,"7 x 10""",Untitled,CEG58,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1v0k/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1v6p,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v6p%2F6t016n88,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0065_a,CEG0065_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1v6p/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1vqf,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1vqf%2Fm812bg05,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0080_a,CEG0080_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1vqf/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1wnw,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wnw%2Fg649gk7d,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and crayon on paper,"Girl, nude to waist, seated dejectedly on end of her bed. Caption in pencil by Gill: “It may be life, but ain’t it dull?” Matt removed. Dealer’s description of item is contained in same folder.",1928 November 5,1928-11-5,"6 7/8 x 8 7/8""",Untitled,CEG121,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1wnw/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1wsz,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wsz%2Fqb66dh3v,portraits,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,"Tegetmeier, Petra, 1906-1999|~|Gill, Mary Ethel (1878-1961)|~|Pepler, Betty Gill","Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu","pencil on paper, mounted on board","Three portraits drawn in profile; Gill’s wife Mary Ethel Gill on the left and Petra and Elizabeth Gill on the right. Annotated in Gill’s hand on the bottom, “For Elizabeth, Christmas 1921.”",1921 December,1921-12,"7 1/2 x 10 3/4""",Untitled,CEG127,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1wsz/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1x4m,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x4m%2Fzw27158v,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,"2 pages of sketches: (1) Five small sketches depicting a group of animals, a group of people, two hands reaching toward one another, a single hand, and an elbow. (2) Sketch of a group of figures leaning together toward some Latin text.",undated,1914/1963,,Untitled (League of Nations sketches),CEG143,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1x4m/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1x8p,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x8p%2Fj1889s56,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,2 sheets of sketches of male nude figures reaching towards disembodied hands.,undated,1914/1963,"9 x 8 1/4""",Untitled (League of Nations sketches),CEG147.1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1x8p/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1x96,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x96%2F9q06m01g,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Two gridded off drawings. (1) Sketch of reclining nude male figure reaching toward a disembodied hand. (2) On the left, a group of human figures leaps upward from the left, and on the right a group of animals leaps upward to the left.",,,"10 1/4 x 4""",Untitled (League of Nations),CEG149,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1x96/manifest
