File Name,Parent ARK (fester),Parent ARK,Item ARK,Object Type,Item Sequence,Local identifier,Title,viewingHint,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1087pw7,Work,,uclalsc_1889_b02_f02_009b.tif|~|uclalsc_1889_b02_f02_018.tif|~|uclalsc_1889_b02_f02_019.tif|~|uclalsc_1889_b02_f02_020.tif,"Biographical note about Robert Owens, Sr., written by his grandchild, Robert Curry Owens",individuals,,"Robert Curry Owens, wife Anna Dugger, her Dugger family",still image,[1900-1932],1900/1931,,,"Owens, Robert Curry, 1859-1932",,,,local,"Robert Owens, Sr., came to Los Angeles in 1850 and established himself as a horse and mule trader, and stable owner. His son, Charles Owens, married Ellen Mason, an ex-slave and the daughter of Bridget “Biddy” Mason.",,4 pp.,"Text: (1) My Grandfather. In the year 1850 my grandfather arrived in L.A. crossing the plains by team in six months. Shortly after my grandfather (Bob Owens) arrived he became very  popular with all classes. Among his most intimate friends were J. G. Downey afterwards Governor Downey, Judge Drowns, Col. Ker[...], Judge Dryden, J. G. Howard, Doctor Griffin, Gen. Hancock, and Gen. Johnston, and Gen. Banning. He was a trader, principally in horses and mules. He made many trips to the large ranches in San Diego.|~|Text: (2) and returned with two & three hundred animals mostly for saddle & pack purposes, these animals were all wild. When they arrived at ""Bob Owens Corral"" on San Pedro St. they were met by ten Vaqu[...] with saddles and the fun was on. When the steamer [...] arrived from San Francisco it seemed that everybody headed for old Bob stable. Buying an outfit and off for Arizona, many a mule half broken to the saddle, returned to the ranch after dumping its rider. When the war came on my grandfather established a stable on Main Street, the site of the old L. A. theatre. It extended to what's known [...]Text: (2) and returned with two & three hundred animals mostly for saddle & pack purposes, these animals were all wild. When they arrived at ""Bob Owens Corral"" on San Pedro St. they were met by ten Vaqu[...] with saddles and the fun was on. When the steamer [...] arrived from San Francisco it seemed that everybody headed for old Bob stable. Buying an outfit and off for Arizona, many a mule half broken to the saddle, returned to the ranch after dumping its rider. When the war came on my grandfather established a stable on Main Street, the site of the old L. A. theatre. It extended to what's known [...]|~|Text: (3) as L. A. Street at that time. It was the property of my father Chas. Owens where I was born. When war was declared, my grandfather signed a contract to furnish Hay at San Pedro for the Government's use. His Main St. Stable was known as ""Government Corral."" as his contract called for the care of all animals belonging to the Government while in the city. Shortly after my grandfather arrived in L.A. he became interested in a strip of property on San Pedro St. but had no capital. He went to a friend then known as ""Rowa the Baker"" at the [...]|~|Text: (4) corner of Main and First St. He stated the object of his visit and offered his note. Mr. Rowan promptly replied “Bob” if your word is no good, your note is worth less. With that they started for Temple Block the only place in town to leave your money. He handed my grandfather $1500 with this remark, now Bob you pay me just as soon as you can. This Rowan the Baker was the father of Tom Rowan at one time mayor of L. A. and held other important offices.",public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Robert, Sr., d. 1865",,local,African American pioneers,lcsh,,,,,biographies (documents),aat,"Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6m77,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087pw7/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1vh76cw,Work,,uclalsc_1889_b03_f03_001a.tif|~|uclalsc_1889_b03_f03_002a.tif|~|uclalsc_1889_b03_f03_003a.tif|~|uclalsc_1889_b03_f03_004a.tif|~|uclalsc_1889_b03_f03_005a.tif|~|uclalsc_1889_b03_f03_006a.tif|~|uclalsc_1889_b03_f03_007a.tif|~|uclalsc_1889_b03_f03_008.tif,"Freedom Papers of Biddy Mason, given to her in 1860 (photographed 1930-1989)",individuals,,Biddy Mason freedom papers (photographs),still image,[1930-1989],1930/1989,,,,"Hayes, Benjamin Ignatius, 1815-1877",,,local,"Certified copy of the Freedom Papers of Biddy Mason, composed by Judge Benjamin Ignatius Hayes and copied by the clerk of the District Court.",,8 pp.,On backs of photos: Collection of Miriam Matthews. Please credit Miriam Matthews.,public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Mason, Biddy, 1818-1891",,naf,,,,,,,civil court records,aat,Biddy Mason freedom papers (photographs),"Box 3, Folder 3",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1mhr,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vh76cw/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1qr6fmq,Work,,uclalsc_1889_b05_f07_003.tif|~|uclalsc_1889_b05_f07_004.tif,"Letter to Dr. Dorothy Height from Gaynelle & Al Green about the Allensworth Historical project, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,"May 7, 1976",1976-05-07,,,,"Green, Gaynelle Mason, 1910-1980|~|Green, Al (Alfred), 1906-1988",,,local,"Letter to Dr. Dorothy Height, President of the National Council of Negro Women, from Gaynelle and Al Green about the Allensworth Historical Project. Al Green was the Chairman of the Allensworth Advisory Committee. Mr. and Mrs. Green are asking Ms. Height to write to Director Herbert Rhodes, California State Historic Parks & Recreation, urging him to move forward with the restoration and development of Allenstown State Park. |~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914|~|California. Department of Parks and Recreation",,naf|~|naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,correspondence|~|typescripts,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng67q6,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr6fmq/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/r289140b,Work,,uclalsc_1889_b05_f07_006.tif|~|uclalsc_1889_b05_f07_007.tif,"Letter from Al Green, announcing a meeting about Allensworth State Park on May 14, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,"May 14, 1976",1976-05-14,,,,"Green, Al, 1906-1988",,,local,"Letter from Al Green, Chairman of the Allensworth Advisory Committee, announcing a Public Hearing California Parks & Recreation devoted to the Allensworth Project, on May 14, 1976. |~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914|~|California. Department of Parks and Recreation",,naf|~|naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,correspondence|~|typescripts,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18640fs,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fr289140b/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1m05pz6,Work,,uclalsc_1889_b05_f07_008.tif|~|uclalsc_1889_b05_f07_009.tif,"Letter to Eugene Lasartemay from Arthur M. Robinson, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,"May 21, 1976",1976-05-21,,,,"Robinson, Arthur M.",,,local,"Letter from Arthur M. Robinson, Commissioner, State Parks, to Eugene P. Lasartemay, President of the East Bay Historical Society and member of the subcommittee of the Allensworth Advisory Committee, about a public hearing to be held by the State Parks and Recreation Commission about the general development plan and resource management for the Colonel Allensworth State Historic Park to take place on May 14, 1976. Robinson expresses his view that this should not become a large expensive historic park. He suggests that a commemorative park for Allensworth be established in Los Angeles.|~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914|~|California. Department of Parks and Recreation",,naf|~|naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,correspondence|~|typescripts,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2h2n,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m05pz6/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1gb3njv,Work,,uclalsc_1889_b05_f07_010.tif|~|uclalsc_1889_b05_f07_011.tif,"Letter to Arthur M. Robinson from: Eugene Lasartemay, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,"May 24, 1976",1976-05-24,,,,"Lasartemay, Eugene Pascual, 1903-1993",,,local,"Letter from Eugene P. Lasartemay, President of the East Bay Historical Society, and member of the subcommittee of the Allensworth Advisory Committee, to Arthur M. Robinson, Commissioner, State Parks. Mr.  Lasartemay tells Mr. Robinson that he feels that a park commemorating the contribution of Colonel Allensworth should not be in Los Angeles, but in Allensworth, ""where Col. Allensworth envisioned, intellectually formulated and founded as a sanctuary for an aggrieved people."" He provides the addresses of other organizations that Mr. Allensworth can contact to gain a wider collection of opinions|~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914|~|California. Department of Parks and Recreation",,naf|~|naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,correspondence|~|typescripts,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r79z95,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gb3njv/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1bk2ww1,Work,,uclalsc_1889_b05_f07_012.tif|~|uclalsc_1889_b05_f07_013.tif,"Letter to Ida Berk from Al Green, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,"May 3, 1976",1976-05-03,,,,"Green, Al, 1906-1988",,,local,"Letter from Al Green, Chairman of the Allensworth Advisory Committee, to Ida Berk, Senior Planner, Economic Opportunity Commission, about Colonel Allensworth State Park. Mr. Green congratulates Ms. Berk on her appointment to the California Parks and Recreation Commission. He tells her about the history of opposition to having the park in its historic location (Allensworth town), and the attempt to move it to an urban area. He tells her why the historic site is the best location for the park. |~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914|~|California. Department of Parks and Recreation",,naf|~|naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,correspondence|~|typescripts,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8fs6,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bk2ww1/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z16t2570,Work,,uclalsc_1889_b05_f07_015.tif|~|uclalsc_1889_b05_f07_016.tif,"Letter to Anita Hagen from Al Green, 1976",individuals,,"Documents regarding town of Allensworth, anniversary.",still image,1976,1976,,,,"Green, Al, 1906-1988",,,local,"Letter from Al Green, Chairman of the Allensworth Advisory Committee, to Anita Hagen, editor of a paper titled Insight. Apparently Insight published a story claiming that the town of Allensworth was a faded dream. Mr. Green explains to her why he thinks that this is not true, that Allensworth is a diamond, and invites her to join those advocating for Allensworth.     |~|Allensworth town was founded 1908 with the idea that African Americans could own property, learn, thrive, and live the American Dream. It was named after Colonel Allen Allensworth. The town diminished after the 1914 death of Allensworth, combined with a severe drought and reduced drop yields; by 1918 many residents had left. In 1976 Colonel Allensworth State Historic Park was created commemorate and preserve the town and plans were made for the restoration of 30 buildings.",,2 pp.,,copyrighted,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Allensworth, Allen, 1842-1914",,naf,Colonel Allensworth State Historic Park (Calif.),lcsh,Allensworth (Calif.),lcsh,,,photographs,aat,"Allen Allensworth ; Documents regarding town of Allensworth, anniversary.","Box 5, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f66p1,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16t2570/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1x65509,Work,,uclalsc_1889_b08_f03_004a.tif|~|uclalsc_1889_b08_f03_004b.tif,"Envelope addressed to E. H. Johnson, 1892",individuals,,"Danley family, original small photos",still image,July 1892,1892-07,,,,,,,,"Envelope addressed to E. H. Johnson (Ernest Houston Johnson), #600, d St., Sacramento, Cal. |~|Ernest Houston Johnson, was the first Black graduate of Stanford University in the class of 1895. He was the brother of Helena and Belle Johnson.",,2 pp.,,public domain,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Johnson, E. H. (Ernest Houston), 1871-1898",,local,African American men,lcsh,Sacramento (Calif.),lcsh,,,envelopes,aat,Danley/Johnson/Saunders families,"Box 8, Folder 3",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6dpw,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x65509/manifest
,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z18k8tqm,Work,,uclalsc_1889_b12_f10_004.tif|~|uclalsc_1889_b12_f10_005.tif|~|uclalsc_1889_b12_f10_006.tif|~|uclalsc_1889_b12_f10_007.tif,"Incorporation papers of the A. J. Roberts, Sons and Company, 1916",individuals,,A.J. Roberts and Sons Funeral Home,still image,September 1916,1916-09,,,,,,,,"Articles of incorporation of the A. J. Roberts, Sons and Company, establishing the corporation, owned by A. J. Roberts, his wife, Ellen Wayles Hemings, and his children, Frederick, Myrtle E. Roberts Saunders, and William. |~|A. J. (Andrew Jackson) Roberts attended Wilberforce University and Oberlin College. After graduation he taught school, married Ellen Hemings (a granddaughter of Sally Hemings and Thomas Jefferson) in Chillicothe, Ohio, and moved to California as an early pioneer in 1888. He founded a transfer and trucking business in 1905, sold it and founded the A. J. Roberts and Sons mortuary. The firm began at 12th and Los Angeles, moved to 1119-1121 S. Los Angeles, and to 1415 S. Central Avenue in 1922.|~|Ellen Wayles Hemings Roberts was a granddaughter of Sally Hemings and Thomas Jefferson. |~|Frederick Madison Roberts was a  newspaper owner and editor, educator, and business owner. He was also the first African American elected to the California State Assembly. Roberts was a great-grandson of Sally Hemings and President Thomas Jefferson. |~|William Giles Roberts ran the A. J. Roberts, Sons and Company mortuary from 1916 to 1955.",,4 pp. ,,public domain,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Roberts, A. J. (Andrew Jackson), 1852-1927|~|Roberts, Ellen Wayles Hemings, 1856-1940|~|Roberts, Frederick Madison, 1879-1952|~|Saunders, Myrtle Estelle Roberts, 1886-1969|~|Roberts, William Giles, 1889-1975",,local|~|local|~|local|~|local|~|local,African American businesspeople,lcsh,,,,,typescripts,aat,Roberts/Hinds families ; A.J. Roberts and Sons Funeral Home,"Box 12, Folder 10",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0hj0,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18k8tqm/manifest
