Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL
American College of Neuropsychopharmacology,ark:/21198/z1ks8ghn,ark:/21198/zz001hd6s3/4n72f070,,,Page,acnp/image/21198-zz001hd6s3-2-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8ghn
American College of Neuropsychopharmacology,ark:/21198/z1g17qrs,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_001.tif,2,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17qrs
American College of Neuropsychopharmacology,ark:/21198/z1b87029,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_002.tif,3,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87029
American College of Neuropsychopharmacology,ark:/21198/z16h67dg,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_003.tif,4,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h67dg
American College of Neuropsychopharmacology,ark:/21198/z12v4621,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_004.tif,5,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4621
American College of Neuropsychopharmacology,ark:/21198/z1z33pp0,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_005.tif,6,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33pp0
American College of Neuropsychopharmacology,ark:/21198/z1tb2xxt,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_006.tif,7,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2xxt
American College of Neuropsychopharmacology,ark:/21198/z1pk263j,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_007.tif,8,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk263j
American College of Neuropsychopharmacology,ark:/21198/z1jt1fbc,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_008.tif,9,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1fbc
American College of Neuropsychopharmacology,ark:/21198/z1f20pmz,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_009.tif,10,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20pmz
American College of Neuropsychopharmacology,ark:/21198/z1989z0f,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_010.tif,11,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989z0f
American College of Neuropsychopharmacology,ark:/21198/z15m7wp1,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_011.tif,12,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7wp1
American College of Neuropsychopharmacology,ark:/21198/z11v750j,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_012.tif,13,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v750j
American College of Neuropsychopharmacology,ark:/21198/z1x36ngq,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_013.tif,14,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36ngq
American College of Neuropsychopharmacology,ark:/21198/z1sb5wp3,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_014.tif,15,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5wp3
American College of Neuropsychopharmacology,ark:/21198/z1nk54zr,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_015.tif,16,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk54zr
American College of Neuropsychopharmacology,ark:/21198/z1ht4d8w,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_016.tif,17,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4d8w
