Object Type,Parent ARK (fest),Parent ARK,Item ARK,File Name,Local identifier,Title,AltTitle.translated,AltTitle.other,Name.creator,Date.created,Date.normalized,Language,Type.typeOfResource,Genre,Format.dimensions,Repository,collection.physical,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Description.note,Contents note,Subject,Subject geographic,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z15x4ccr,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0008_pos00001.tif,pos_i2_8|~|POS,Shqipëria e re,New Albania,,New Albania Film Studio,1948,1948,alb,still image,poster,82 x 70 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Shqipëria e re"". Russian director Iiya Kopalin's  doc is a portrait of Albania immediately after the Second World War. Poster restored in December, 2017.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar "" Shqipëria e re"". Dokumentari i regjisorit rus Iiya Kopalin është një portret i Shqipërisë menjëherë pas Luftës së Dytë Botërore. Posteri i restauruar në dhjetor 2017.",Poster is in Russian language. 3 copies (1 framed) in good condition. One copy has been folded in fourths. Poster image features hand-designed drawing.  |~|Posteri është në gjuhën ruse. 3 kopje (1 me kornizë) në gjendje të mirë. Një kopje është palosur në të katërsh. Imazhi i posterit përmban vizatime të dizenjuara me dorë.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|1948|~|Albania-Soviet Union Co-Productions,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4ccr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x4ccr/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1253mq7,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0117_pos00001.tif,pos_i2_117|~|POS,Ringjallje,Revival,,New Albania Film Studio,1961,1961,alb,still image,poster,54.5 x 40 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Ringjalle"". Director Endri Keko's doc chronicles past and present day life in Albania.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Ringjalle"". Dokumentari i regjisorit Endri Keko tregon jetën e shkuar dhe të sotmen në Shqipëri.",10 copies in very good condition. 3 copies have minor folds at top of poster. Poster features six production photograph stills taken from film.|~|10 kopje në gjendje shumë të mirë. 3 kopje kanë palosje të vogla në krye të posterit. Posteri përmban gjashtë foto produksioni të marra nga filmi.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|1961,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253mq7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1253mq7/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1xd345f,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0118_pos00001.tif,pos_i2_118|~|POS,Kalitje,The Horse,,New Albania Film Studio|~|Namik Prizreni,1961,1961,alb,still image,poster,96.5 x 67 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Kalitje"". Director Endri and Xhanfise Keko's doc chronicles the country's achievements on the 20th anniversary of the founding of the Albanian Communist Party.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Kalitje"". Dokumentari i regjisorit Endri dhe Xhanfise Keko tregon arritjet e vendit në 20 vjetorin e themelimit të Partisë Komuniste Shqiptare.",1 copy in very good condition.  Some minor tears in bottom right hand corner of poster. Poster image features hand-designed drawing.|~|1 kopje në gjendje shumë të mirë. Disa grisje të vogla në këndin e poshtëm djathtas të posterit. Imazhi i posterit përmban vizatime të dizenjuara me dorë.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|1961,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd345f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd345f/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1sn2cd8,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0124_pos00001.tif,pos_i2_124|~|POS,Me shpatë në dorë,With Swords in Hand,,New Albania Film Studio|~|Vasil Lalo,1962,1962,alb,still image,poster,50 x 35 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Me shpatë në dorë"". Director Endri Keko's doc chronicles Albanian history from the Ottoman Turkish Empire occupation to independence in 1912.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Me shpatë në dorë"". Dokumentari i regjisorit Endri Keko tregon historinë shqiptare nga pushtimi i Perandorisë Osmane Turke deri në pavarësi në 1912.",5 copies in very good condition. 2 copies have minor tears at bottom edge of poster. Poster features hand-designed drawn image. |~|5 kopje në gjendje shumë të mirë. 2 kopje kanë çarje të vogla në skajin e poshtëm të posterit. Posteri përmban vizatime të dizenjuara me dorë.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|Ottoman Turkey Occupation|~|Albania Independence,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2cd8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn2cd8/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1nw1mn3,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0204_pos00001.tif,pos_i2_204|~|POS,Poema e të 20 mijëve,A Poem for the Volunteers,,New Albania Film Studio,1966,1966,alb,still image,poster,39 x 37.5 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Poema e të 20 mijëve"". Director Endri Keko's doc chronicles the achievements of young volunteers throughout Albania.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Poema e të 20 mijëve"".  Dokumentari i regjisorit Endri Keko tregon arritjet e të rinjve vullnetarë në të gjithë Shqipërinë.",5 copies in good condition. 1 copy has minor tears at bottom of poster. Poster is printed on delicate paper. Poster features hand-designed drawing image.|~|5 kopje në gjendje të mirë. 1 kopje ka çarje të vogla në fund të posterit. Posteri është shtypur në letër delikate. Posteri përmban vizatime të dizenjuara me dorë.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|Youth Volunteers,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1mn3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw1mn3/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1j40w00,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0275_pos00001.tif,pos_i2_275|~|POS,Rroftë miqësia revolucionare,Revolutionary Friendship,,New Albania Film Studio,1968,1968,alb,still image,poster,50 x 35 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Miqësi revolucionare"". Director Kristaq Dhamo's doc chronicles the visit of Albanian government officials to China and the visit to Albania by a Chinese military delegation.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Miqësi revolucionare"". Dokumentari i regjisorit Kristaq Dhamo tregon vizitën e zyrtarëve të qeverisë shqiptare në Kinë dhe vizitën në Shqipëri të një delegacioni ushtarak kinez.",1 copy in good condition. Poster is printed on delicate paper.Some minor tearing at bottom of poster. Poster features 6 production stills image from film.|~|1 kopje në gjendje të mirë. Posteri është i printuar në letër delikate. Disa grisje të vogla në fund të posterit. Posteri përmban gjashtë foto produksioni të marra nga filmi.,20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|Albania China Relations,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40w00,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40w00/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1dc04c0,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0421_pos00001.tif,pos_i2_421|~|POS,Shtëpia e foshnjës,At the Orphanage,,New Albania Film Studio,1971,1971,alb,still image,poster,21.5 x 30.5 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Shtëpia e foshnjës"". Director Marianthi Xhako's doc looks at an orphanage and the caregivers who take care of the children. |~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Shtëpia e foshnjës"". Dokumentari i regjisores Marianthi Xhako tregon një jetimore dhe kujdestarët që kujdesen për fëmijët.","1 copy in very good condition. Poster is printed on thin paper. Poster is small lobby card sized notice with title, production credits and short synopsis. |~|1 kopje në gjendje shumë të mirë. Posteri është shtypur në letër të hollë. Posteri është me përmasa të vogla, pa punime grafike por vetëm me titullin, autorët realizues dhe sinops i shkurtër.",20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Orphanages,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc04c0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dc04c0/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z18p82zp,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0470_pos00001.tif,pos_i2_470|~|POS,Na prin partia jonë,The Party Leads,,New Albania Film Studio,1973,1973,alb,still image,poster,35 x 49.5 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Na prin partia jonë"". Director Shkëlzen Shala's doc chronicles the sessions of 7th Congress of the Women's Organisation held in the northern Albanian city of Shkodra.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Na prin partia jonë"". Dokumentari i regjisorit Shkëlzen Shala tregon seancat e Kongresit të 7-të të Organizatës së Gruas të mbajtura në qytetin verior shqiptar të Shkodrës.","7 copies in good condition. 3 copies are printed on slick paper. 4 copies are printed on thin, delicate paper. 2 delicate paper copies have minor tears at right hand side of poster. Poster features two photographic production stills from film.|~|7 kopje në gjendje të mirë. 3 kopje janë shtypur në letër të lëmuar. 4 kopje janë shtypur në letër të hollë dhe delikate. 2 kopje në letër delikate kanë grisje të vogla në anën e djathtë të posterit. Posteri përmban dy foto të produksionit të filmit.",20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Women's Rights|~|Shkoder,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p82zp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p82zp/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z14x7b8t,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0472_pos00001.tif,pos_i2_472|~|POS,Përfaqësuesit e popullit kamboxhian në vendin tonë,Cambodian People's Delegation in Our Country - Visit of Sihanouk,,New Albania Film Studio,1973,1973,alb,still image,poster,25 x 35 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Përfaqësuesit e popullit kamboxhian në vendin tonë"". Director Vitori Çeli's doc chronicles the visit to Albania by the Cambodian statesman Norodom Sihanouk.|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Përfaqësuesit e popullit kamboxhian në vendin tonë"". Dokumentari i regjisores Vitori Çeli tregon vizitën në Shqipëri nga politikani kamboxhian Norodom Sihanouk.","11 copies in very good condition. Poster is printed on thin paper. Poster is small lobby card sized notice with title, production credits and short synopsis.|~|11 kopje në gjendje shumë të mirë. Posteri është shtypur në letër të hollë. Posteri është me përmasa të vogla, pa punime grafike por vetëm me titullin, autorët realizues dhe sinops i shkurtër.",20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|Cambodia|~|Norodom Sihanouk,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7b8t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x7b8t/manifest
Work,ark:/21198/z1s19vm6,ark:/21198/z1s19vm6|~|ark:/21198/z13b7wpn,ark:/21198/z1156kjd,Masters/othermasters/MEAPaqshf/images/aqshf_i2_0473_pos00001.tif,pos_i2_473|~|POS,"Ansambli ""Shota""",Shota' Ensemble,Mozaik kengesh e vallesh,New Albania Film Studio,1973,1973,alb,still image,poster,25 x 34.7 cm,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Documentary Film Poster Collection,copyrighted,unpublished,info@aqshf.gov.al,"Original poster release created for the Albanian documentary film ""Ansambli ""Shota"". Director Ismail Zhabjaku's doc chronicles the Albanian tour of the Kosovar folk ensemble 'Shota' from Pristina, Kosovo (formerly Yugoslavia).|~|Afishe origjinale e krijuar për filmin dokumentar shqiptar ""Ansambli ""Shota"". Dokumentari i regjisorit Ismail Zhabjaku kronikën e turneut shqiptar të ansamblit folklorik kosovar 'Shota' nga Prishtina e Kosovës (ish Jugosllavi).","48 copies in very good condition. Poster is printed on thin paper. All copies have been lightly folded vertically in middle. Poster is small lobby card sized notice with title, production credits and short synopsis.|~|48 kopje në gjendje shumë të mirë. Posteri është shtzpur në letër të hollë. Të gjitha kopjet janë palosur lehtë vertikalisht në mes. Posteri është me përmasa të vogla, pa punime grafike por vetëm me titullin, autorët realizues dhe sinops i shkurtër.",20th Century|~|Film|~|East European Cinema|~|Motion Picture Posters|~|Documentary|~|Historical Events|~|Folk Music|~|Yugoslavia|~|Kosovo|~|Prishtina|~|Shota Ensemble,Tirana (Albania)|~|Albania,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156kjd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156kjd/manifest
