File name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,Local ID,Original language title,English translation of title,Alternative title,Creator,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Dimensions,Institution/Repository,collection name,collection number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Note.content,Subject.topic,Digital Collection Title
aqshf_i4_0001_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1hh8c43,2,Completed,Work,pos_i4_1,Vajza Me Pata,The Goose Maid,,"""New Albania"" Film Studio|~|Astrit Tota","""New Albania"" Film Studio","Tirana, Albania",1975,1975,alb,still image,poster,47 x 32.5,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,published,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Vajza Me Pata"". Directed by Esat Musliu, this is Albania's first nationally produced animation. The story is a filming of a puppet theater show in the central Albanian city of Elbasan.|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor “Vajza me Pata”. Me regji nga Esat Musliu, ky është filmi i parë vizatimor prodhuar në Shqipëri. Historia ndjek filmimin e një shfaqje teatrale kukullash në qndër të qytetit të Elbasanit.",25 copies of poster in archive collection. One copy is in excellent condition. 23 copies have blue ink streak in right side of poster.  One copy has minor rip in right side corner.|~|Në koleksion ndodhen 25 kopje të njëjta posterash për këtë titull. Një nga kopjet është në gjendje shumë të mirë. 23 kopje kanë një rigë në ngjyrë blu në anën e djathtë të posterit. Një nga kopjet ka një grisje të vogël në cepin e djathtë.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation|~|Elbasan (Albania)|~|Puppetry,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0002_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1cr7mhq,2,Completed,Work,pos_i4_2,Zana Dhe Miri,Zana and Miri,,"""New Albania"" Film Studio|~|Vlash Droboniku","""New Albania"" Film Studio","Tirana, Albania",1975,1975,alb,still image,poster,47 x 32.5,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,published,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Zana Dhe Miri"". Directed by Vlash Droboniku and Tomi Vaso, this film tells the story of two little children who learn to respect nature while playing with a ball. Animated film uses paper cut-out technique and drawing.|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor “Zana dhe Miri”. Me regji nga Vlash Droboniku dhe Tomi Vaso, filmi tregon historinë e dy fëmijëve të vegjël të cilët mësojnë të respektojnë natyrën ndërkohë që luajnë me një top. Film vizatimor ku përdoren teknikat e paper cut dhe vizatimit.",26 copies of poster in archive collection. 24 copies are in excellent condition. Two copies have some minor rips and tears on poster edges.|~|Në koleksion ndodhen 26 kopje të njëjta posterash për këtë titull. 24 kopje janë në gjendje shumë të mirë. Dy kopje kanë disa grisje të vogla nëpër anët e posterit.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0003_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1835k3p,2,Completed,Work,pos_i4_3,Pika E Ujit,The Drop of Water,,"""New Albania"" Film Studio|~|Vlash Droboniku","""New Albania"" Film Studio","Tirana, Albania",1976,1976,alb,still image,poster,47 x 32.5,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,published,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Pika e Ujit"" (The Drop of Water). Directed by an actor turned director, Bujar Kapexhiu, the film is the story of a child fairy arriving in a rain storm.|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor ""Pika e Ujit"". Me regji nga aktori Bujar Kapexhiu, i cili më vonë bëhet regjisor, filmi është rreth një zane fëmijë, pikë uji nga një stuhi shiu.",5 copies of poster in archive collection. Some slight damage on several poster copies.|~|Në koleksion ndodhen 5 kopje të njëjta posterash për këtë titull. Ka disa dëmtime të vogla në tre nga pesë kopjet.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0029_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z14b4tfv,2,Completed,Work,pos_i4_29,Puna Është Flori,Work is Gold,,"""New Albania"" Film Studio|~|Boris Ikonomi","""New Albania"" Film Studio","Tirana, Albania",1981,1981,alb,still image,poster,34 x 27,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,published,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Puna Është Flori"" (Work is Gold). Based on a tale by the Albanian writer Sami Frashëri, this animated short film teaches children that “treasures are not found, but earned.""|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor ""Puna është Flori"". Bazuar në përrallën e shkruar nga Sami Frashëri, filmi i shkurtër vizatimor u mëson fëmijëve që ‘’thesaret nuk gjenden, por fitohen’’.","13 copies of poster in archive collection. Posters are in very good condition, printed on thick cardboard paper.|~|Në koleksion ndodhen 13 kopje të njëjta posterash për këtë titull. Posterat janë në gjendje shumë të mirë. Janë të printuara në letër me gramaturë të trashë.",Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation|~|Albanian Literature|~|Sami Frasheri,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0037_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z10k42rz,2,Completed,Work,pos_i4_37,"Ah, Lepurusha, Lepurusha","Ah, You Rabbits, Rabbits!",,"""New Albania"" Film Studio|~|Artan Maku",,,1981,1981,alb,still image,poster,41 x 30,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,unpublished,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Ah, Lepurusha, Leprurusha"" (Ah, You Rabbits, Rabbits!). Director Artan Maku's film shows a group of worried school children trying to find a solution when they discover that hungry rabbits are eating all the bark from the trees.|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor ""Ah, Lepurusha, Lepurusha"". Me regji nga Artan Maku, filmi tregon një grup nxënësish të shqetësuar që përpiqen të gjejnë një zgjidhje kur zbulojnë që disa lepuj të uritur po hanë lëvoret e pemëve.",8 copies of poster in archive collection. All copies have crease folded in the middle. One copy has minor tear in right side middle.|~|Në koleksion ndodhen 8 kopje të njëjta posterash për këtë titull. Të githa kopjet kanë rudha nga palosjet në mes. Një nga kopjet ka disa grisje të vogla djathtas në mes.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0040_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1vt3k6s,2,Completed,Work,pos_i4_40,Dy Gosti,Two Feasts,,"""New Albania"" Film Studio|~|Gazmend Leka",,,1982,1982,alb,still image,poster,40.5 x 27.5,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,unpublished,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Dy Gostitë"" (Two Feasts). Based on a fable by the French poet La Fontaine, this short animated film shows how a hardworking and smart stork takes revenge on two forest thieves.|~|Afishe origjinale me ngjyra për filmin e shkurtër vizatimor ""Dy Gostitë"". Bazuar në një përrallë të shkrimtarit francez La Fontaine, ky film tregon historinë e një lejleku punëtor dhe të zgjuar  edhe sesi ai merr hak ndaj dy hajdutëve të pyllit.",2 copies of poster in archive collection. One copy is in fair to good condition. One copy is in poor to fair condition. Both copies have crease folded in the middle. Only animated poster that in archive collection that is black and white.|~|Në koleksion ndodhen 2 kopje të njëjta posterash për këtë titull. Një nga posterat është në gjendje të mirë. Posteri tjetër është disi më i dëmtuar. Të dyja kopjet kanë rudha nga palosjet në mes.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation|~|French Poets|~|Jean La Fontaine,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0043_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1r22tfx,2,Completed,Work,pos_i4_43,Kecat Dhe Ujku,Baby Goats and the Wolf,,"""New Albania"" Film Studio|~|Artur Dauti",,,1982,1982,alb,still image,poster,41 x 30,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,unpublished,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Kecat Dhe Ujku"" (Baby Goats and the Wolf) tells the classic fable of three baby goats who outwit a wolf. Director Artur Dauti's short animation is one of Albania's most popular films.|~|Afishe origjinale për filmin e shkurtër vizatimor ""Kecat Dhe Ujku"" ku tregohet fabula klasike e tre kecave që mposhtin një ujk. Me regji nga Artur Dauti, ky film i shkurtër vizatimor është kthyer në një nga filmat më popullorë shqiptarë.",13 copies in archive collection. All copies have a crease folded in the center. Five copies are poorly printed. Six copies are in good condition. Two copies have some surface damage.|~|Në koleksion ndodhen 13 kopje të njëjta posterash për këtë titull. Pesë nga kopjet janë printuar me cilësi të dobët. Gjashtë nga kopjet janë me cilësi të mirë. Dy nga kopjet kanë disa dëmtime sipërfaqësore.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0045_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1m922qk,2,Completed,Work,pos_i4_45,Djali Dhe Peneli,The Boy and the Brush,,"""New Albania"" Film Studio|~|Sokol Xhahysa",,,1983,1983,alb,still image,poster,39 x 27,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,unpublished,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Djali Dhe Peneli"" (The Boy and the Brush). Director Sokol Xhahysa's film portrays Artan, a young boy who enjoys drawing and educates the other child with the love on the beautiful art.|~|Afishe origjinale për filmin e shkurtër vizatimor ""Djali Dhe Peneli"". Me regji nga Sokol Xhahysa filmi portretizon një djalosh të ri Artanin  i cilit i pëlqen të vizatojë. Filmi edukon fëmijët e tjerë me dashurinë ndaj së bukurës dhe artit.",5 copies in archive collection. Copies are in good condition. One copy has a crease in the center. All copies have black and white production still from Albanian fiction films printed on back. Possible that paper to make poster was recycled.|~|Në koleksion ndodhen 5 kopje të njëjta posterash për këtë titull. Kopjet janë në gjendje të mirë. Njëra nga kopjet ka një rudhë në mes. Të gjitha kopjet kanë foto bardhë e zi nga filmat shqiptarë të printuar në anën e pasme. Ka mundësi që letra e përdorur të jetë e ricikluar.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0046_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1gj1b3m,2,Completed,Work,pos_i4_46,Bredhi Midis Nesh,The Fir Tree Between Us,,"""New Albania"" Film Studio|~|Artan Maku",,,1983,1983,alb,still image,poster,39 x 27,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,unpublished,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Bredhi Midis Nesh"" (The Fir Tree Between Us). Director Artan Maku's films tells the story of some forest animals who unite to teach a lesson to a fox who tries to spoil a joyful New Year's celebration.|~|Afishe origjinale për filmin e shkurtër vizatimor ""Bredhi Midis Nesh"". Me regji nga Artan Maku filmi tregon historinë e kafshëve të vogla të pyllit të cilat, të bashkuara dhe të vendosura, i japin një mësim të mirë dhelprës që mundohet të prishë festën e Vitit të Ri.",Three copies in archive collection. Copies are in fair conditon. All copies have a crease in the middle.|~|Në koleksion ndodhen 3 kopje të njëjta posterash për këtë titull. Kopjet janë në gjendje të mirë. Të gjitha kopjet kanë një rudhë në mes.,Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
aqshf_i4_0048_pos00001.tif,ark:/21198/z1s19vm6,ark:/21198/z1bv98qr,2,Completed,Work,pos_i4_48,Toçi E Poçi,Toçi and Poçi,,"""New Albania"" Film Studio|~|Artur Dauti","""New Albania"" Film Studio","Tirana, Albania",1983,1983,alb,still image,poster,38.5 x 27,Arkivi Qendror Shtetëror i Filmit (AQSHF),AQSHF Animation Film Poster Collection,Collection POS,copyrighted,published,info@aqshf.gov.al,"Original color poster release for Albanian animated short film ""Toçi and Poçi"". Director Artur Dauti's films shows two poor children who do their best to help the resistance during the Second World War by distributing tracts and erasing fascist slogans.|~|Afishe origjinale për filmin e shkurtër vizatimor ""Toçi e Poçi"". Me regji nga Artur Dauti filmi tregon dy fëmijë të shtresës së varfër të popullit, të cilët japin ndihmesën e tyre modeste duke ndarë trakte dhe duke fshirë parrullat fashiste dhe shkruar parrullat gjatë Luftës së Dytë Botërore.","Seven copies in archive collection. All posters are in fair condition. On back, all seven posters have black and white still photos from Albanian fiction film “Në kufi të dy legjendave” (On the Border of Two Legends) (1981).|~|Në koleksion ndodhen 7 kopje të njëjta posterash për këtë titull. Të gjitha kopjet janë në gjendje të mirë. Të gjitha posterat kanë në pjesën e pasme foto bardhë e zi nga filmi “Në kufi të dy legjendave” (1981).",Tirana (Albania)|~|20th Century|~|Film poster|~|Eastern Europe Animation,Albanian Photographic and Graphic Art Collection - AQSHF
