"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Name.photographer","Name.creator","Subject","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Name.subject","Rights.servicesContact","Name.repository","Rights.permission","Relation.isPartOf","Date.creation","Format.dimensions","Date.normalized","Format.medium","Title","Alt Identifier.local","Format.extent","Description.abstract","Bucketeer State","IIIF Access URL"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz00011f8m","","2","Completed","Collection","","","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","still image","copyrighted","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","","1937-1983","","1937/1983","","Bennett (Walter E.) Photographic Collection, 1937-1983 (bulk 1952-1982)","Collection 686","","Walter E. Bennett (1921-1995) was the first salaried photographer for Time, where he worked from 1952 to 1982. The collection consists of photographic materials such as prints, negatives and slides. It also includes miscellaneous manuscripts and ephemera related to Bennett's life and career.","succeeded",
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2jd","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2jd-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Demonstrations--Washington (D.C.)|~|Vietnamese Conflict, 1961-1975--Protest movements--Washington (D.C)","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","May 3, 1971","35 mm","1971-05-03","1 photograph|~|color slide","Anti-war demonstrators attend the 1971 May Day Protest in Washington D.C.","uclamss_686_b4_f16_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2jd"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2mf","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2mf-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Demonstrations--Washington (D.C.)|~|Vietnamese Conflict, 1961-1975--Protest movements--Washington (D.C)","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","May 3, 1971","35 mm","1971-05-03","1 photograph|~|color slide","Anti-war demonstrators sit on the steps of the Capital building during the 1971 May Day Protest in Washington D.C","uclamss_686_b4_f16_2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2mf"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2q0","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2q0-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Attorneys general--United States|~|Kennedy, Robert F., 1925-1968","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1963","35 mm","1963","1 photograph|~|b&w negative","Attorney General Robert F. Kennedy in his office","uclamss_686_b6_f31_20","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2q0"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2rh","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2rh-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Eisenhower, Dwight D. (Dwight David), 1890-1969|~|Golf--United States","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1953-1960","35 mm","1953","1 photograph|~|b&w negative","President Dwight D. Eisenhower playing golf","uclamss_686_b6_f24_25","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2rh"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2s1","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2s1-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Eisenhower, Dwight D. (Dwight David), 1890-1969","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1953-1960","35 mm","1953","1 photograph|~|b&w negative","President Dwight D. Eisenhower greets crowd during speech","uclamss_686_b6_f24_7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2s1"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2tj","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2tj-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Vietnamese Conflict, 1961-1975--Saigon (Vietnam)--Diplomatic history|~|Visits of state--Vietnam|~|Kissinger, Henry, 1923-|~|Nguyen, Cao Ky|~|Bunker, Ellsworth, 1894-1984","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1970","35 mm","1970","1 photograph|~|color slide","Henry Kissinger with South Vietnamese Vice Premier Nguyen Cao Ky and Ellsworth Bunker in Saigon","uclamss_686_b4_f11_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2tj"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2v2","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2v2-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Equal rights amendments--United States|~|Demonstrations--United States","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1972","35 mm","1972","1 photograph|~|color slide","Female protestor campaigns against the Equal Rights Amendment","uclamss_686_b6_f8_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2v2"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2wk","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2wk-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Eisenhower, Dwight D. (Dwight David), 1890-1969","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","July 1964","35 mm","1964-07","1 photograph|~|color slide","President Dwight Eisenhower","uclamss_686_b3_f15_2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2wk"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2x3","ark:/21198/zz00011f8m","2","Completed","Work","","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Attorneys general--United States|~|Kennedy family|~|Kennedy, Ethel, 1928-|~|Kennedy, Robert F., 1925-1968","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1960-1961","35 mm","1960","1 photograph|~|color slide","Attorney General Robert Kennedy with his wife, Ethel Kennedy, and six children","uclamss_686_b4_f9_1","","","failed",
