Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Subject.conceptTopic,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Rights.publicationNote,Name.subject,Subject.geographicPlace,Rights.servicesContact,Language,Name.repository,Name.photographer,Subject.descriptiveTopic,Rights.permissionNote,Relation.isPartOf,Name.creator,Subject.category,Date.creation,Date.normalized,Description.note,Coverage.geographic,Alt ID.local,Title,Format.dimensions,Format.extent,Coverage.spatialLatitude,Coverage.spatialLongitude,Alt ID.callNo,AltTitle.other,Alt ID.url,Description.abstract,masterImageName
Arkatov (James) Collection,21198/zz001dzc12,,Collection,,,still image,Black-and-white photographs|~|color photographs,Musicians--United States|~|Jazz musicians $z United States|~|Artists--United States,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,,,,[between 1986 and 2002?],1986/2002,,California--Los Angeles,,Arkatov (James) Collection,,2975 photographs,,,,James Arkatov photograph collection,http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r7v9/,"The collection consists of photographs of jazz musicians performing in Los Angeles; classical musicians in rehearsal and performance; and fine artists taken by the cellist, James Arkatov.",
Arkatov (James) Collection,21198/zz001dzs3w,21198/zz001dzc12,Work,21198-zz001dzs3w_1270273_master.tif,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,,"Acuña, Claudia",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña, taken in Los Angeles California.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs3w_1270273_master.tif
Arkatov (James) Collection,21198/zz001dzs4d,21198/zz001dzc12,Work,21198-zz001dzs4d_1270861_master.tif,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,,,,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"December, 1999",1999-12,Black and white photograph of American pianist and vocalist Karrin Allyson singing at a microphone.,California--Los Angeles,uclamus_340_b1_f1,"Karrin Allyson singing in Los Angeles, December 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs4d_1270861_master.tif
Arkatov (James) Collection,21198/zz001dzs5x,21198/zz001dzc12,Work,21198-zz001dzs5x_1270870_master.tif,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,,"Alpert, Herb",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs5x_1270870_master.tif
Arkatov (James) Collection,21198/zz001dzs6f,21198/zz001dzc12,Work,21198-zz001dzs6f_1270855_master.tif,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,,"Allyson, Karrin",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"December, 1999",1999-12,Black and white photograph of American pianist and vocalist Karrin Allyson singing at a microphone.,California--Los Angeles,uclamus_340_b1_f1,"Karrin Allyson singing in Los Angeles, December 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs6f_1270855_master.tif
Arkatov (James) Collection,21198/zz001dzs7z,21198/zz001dzc12,Work,21198-zz001dzs7z_1270296_master.tif,,still image,Black-and-white photographs,Guitarists--United States,copyrighted,Y,unknown,,"Abercrombie, John, $d 1944-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"September, 1997",1997-09,Black and white photograph of American guitarist and bandleader John Abercrombie playing guitar.,California--Los Angeles,uclamus_340_b1_f1,"John Abercrombie playing guitar in Los Angeles, September 1997 [descriptive]",8 X 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs7z_1270296_master.tif
Arkatov (James) Collection,21198/zz001dzs8g,21198/zz001dzc12,Work,21198-zz001dzs8g_1270314_master.tif,,still image,Black-and-white photographs,Composers $z United States|~|Pianists $z United States,copyrighted,Y,unknown,,"Allison, Mose",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,,,People|~|Arts,"March, 1996",1996-03,"Black and white photograph of American pianist, singer, and songwriter Mose Allison.",California--Los Angeles,,"Mose Allison playing piano in Los Angeles, March 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs8g_1270314_master.tif
Arkatov (James) Collection,21198/zz001dzs90,21198/zz001dzc12,Work,21198-zz001dzs90_1270276_master.tif,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,,"Acuña, Claudia",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña and an unknown man, taken in Los Angeles.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña and unknown man, Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzs90_1270276_master.tif
Arkatov (James) Collection,21198/zz001dzsbh,21198/zz001dzc12,Work,21198-zz001dzsbh_1270302_master.tif,,still image,Black-and-white photographs,Pianists $z Jamaica,copyrighted,Y,unknown,,"Alexander, Monty",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"June, 1999",1999-06,Black and white photograph of Jamaican pianist and band leader Mondy Alexander playing piano.,California--Los Angeles,uclamus_340_b1_f1,"Monty Alexander playing the piano in Los Angeles, June 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzsbh_1270302_master.tif
Arkatov (James) Collection,21198/zz001dzsc1,21198/zz001dzc12,Work,21198-zz001dzsc1_1270286_master.tif,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,,"Acuña, Claudia",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña, taken in Los Angeles.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzsc1_1270286_master.tif
