Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Publisher.publisherName,Subject,Rights.servicesContact,Language,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date.creation,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,Description.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract,Thumbnail,IIIF Manifest URL
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dh9,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,Los Angeles (Calif.)--Maps,,,Streets--California--Los Angeles--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,Los Angeles Lithographic Co.,,62 x 51 cm. on sheet 67.5 x 54 cm. folded to 18 x 10 cm. in red printed wrappers,clusc_1_1_00017257a|~|clusc_1_1_00017256a|~|uclamss_294_b108_1-front|~|uclamss_294_b108_1-back,"Map of the city of Los Angeles, 1897 : accompanying Maxwell's Los Angeles city directory and gazetteer of Southern California",,circa 1897,1 map : col.,"Rail lines over printed in red. Includes street index.|~|""Compiled from official surveys under the supervision of Dana H. Burks, Secretary, ""Street Naming Commission"" and showing all changes--326 in number--made by the Commission and approved by the City Council.""  ""Entered according to act of Congress in the office of the Librarian of Congress at Washington, D.C. in the year 1897, by Los Angeles Directory Co.""|~|Cover title: ""Los Angeles Directory Co.'s official map of the city of Los Angeles, Cal.""|~|Digitization took place as part of the California Cultures Project.|~|Scale not given.",G4364 L8 1897 L67,http://calcultures.cdlib.org,"Los Angeles, Calif.",Los Angeles Directory Company,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8nhg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dh9/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dtz,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,Los Angeles Metropolitan Area (Calif.)--Maps,,,Roads--California--Los Angeles Metropolitan Area--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,Clason Map Company,,,,,,67.5 x 47 cm. on sheet 71 x 56 cm. folded to 18 x 10 cm.,clusc_1_1_00017259a|~|uclamss_294_b21_1-back|~|clusc_1_1_00017260a|~|uclamss_294_b21_1-front,Map of the city of Los Angeles,,1918,1 map,"scale: 1:63,360 9 1 in. to 1 mile)|~|""Shows all good roads in Southern California""|~|Digitization took place as part of the California Cultures Project.|~|""Red lines indicate best automobile thoroughtfares. Numbers indicate boulevard outlets--key in margin""|~|Relief shown by spot heights.  Includes: a list of the principal office buildings in Los Angeles and street index;  two ancillary maps on verso: 1)""Los Angeles Harbor and the shoestring"" 2)""The complete city of Los Angeles""",G4364 L875 1918a,http://calcultures.cdlib.org,"Los Angeles, Calif.","Security Trust & Savings Bank (Los Angeles, Calif.)",,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447524,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dtz/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f64,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,bird's-eye views|~|cartographic,pd,,Glendale Region (Calif.)--Description and travel--Maps|~|Glendale Region (Calif.)--Aerial views,,,Real property--California--Los Angeles County--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Haynes, E. G.",,,,,,24.5 x 53 cm. on sheet 26 x 66 cm. folded to 26 x 10.7 cm.,clusc_1_1_00017225a|~|uclamss_294_b105_3-front|~|uclamss_294_b105_3-back|~|clusc_1_1_00017226a,"Birdseye view of Casa Verdugo Villa tract, a sub-division of a portion of the old Rancho San Rafael",233729244,circa 1906,1 view,"Relief shown pictorially. Verso has map of the Casa-Verdugo-Villa tract as well as photographs and publisher's real estate promotional information.|~|Digitization took place as part of the California Cultures Project.|~|""Showing the inter-urban railway route from Huntington Building Los Angeles, to Casa Verdugo""|~|Panel left of view: ""The scenic trolley route, how to get there""",G4364 G55 1906,http://calcultures.cdlib.org,,San Rafael Investment Company,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm5ww5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f64/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fb6,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,,,,Railroads--United States--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,"Union Pacific Railway, Eastern Division--Maps",,,,,29.5 x 64.5 cm. on sheet 32.5 x 68 cm. originally folded to 16.5 x 9.5 cm,clusc_1_1_00017246a|~|clusc_1_1_00017247a|~|uclamss_294_b55_1-back|~|uclamss_294_b55_1-front,"Map of the Union Pacific Railway Eastern Division and connections, from the Mississippi River to San Francisco",,1867(?),1 map,"scale: 1:3,801,600|~|Relief shown by hachures.  Verso of map provides description of all the major cities in Kansas as well as publisher's advertisement of land for sale.|~|Digitization took place as part of the California Cultures Project.",G4050 P3 1867,http://calcultures.cdlib.org,"Wyandotte, Kan.","Union Pacific Railway, Eastern Division",,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34dbg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fb6/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fzh,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,Pacific States--Maps,,,Steamboat lines--Pacific Coast (U.S.)--Maps|~|Steamboat lines--Pacific Coast--British Columbia--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,Pacific Coast Steamship Company--Maps,Pacific Coast Steamship Company,,,,68 x 31.2 cm. on sheet 71.5 x 35.4 cm. originally folded to 17.5 x 9 cm.,clusc_1_1_00017265a|~|uclamss_294_b57_1-back|~|uclamss_294_b57_1-front|~|clusc_1_1_00017266a,Map showing routes of the Pacific Coast Steamship Company,,1888,,"Relief shown by hachures.  Pictorial inset: ""Alaska's Thousand Islands seen from Sitka""|~|scale: 1:3,100,000|~|Verso of map has schedules and rates of fare for August, September and October 1888 for the various lines. Also has advertisement : ""Hotel Ramona, San Luis Obispo County, California, to be opened September 15, 1888""|~|Digitization took place as part of the California Cultures Project.",G4230 P5 1888,http://calcultures.cdlib.org,"Chicago, Ill.",Rand McNally and Company,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1md3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fzh/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g53,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,Inglewood (Calif.)--Description and travel--Maps|~|Inglewood (Calif.)--Directories,,,Inglewood (Calif.)--Maps.,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,51 x 45 cm. originally folded to 25 x 12 cm.,clusc_1_1_00017214a|~|uclamss_294_b121_2-front|~|clusc_1_1_00017215a|~|uclamss_294_b121_2-back,"Inglewood the hub city : map of Los Angeles County, Southwest",233725766,1908,1 map : col.,"Purchase, Michael Vinson, 1995.|~|Digitization took place as part of the California Cultures Project.|~|The map on side 1 shows Inglewood in the middle of the greater Los Angeles area, with red lines emanating from that ""hub"" showing mileage from Inglewood to specified destinations. The other side of the map contains promotional material about Inglewood (including that ""Inglewood is composed of Caucasians only""), including descriptions of its attractions (with caption title, Desirable residence conditions), a city business directory and a short recap of this information. The entire sheet is intended to be folded and used as a brochure for real estate purposes.|~|scale: 1:90,000",F869.I51 l53 1908,http://calcultures.cdlib.org,"Inglewood, Calif.",Inglewood (Calif.). Board of Trade,Desirable residence conditions.,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350406,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096g53/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wx6k,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,Mexico--Maps--Early works to 1800|~|California--Discovery and exploration--Maps--Early works to 1800 ,,,,,fre,"University of California, Los Angeles. $b Library Special Collections",,"Fer, Nicolas de, 1646-1720",,,,,,23 x 34 cm. on sheet 30.5 x 44.5 cm.,uclamss_294_b65_1-2|~|uclamss_294_b65_1-1|~|clusc_1_1_00017529a|~|clusc_1_1_00017530a,De Californie et du nouveau Mexique,233720962,1700,1 map (and 1 l.),"scale: 1:13,000,000|~|Disbound map bound with 1 leaf providing description of early California explorations.|~|California is shown as an island.  314 villages, towns and tribes are located.|~|Digitization took place as part of the California Cultures Project.",G4360 1700,http://calcultures.cdlib.org,"Paris, France",,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8vrs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wx6k/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wxqb,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,cadastral maps|~|cartographic,pd,,"Bear Valley (San Bernardino, Calif.)--Maps",,,Real property--California--Los Angeles County--Maps|~|Real property--California--San Diego County--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Brown, F. E.",,,,,,52 x 42.5 cm. on sheet 61 x 47 cm.,uclamss_294_b99_2-verso|~|clusc_1_1_00017551a|~|uclamss_294_b99_2-recto|~|clusc_1_1_00017550a,"Map of a portion of San Bernardino and San Diego counties, showing the Bear Valley reservoir, its watershed, also the valleys where its waters are to be used, including the Alessandro and Perris irrigation districts",,circa 1890,1 map,"Two ancillary maps on verso: ""Map of Southern California showing the real Orange Belt of California in the interior valleys of San Bernardino County and the relation of those valleys to the coast including railroad connections"" ""Map of the Alessandro tract, Bear Valley Irrigation Co.""|~|scale: 1:190,080|~|""Los Angeles Lithographic Co.""|~|Digitization took place as part of the California Cultures Project.",G4363 S14 C4 189O,http://calcultures.cdlib.org,"Los Angeles, Calif.",Bear Valley Irrigation Company,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4k78,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wxqb/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015x2sr,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,pd,,,,,Railroads--West (U.S.)--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,Union Pacific Railroad Company--Maps,,,,,56.5 x 91.5 cm on sheet 65.5 x 95.5 cm.,uclamss_294_b55_2-back|~|clusc_1_1_00017700a|~|clusc_1_1_00017701a|~|uclamss_294_b55_2-front,"New transcontinental map of the Pacific R.R. and routes of overland travel to Colorado, Nebraska, the Black Hills, Utah, Idaho, Nevada, Montana, California and the Pacific Coast",,1877,1 map : col.,"Map of the western United States showing relief by hachures, drainage, cities and towns, stage routes, railroads completed and projected. Main lines in heavy black.  Verso of map includes trans-continental time tables, rates of fares, hotel and publisher's advertisements.   Map originally folded to 22 x 16.3 cm.|~|""Entered according to Act of Congress in the year 1877 by H.T. Williams in the Office of the Librarian of Congress at Washington""|~|scale: 1:3,500,000|~|Digitization took place as part of the California Cultures Project.",G4050 1877,http://calcultures.cdlib.org,New York,"Williams, Henry T.",,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12532vd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015x2sr/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zqjr,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,cadastral maps|~|cartographic,pd,,El Cajon Region (Calif.) -- Maps,,,Land companies -- California -- El Cajon Region|~|Real property--California--El Cajon Region--Maps,,,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,19.5 x 24.3 cm. on sheet 21.5 x 28 cm.,clusc_1_1_00017712a|~|clusc_1_1_00017711a|~|uclamss_294_b105_1-back|~|uclamss_294_b105_1-front,El Cajon Rancho and surrounding region,233744499,1885,1 map : col,"scale not given|~|Map is printed on verso of stationary of the El Cajon Valley Company. The map shows roads, rivers and proposed railroad lines.|~|Digitization took place as part of the California Cultures Project.",G4364 E 37 1885a,http://calcultures.cdlib.org,"San Francisco, Calif.",El Cajon Valley Company|~|Schmidt Label & Lithographic Co.,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1tj2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015zqjr/manifest
