Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,Description.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract,IIIF Manifest URL
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096df8,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,cadastral maps|~|cartographic,pd,,Los Angeles County (Calif.)--Maps,,,"Ranches--California--Los Angeles County|~|Real property--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps|~|Land grants--California, Southern--Maps",,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,sizing varies,clusc_1_1_00017991a|~|uclamss_294_b131-ul/ur|~|clusc_1_1_00017992a|~|uclamss_294_b131-ll/lr,Official map of the county of Los Angeles,,circa 1898,1 map in 4 parts : col.,"Cadastral map showing landowners.  Relief shown by hachures and spot heights.  Includes inset map of Santa Catalina and San Clemente Islands.  Upper left is 63 x 60.5 cm. on sheet 73.3 x 71.5 cm. Upper right is 63 x 65 cm. on sheet 73.5 x 71.5 cm.|~|C.N. Perry, Draughtsman|~|scale: ca. 1:95,000|~|Digitization took place as part of the California Cultures Project.|~|We hereby certify that this map has been approved by the Board of Supervisors as the official map of the county of Los Angeles for the purpose of defining all lines which are the boundaries of school and road districts, judicial townships and election precincts.  List of names of the LA County Board of Supervisors: H.L. Woodward, 1st District R.E. Hirshing, 2nd District E.S. Field, 3rd District A.E. Davis, 4th District James Stanley, 5th District",,http://calcultures.cdlib.org,"Los Angeles, Calif.",Los Angeles County (Calif.). County Surveyor,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096df8/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1n31fk6,ark:/21198/zz00096df8,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096df8-2-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1hb0pt1,ark:/21198/zz00096df8,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096df8-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wx73,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,copyrighted,,California--Historical geography--Maps,,Automobile Club of Southern California,California--Historical geography--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Butler, Lowell ",,,"Webb, William, 1919- |~|Hanna, Phil Townsend, 1896-1957",,,106 x 74 cm. folded to 26.5 x 18.5 cm.,clusc_1_1_00017499a|~|uclamss_294_b61_3-verso|~|clusc_1_1_00017500a|~|uclamss_294_b61_3-recto,Map of the marked historical sites of California : compiled from the official registrations of the California State Department of Natural Resources [verso],233714321,circa 1952,1 map : col.,"December 1952 Westways, Vol. 44 No. 12|~|scale: 1 : 1,300,00|~|With insets of principal urban and historical districts.  Sites are numbered to correspond with descriptive list on verso.  ""A note of explanation"" on verso, when folded.|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"Los Angeles, Calif.",Automobile Club of Southern California,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wx73/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1k662qr,ark:/21198/zz0015wx73,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wx73_497883_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1ff59zk,ark:/21198/zz0015wx73,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wx73_497916_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz002kfkkz,ark:/21198/zz0002h48z,2,Completed,Work,,,,,individuals,still image,maps|~|cartographic,,,California--Historical geography--Maps|~|California--Maps,,,California -- Maps|~|California--Discovery and exploration--Maps |~|California--Historical geography--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,1 map : col. ; 114 x 79 cm. on sheet 117 x 81.5 cm. folded to 30 x 21 cm.,,"Map of the missions, presidios, pueblos, and some of the more interesting ranchos of Spanish California : together withthe routes of the principal land explorations therein",,1938,,"""A note of explanantion"" on verso, outside when folded Insets: San Francisco-Monterey area -- Los Angeles & vicinity area Produced for the December 1956 Westways, v. 48 No. 12",G 4360 S2 1938,"Map collection on Los Angeles, California, the United States and the world.",,"Los Angeles, Calif : Automobile Club of Southern California",,,,Collection 294 box 134,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kfkkz/manifest
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z17q0h2d,ark:/21198/zz002kfkkz,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/clusc_1_1_00024427a-revised.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco-Monterey area -- Los Angeles & vicinity area,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z13x9r7s,ark:/21198/zz002kfkkz,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/clusc_1_1_00024428a-revised.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A note of explanantion,,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0002h5pn,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0002h5pn-1-master.tif,,,,,still image,maps|~|cartographic,pd,,California--Maps,,,Real property--California--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"O'Hare, Daniel",,,"Morton, R. H.|~|Dinsmore, A. F.",,,148 x 121 cm. on sheets 81.5 x 130 cm.,clusc_1_1_00017719a|~|uclamss_294_b134_4a/4b,State of California,,1900,1 map on 2 sheets : col.,"scale: 1:750,000|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by brown shading and spot heights.  Includes a numbered index to private land grants and a list of Indian missions.|~|""Department of Interior, General Land Office, Hon. Binger Hermann, Commissioner""  ""Compiled from the official records of The General Land Office and other sources under the supervision of Harry King, C.E. Chief of the Drafting Division G.L.O.""  ""Revised and drawn by Daniel O'Hare.""   ""Guggenheimer, Weil & Co., Photo-Lith., Balto.""",,http://calcultures.cdlib.org,"Washington, D.C.",United States. General Land Office. Drafting Division,,,,,failed,
