"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Coverage.geographic","Name.producer","Publisher.publisherName","Subject","Rights.servicesContact","Language","Name.repository","Name.surveyor","Name.cartographer","Name.subject","Name.sponsor","Name.compiler","Name.lithographer","Name.artist","Format.dimensions","AltIdentifier.local","Title","AltIdentifier.oclc","Date.creation","Format.extent","Description.note","AltIdentifier.callNo","Relation.isPartOf","Place of origin","Publisher.publisherName","Description.caption","AltTitle.translated","AltTitle.other","AltIdentifier.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dkb","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dkb-1-master.tif","","","","","still image","maps|~|cartographic","pd","","Orange County (Calif.)--Maps|~|Los Angeles County (Calif.)--Maps","","","Real property--California--Orange County--Maps|~|Real property--California--Los Angeles County--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","Stevenson, H. J.","","","","","","","42.5 x 39 cm. on sheet 49 x 48 cm.","clusc_1_1_00017211a|~|uclamss_294_b125_2","Map of the county of Los Angeles, California","","1881","1 map : col.","scale: 1:380,160|~|""Table of distances from the court-house of Los Angeles as centre""|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by hachures.  Inset map of Santa Catalina and San Clemente Islands.  Also covers Orange County.|~|""Entered according to act of Congress in the year 1880 by H.S. Stevenson in the Office of the Librarian of Congress at Washington""","","http://calcultures.cdlib.org","Oakland, Calif.","Los Angeles County (Calif.). County Surveyor","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dkb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dkb/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dmv","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dmv-1-master.tif","","","","","still image","maps|~|cartographic","pd","","Los Angeles County (Calif.)--Maps","","","Real property--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","Stevenson, H. J.","","","81.8 x 60 cm. on sheet 89.3 x 64.4 cm.","uclamss_294_b37_1|~|clusc_1_1_00017690a","Map of the city of Los Angeles, California","","circa 1884","1 map : col.","Cadastral map by Stevenson, U.S. Dept. Surveyor|~|Relief shown by hachures and spot heights|~|scale: 1 : 14,400. 1200 ft. to 1 in.|~|Digitization took place as part of the California Cultures Project.","G4364 L875 1884","http://calcultures.cdlib.org","Washington, D.C. (?)","United States. Surveyor General","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dmv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dmv/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dnc","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dnc-1-master.tif","","","","","still image","cadastral maps|~|cartographic","pd","","","","","Real property--California--Orange County--Maps|~|Real property--California--Los Angeles County--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","Wood, S. O.","","","Puente Crude Oil Company","","","","48.5 x 75.5 cm. on sheet 52.5 x 79.5 cm.","clusc_1_1_00017400a|~|uclamss_294_b93_1","Map of the sub-division of the Puente Crude Oil Co's lands","","December 20, 1901","1 map : blueprint","Digitization took place as part of the California Cultures Project.|~|scale: 10 chains to 1 inch|~|Includes Ranchos La Brea, Canon de Santa Ana and La Puente. Also shows holdings of other oil companies in the area.","G4363 O6 1901","http://calcultures.cdlib.org","Los Angeles, Calif.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dnc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dnc/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dpw","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dpw-1-master.tif","","","","","still image","cadastral maps|~|cartographic","pd","","Rancho Sausal Redondo (Calif.)--Maps|~|Rancho Centinela (Calif.)--Maps|~|Rancho La Ballona (Calif.)--Maps","","","Real property--California, Southern","","eng","University of California, Los Angeles. $b Library Special Collections","","Howland, Chas. H. (Charles H.)","","","","","","33.5 x 48.5 on sheet 41 x 55.5 cm.","clusc_1_1_00017228a|~|uclamss_294_b123_2","Map of Sausal Redondo Rancho, Centinela Rancho and part of Rancho La Ballona","","1901","1 map : blueline print","Scale not given|~|Digitization took place as part of the California Cultures Project.|~|Some tract names handwritten in pencil.  Relief shown by hachures.","","http://calcultures.cdlib.org","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dpw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dpw/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dqd","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dqd-1-master.tif","","","","","still image","maps|~|cartographic","pd","","San Francisco Peninsula (Calif.)--Maps","","","","","eng","University of California, Los Angeles. $b Library Special Collections","","United States Coast Survey","","","","","","70 x 45 cm. on sheet 74.5 x 50.5 cm.","clusc_1_1_00017392a|~|uclamss_294_b71_1","San Francisco Peninsula","","1869","1 map","Digitization took place as part of the California Cultures Project.|~|Relief shown by contours, spot heights, and land form drawings.|~|scale: 1:40,000|~|Includes the seal of the U.S. Coast Survey Office.  ""U.S. Coast Survey, Benjamin Pierce, Superintendent""  ""Verified, T.E. Hilgard, Assist. Coast Survey. in charge of Office""|~|U.S.C. & G.S. 3055  ""Plate no. 1179""  ""Electrotype copy no. 1, U.S.C.S.""","G4364 S216 1869","http://calcultures.cdlib.org","Washington, D.C.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dqd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dqd/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dvg","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dvg-1-master.tif","","","","","still image","plats (maps|~|cartographic)","pd","","Little Plaza (Los Angeles, Calif.)","","","Plazas--California--Los Angeles--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","Waldemar, Adolphus F.","","","","","","","43.5 x 55 cm.","clusc_1_1_00017227a|~|uclamss_294_b13_1","Plaza in Los Angeles City, Calif.","","December 1, 1856","1 map : manuscript","""I certify this to be a correct plat of a survey executed by me in conformity with instructions of Dr. Ignacio Del Valle, Los Angeles, Dic. 1st, 1856. [signed] Adolphus F. Waldemar, Dep. Co. Sur., Los Angeles Co., Cal.""|~|Digitization took place as part of the California Cultures Project.|~|""Surveyed Aug. 16th, Sept. 12 and Dec. 1st, 1856 by A.F. Waldimar, D.C.S.""|~|scale: 1:40","G4364 L875 1856","http://calcultures.cdlib.org","Los Angeles, Calif.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dvg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dvg/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dw0","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dw0-1-master.tif","","","","","still image","cadastral maps|~|cartographic","unknown","","San Luis Obispo County (Calif.)--Maps","","","Real property--California--San Luis Obispo County--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","West Coast Land Company","","","","","","102 x 66.3 cm. on sheet 107 x 71.5 cm.","clusc_1_1_00017261a|~|uclamss_294_b100_1","Map of the subdivision of the Rancho Santa Ysabel and adjacent lands, San Luis Obispo Co., California","","1887","1 map : paper mounted on cloth","Property lines overprinted in red.|~|Indicates the following adjacent properties and locales: Rancho Asuncion to the south the town of Templeton to the southwest Rancho Paso de Robles to the west.|~|Relief shown by hachures.|~|scale: 1:264 [as given: 20 in.= 1 mi.]|~|Digitization took place as part of the California Cultures Project.","G4363 S18","http://calcultures.cdlib.org","San Luis Obispo (?)","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dw0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dw0/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096dxh","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096dxh-1-master.tif","","","","","still image","cadastral maps|~|cartographic","pd","","California, Southern--Maps","","","Real property--California--Rancho Sausal Redondo--Maps|~|Real property--California--Rancho Centinela--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","Solano, Alfred","","","","Baker, Geo. H. (George Holbrook), 1827-1906","","52 x 74 cm. on sheet 61 x 89 cm.","clusc_1_1_00017398a|~|uclamss_294_b105_4","Map of the Ranchos Centinela and Sausal Redondo","","1875","2 maps on 1 sheet","""Comprising 25,000 acres. The 40 acre tracts are square of 1320x1320 f. The 5 acre lots are 330x660 feet. The block of town lots are 270x620 feet. The two centre streets are 100 feet and all other streets are 80 feet wide. 40 acres reserved for College & Farm School""|~|scale: 1 in. to 40 chains|~|Relief shown by hachures.  Inset map on right hand side of sheet: ""Map of a portion of Southern California showing the location of the Centinela Colony and vicinity""|~|First auction sale - Monday Feby. 15, 1875. Sale to take place on the Rancho.|~|Digitization took place as part of the California Cultures Project.","G4364 E49 1875","http://calcultures.cdlib.org","San Francisco, Calif.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096dxh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096dxh/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096f01","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096f01-1-master.tif","","","","","still image","maps|~|cartographic","pd","","California--Maps--Early works to 1800|~|Mexico--Maps--Early works to 1800","","","","","fre","University of California, Los Angeles. $b Library Special Collections","","Fer, Nicolas de, 1646-1720","","","","","","45.5 x 64.5 cm. on sheet 54.5 x 76 cm.","clusc_1_1_00017254a|~|uclamss_294_b66_1","La Californie ou Nouvelle Caroline : teatro do los trabajos, Apostolicos de la Compa. e Jesus en la America Septe.","","circa 1720","1 map : hand col.","Relief shown pictorially.  California is shown as an island.|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:6,500,000","","http://calcultures.cdlib.org","Paris, France","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096f01","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f01/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096f22","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096f22-1-master.tif","","","","","still image","maps|~|cartographic","pd","","California--Maps","","","Railroads--California--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Britton & Co.","","58.5 x 60.5 cm. on sheet 63 x 71 cm.","clusc_1_1_00017394a|~|uclamss_294_b87_1","Map of Central California from 37th to 40th deg. north lat. : showing various railroad routes projected or in progress together with a practicable route to enter the state with a Pacific railroad","","1860","1 map","Relief shown by hachures and spot heights.|~|""Compiled from government & other reliable sources to accompany the report of D.B. Scott, Chief Engineer of the San Francsico & Marysville Railroad""|~|Covers area from Santa Cruz, Santa Clara and Merced counties to the south through Tehama and Plumas counties in the north.|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:570,240","G4362 C39 1860","http://calcultures.cdlib.org","","San Francisco & Marysville Railroad","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096f22","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f22/manifest"
