"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Rights.rightsHolderContact","Language","Relation.isPartOf","Name.photographer","Subject","Name.subject","Name.creator","Name.repository","Title","Description.note","Alt ID.local","Format.dimensions","Format.extent","Date.creation","Date.normalized","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz0008c2qd","","2","Completed","Collection","","","","","","","","","","","","","","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","Rexroth, Kenneth, 1905- --Archives|~|Beat generation--Archival resources|~|Poetry, Modern--20th century--United States|~|Authors, American--Archival resources","","Rexroth, Kenneth, 1905-  ","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth Papers, 1853-1986 (bulk 1950-1975)","Property rights to the physical object belong to YRL Special Collections. Literary rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The Regents do not hold the copyright.","Collection 175","","","1853-1986 (bulk 1950-1975)","1853/1986","Kenneth Rexroth Papers","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2723077","http://www.oac.cdlib.org/findaid/ark:/13030/tf5p300700","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008c2qd"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rnh","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rnh-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth, candid snapshot, circa 1955","Handwriting on back: [illegible] wants to do Chirico's Hebdomeros","clus_175_b107_f1_1","12 x 9 cm. (4.75 x 3.5 in.)","1 photographic print","n.d.","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rnh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rnh/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rp1","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rp1-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","Ely, Henry ","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth, portrait","Photographer stamp: Henry Ely, Aix-En-Provence|~|Photograph in mount 2.5 x 3 inches.","clus_175_b107_f1_2","5 x 5 cm. (2 x 2 in.)|~|1 photographic print","","n.d.","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rp1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rp1/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rqj","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rqj-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth with [his?] two children, circa 1955","Photograph cut irregular shape.","clus_175_b107_f1_3","5 x 8 cm. (2 x 3 in.)","1 photographic print","circa 1955","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rqj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rqj/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rr2","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rr2-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth with unidentified man at gathering, candid snapshot","","clus_175_b107_f1_4","20 x 25 cm. (8 x 10 in.)","1 photographic print","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rr2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rr2/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rsk","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rsk-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth, portrait in profile, circa 1960","Original photo has white border, white border cropped off digital image.","clus_175_b41_f8_01","9 x 9 cm. (3.5 x 3.5 in.)","1 photographic print","circa 1960","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rsk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rsk/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rt3","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rt3-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth, portrait circa 1980","Original photograph has white border, white border cropped off this  digital image.","clus_175_b41_f8_02","13 x  18 cm. (5 x 7 in.)","1 photographic print","n.d.","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rt3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rt3/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rvm","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rvm-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth at desk writing, circa 1980","Original photograph has white border, white border cropped off this digital image.","clus_175_b41_f8_03","20 x 25 cm. (8 x 10 in.)","1 photographic print","circa 1980","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rvm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rvm/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz00090rw4","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz00090rw4-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","","Rexroth, Kenneth, 1905-  ","","University of California, Los Angeles. $b Library Special Collections","Kenneth Rexroth seated at desk in his office/library, circa 1980","Original photograph has white border, white border cropped off this  digital image.","clus_175_b41_f8_04","20 x 25 cm. (8 x 10 in.)","1 photographic print","circa 1980","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rw4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rw4/manifest"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw83","ark:/21198/zz0008c2qd","2","Completed","Work","rexroth/masters/21198-zz001nfw83_1311282_master.tif","","","","text","","","","","","","letters (correspondence)","","eng","Kenneth Rexroth Papers (Collection 175) UCLA Special Collections, Charles E. Young Research Library.","","Rexroth, Kenneth, 1905- --Archives","","","","Wright, James, typed letter signed to Kenneth Rexroth, April 14, 1964","Re: Rexroth's essay on American poets under 35.","Box 35, folder 6","","1 letter","April 14, 1964","1964-04-14","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw83","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfw83/manifest"
