Item ARK,Parent ARK (Festerize),Parent ARK (Californica),Object Type,Title,AltTitle.other,File Name,collection.physical,Contributor,Item Sequence,Thumbnail,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1zw3chz,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notebook - Justino,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1jq7,The lists are written on a notebook.,"October 4, 2003",2003-10-04,,,"Hand written Fataluku word lists by Justino Valentim.  Pages three to five are lists of Fataluku, Makasae, Makalero and Tetum.  Makasae and Makalero are local languages from Iliomar and Luro respectively.  Pages six to twelve are 'a' and 'b' words from Tetum to Fataluku.",212 mm x 300 mm,14 pages,,notebook,ddg,jv_fataluku_dictionary_0001|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Makasae language|~|Makalero language|~|Tetum language,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zw3chz/manifest
ark:/21198/z1v42mr3,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Disionariu Tetun Fataluku Ingles,Tetun Fataluku English Dictionary,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6nxv,Handbound typed word list.,1999-2014,1999/2014,,,"Tetum, Fataluku and English word lists arranged alphabetically 'a' to 'k'.",210 mm x 297 mm,59 pages,,pamphlet,ddg,jv_fataluku_dictionary_0002|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Tetum language,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v42mr3/manifest
ark:/21198/z1qc1w27,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Draft Fataluku Dictionary by Justino Valentim,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz76v3,,2001-2002,2001/2002,,,"Draft Fataluku dictionary, researched and prepared by Justino Valentim, listing Fataluku words alphabetically alongside the  meaning of the word in Fataluku.  The draft contains handwritten annotations.  Words beginning with b, d,and g, are not listed; there are lists of words beginning with p, r, s and t, with no word meaning alongside. There are no words beginning with letter Q, V, X and Y in Fataluku.",210 mm x 297 mm,110 pages,,pamphlet,ddg,jv_fataluku_dictionary_0003|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc1w27/manifest
ark:/21198/z1km14f7,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Hakarek Kona ba Timor Loro Sa'e - Fata-lukunu I Disionariu,Know About Timor Leste - Fataluku Dictionary,,Justino Valentim Fataluku Collection,Timor Loro Sa'e-Nippon Culture Center (TNCC),,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7k7b,"The pamphlet is office printed, stapled and tape bound.",2002,2002-12-15,,,"In the Introduction, written in Fataluku, Justino Valentim explains that there are many different local languages spoken everyday in the Lautem District.  There are approximately 35,000 people who speak Fataluku, along with Saini ho Naine (approximately 12,000 speakers),and Makalero (approximately 12,000 speakers mostly from Iliomar).  Previously Makuwo language was spoken readily but it is now a lost language.  Mr Valentim hopes that the Fataluku dictionary presented, will help to preserve this local language into the future, and encourage others to continue researching the Fataluku language.",213 mm x 297 mm,123 pages,,pamphlet,ddg,jv_fataluku_dictionary_0004|~|Box 1,"Valentim, Justino (Cailoru)",,,,Timor Loro-Sa'e-Nippon Cultural Centre,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km14f7/manifest
ark:/21198/z1fv0cp2,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Disinariu Bahasa Indonesia Fataluku,Indonesian-Fataluku Dictionary,,Justino Valentim Fataluku Collection,Timor Loro Sa'e-Nippon Culture Center (TNCC),,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m063g8,The pamphlet is well-used with water damage,"May 24, 2008",2008-04-24,,,Alphabetical listing of Bahasa Indonesian words matching to Fataluku meanings.,223 mm x 298 mm,170 pages,,pamplet,ddg,jv_fataluku_dictionary_0005|~|Box 1,"Valentim, Justino (Cailoru)",,,Language Project Central Office,Timor Loro-Sa'e-Nippon Cultural Centre,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Indonesian language,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0cp2/manifest
ark:/21198/z15h97wk,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Fataluku Waihohonu Aiknanoik 828,828 Fataluku Vaihoho Poems,,Justino Valentim Fataluku Collection,Timor Loro Sa'e-Nippon Culture Center (TNCC),,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698zw4,"This book was prepared in collaboration with Mr Michio Takahachi from the Timor Loro Sa'e-Nippon Culture Center (TNCC), who is now deceased.  Many attempts have been made to contact the Nippon Culture Center without success.  Known cultural collaborators were contacted about the project.","August 25, 2004",2004-08-25,,,"This book documents 828 sung verses of Vaihoho from cultural collaborators in the Lautem District of Timor Leste.  Señor Valentim explains in the Fataluku language introduction that he was prompted to record Vaihoho (sung poems) because they were not practised or understood by younger generations, and are in danger of being lost.  The sung poems include descriptions of traditional marriage arrangements, and dealing with disagreements between different groups.",210 mm x 296 mm,47 pages,,pamphlet,ddg,jv_vaihoho_0001|~|Box 1,"Valentim, Justino (Cailoru)",,,"Titilari, Suco Fuiloro, Lospalos, Lautem District, Timor Leste",Timor Loro Sa'e-Nippon Culture Center (TNCC),Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h97wk/manifest
ark:/21198/z11v76kk,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Fataluku Vaihohonu,Fataluku Vaihoho,,Justino Valentim Fataluku Collection,Timor Loro Sa'e-Nippon Culture Center (TNCC),,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147667f,"Cultural collaborators are named, as well as the tribe to which each collaborator belongs.  Señor Valentim is Cailoru, other tribal names are Aca Loho, Latu Loho and Asale.  Individuals in the women's group from Malahara (Lata Malahara i tupurara)  are not named individually.","November 30, 2012",2012-11-30,,,This booklet documents Fataluku language Vaihoho (sung poems) handed down through generations. The sung poems cover various topics including forging good relationships between groups.,213 mm x 296 mm,38 pages,,pamphlet,ddg,jv_vaihoho_0002|~|Box 1,"Valentim, Justino (Cailoru)",,,"Titilari, Suku Fuiloro, Lospalos, Lautem District, Timor Leste",Timor Loro Sa'e-Nippon Culture Center (TNCC),Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v76kk/manifest
ark:/21198/z1x36q42,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book 1,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x16d9,"Depending on the situation, for example the dedication of an 'uma lulik' (sacred house) or traditional marriage negotiations, older Vaihoho practioners may use a high version of Fataluku, which is not well understood by speakers of domestic Fataluku.","September, 2005",2005-09,,,"Extract from a small notebook with handwritten documentation of Vaihoho sung poems from Tutuala tribes.  The language is high Fataluku, used for ceremonial purposes.",76 mm x 110 mm,7 pages,,notebook,ddg,jv_vaihoho_0003|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36q42/manifest
ark:/21198/z1sb5zbf,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Apontamentos Draft Fataluku,Draft Fataluku Notes,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4wzd,The cultural contributors are named on page 0012.  Benidito Rodrigues is renamed Benedito Marques on page 0013.,April and November 2003,2003-04-01/2003-11-01,,,"Extract from a larger notebook detailing Fataluku Vaihoho sung poems.  Pages _0006_a and _0006_b include Fataluku Vaihoho stanzas on the left, with Tetum explanation of the significance of the stanzas, rather than a direct translation into Tetum.",211 mm x 304 mm,14 pages,,notebook,ddg,jv_vaihoho_0004|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5zbf/manifest
ark:/21198/z1nk56kn,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 1,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1kgt,Undated loose papers transcribing Fataluku Vaihoho verses.  The cultural contributors are not designated.,1999-2014,1999/2014,,,"Notes collected by Justino Valentim delineating Vaihoho sung poems: friendly partings and saying goodbye before going to home villages.  The language is high, formal Fataluku.",220 mm x 303 mm,4 pages,,field notes,ddg,jv_vaihoho_0005|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nk56kn/manifest
