Object Type,Title,Item ARK,Parent ARK,File Name,Thumbnail,Item Sequence,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Name.editor,Subject,volume | issue,Contributor.administrator,IIIF Manifest URL
Work,Acción Socialista 1923-11-17,ark:/21198/z17m2wb8,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw765m,,Some of the pages are torn.,17 de noviembre de 1923,1923-11-17,4 pages,newspapers,spa,ihc_accionsocialista_19231117,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 01,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m2wb8/manifest
Work,Acción Socialista 1923-11-24,ark:/21198/z13v24j1,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2wq6,,Some of the pages are torn.,24 de noviembre de 1923,1923-11-24,5 pages,newspapers,spa,ihc_accionsocialista_19231124,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 02,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v24j1/manifest
Work,Acción Socialista 1923-12-01,ark:/21198/z1031ctm,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49db8,,Some of the pages are torn.,1 de diciembre de 1923,1923-12-01,4 pages,newspapers,spa,ihc_accionsocialista_19231201,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 03,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1031ctm/manifest
Work,Acción Socialista 1923-12-08,ark:/21198/z1vb0wd7,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18653vs,,,8 de diciembre de 1923,1923-12-08,8 pages,newspapers,spa,ihc_accionsocialista_19231208,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 04,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb0wd7/manifest
Work,Acción Socialista 1923-12-15,ark:/21198/z1qk04m0,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17682pz,,,15 de diciembre de 1923,1923-12-15,8 pages,newspapers,spa,ihc_accionsocialista_19231215,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 05,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qk04m0/manifest
Work,Acción Socialista 1924-01-06,ark:/21198/z1ks9cx5,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16711j4,,,6 de enero de 1924,1924-01-06,8 pages,newspapers,spa,ihc_accionsocialista_19240106,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 08,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks9cx5/manifest
Work,Acción Socialista 1924-01-13,ark:/21198/z1g47bpc,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15740f6,,,13 de enero de 1924,1924-01-13,8 pages,newspapers,spa,ihc_accionsocialista_19240113,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 09,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g47bpc/manifest
Work,Acción Socialista 1924-01-26,ark:/21198/z1bc6kx6,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5np9,,,26 de enero de 1924,1924-01-26,8 pages,newspapers,spa,ihc_accionsocialista_19240126,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 10,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc6kx6/manifest
Work,Acción Socialista 1924-02-03,ark:/21198/z16m5v5f,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8mkc,,Trangle blocks small part of text on page 1 and 2,3 de febrero de 1924,1924-02-03,4 pages,newspapers,spa,ihc_accionsocialista_19240203,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 11,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m5v5f/manifest
Work,Acción Socialista 1924-02-11,ark:/21198/z12v53f3,ark:/21198/z1ms6f4v|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95vw5,,,11 de febrero de 1924,1924-02-11,8 pages,newspapers,spa,ihc_accionsocialista_19240211,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Arevalo, Juan","Baldo, Jose A.",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 12,"Arevalo, Juan",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v53f3/manifest
