Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00179rv6,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00179rv6_503292_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Drawings,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14 x 21 3/4 inches,uclamss_1179_f1255_0002,,LAPL Exhibition 2009,"Bus Design for White Motors/ALCOA, 1931",1931,1 drawing,1931,pencil on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00179rwq,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00179rwq_503295_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,,,,Japan,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 × 27.5 cm,uclamss_1179_b1287_0002|~|Travel Sketches,,"Landscape drawing of farmland with several structures, and snow-capped mountains in the distance.|~|Title supplied by archivist.|~|LAPL Exhibition 2009","Landscape of farmland in Japan, 1930",1930,1 drawing,1930,Pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00179rzr,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00179rzr_503298_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22 × 28 cm,Travel Sketches|~|uclamss_1179_f1287_0007,,"View of Diego and Frieda Rivera standing next to the [coiled Aztec Xiuhcoatl fire serpent (or fire snake) at Tenayuca Pyramid] in Mexico City. A small section of the pyramid is directly behind the Riveras.Inscription by the artist reads ""Tan Yuka Pyramid / Serpent Diego & Frieda Rivera."" Signed and dated on bottom right.|~|LAPL Exhibition 2009","Tan Yuka Pyramid, Serpent, Diego & Frieda Rivera 1937",1937,1 drawing,1937,Crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00179s39,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00179s39_503301_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Peru,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22 × 30 cm,uclamss_1179_b1287_f0009|~|Travel Sketches,,"View of a church in Cusco, Peru. A [Peruvian] figure is in the foreground.Inscription by the artist reads ""Cuzco."" Signed and dated on bottom left.|~|LAPL Exhibition 2009","Cuzco, 1945",1945,1 drawing,1945,Crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00179s5b,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00179s5b_503316_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Drawings,,,California,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 29.5,Travel Sketches|~|uclamss_1179_f1288_0001,,"View of the Sierra Nevada Mountain Range from Bishop, California with a line of trees in the foreground.|~|Inscription by the artist reads ""Bishop / Sierra.""  Dated on bottom right.|~|LAPL Exhibition 2009","Bishop Sierra, 1932",1932,1 drawing,1932,pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017njfk,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017njfk_720069_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(0903)_0001,,LAPL Exhibit 2009,Laemmle/Universal International Building sketch 1.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q30g,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q30g_720072_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(0903)_0002,,LAPL Exhibit 2009,Laemmle/Universal International Building sketch 2.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q32h,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q32h_720075_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(0903)_0003,,LAPL Exhibit 2009,Laemmle/Universal International Building sketch 3.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q331,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q331_720078_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(0969)_0001,,LAPL Exhibit 2009,Lewin House sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q34j,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0017q34j_720081_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",text,,,,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1047)_0001,,LAPL Exhibit 2009,Bailey Case Study House color sketch.,,1 drawing,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
