Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Description.latitude,Name.fashionDesigner,Description.longitude,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,Bucketeer State,IIIF Access URL
Los Angeles Times Photographic Archive,ark:/13030/hb000003pt,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012602a.tif,,,,Mexican American neighborhoods--California--Los Angeles|~|Land use--California--Los Angeles|~|Eminent domain--California|~|Eviction--California--Los Angeles|~|Environment,still image,news photographs,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Chavez Ravine (Los Angeles, Calif.)",,,,,"University of California, Los Angeles. $b Library Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b131_71660-1,Hillside view of Chavez Ravine,,"August 20, 1951",,,,1951-08-20,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb000003pt
Los Angeles Times Photographic Archive,ark:/13030/hb000003qb,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012637a.tif,,,,"Japanese Americans--California--Los Angeles--Societies and clubs, etc.|~|Japanese American women|~|Japanese Americans--Societies and clubs, etc.|~|Beauty contestants--California--Los Angeles|~|Events|~|Culture",still image,news photographs,Japanese American Citizens' League,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b214_88354,Miss National Japanese-American Citizens League and attendants,,"August 9, 1954",,,,1954-08-09,-118.33109691739,34.0336651969202,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb000003qb
Los Angeles Times Photographic Archive,ark:/13030/hb000003rv,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012712a.tif,,,,"Temples, Buddhist--California--Los Angeles|~|Japanese American children|~|Japanese Americans--California--Los Angeles--Social life and customs|~|Japanese Americans--Social life and customs|~|Religion|~|Youth|~|Culture",still image,news photographs,"Senshin Buddhist Temple (Los Angeles, Calif.)",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b573_232539,"Japanese American children at temple dedication, Los Angeles, 1966",,"May 2, 1966",,,,1966-05-02,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb000003rv
Los Angeles Times Photographic Archive,ark:/13030/hb009n999b,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012624a.tif,,,,Mexican American migrant agricultural laborers|~|Truck farming|~|Celery--Harvesting|~|Economy|~|International,still image,news photographs,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Culver City (Calif.),,,,,"University of California, Los Angeles. $b Library Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b97_64586,"Mexican American agricultural laborers, Culver City (Calif.)",,"May 24, 1950",,,,1950-05-24,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb009n999b
Los Angeles Times Photographic Archive,ark:/13030/hb009n99bv,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012686a.tif,,,,Offenses against property--California--Los Angeles|~|Crime|~|Legal,still image,news photographs,Los Angeles (Calif.). Police Dept.,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Watts (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b570_232050-8,"Police officers guard a looted store in Watts, Los Angeles (Calif.)",,"March 15, 1966",,,,1966-03-15,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb009n99bv
Los Angeles Times Photographic Archive,ark:/13030/hb009n99cc,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012877a.tif,,,,African Americans--Religion|~|African American clergy|~|Baptist Church--Clergy|~|People|~|Religion,still image,news photographs,"Kilgore, Thomas",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b1066_289564,Reverend Thomas Kilgore,,"April 29, 1979",,,,1979-04-29,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb009n99cc
Los Angeles Times Photographic Archive,ark:/13030/hb0199n6fn,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012802a.tif,,,,"World War, 1939-1945--Japanese Americans|~|Japanese Americans--California--Los Angeles--Societies and clubs, etc.|~|Japanese Americans--Societies and clubs, etc.|~|Activism|~|Lifestyle|~|War|~|Culture",still image,news photographs,Japanese American Citizens' League,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Little Tokyo (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b3175_25056-1,Japanese American Citizens' League as Anti-Axis Committee Headquarters,,"December 8, 1941",,,,1941-12-08,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0199n6fn
Los Angeles Times Photographic Archive,ark:/13030/hb038nb0c4,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00038453a.tif,,,,Mexican American neighborhoods--California--Los Angeles|~|Eminent domain--California--Los Angeles|~|Dwellings--Social aspects--California--Los Angeles|~|Mexican American families--California--Los Angeles Region|~|Mexican Americans--Housing--California--Los Angeles|~|Eviction--California--Los Angeles|~|Legal,still image,news photographs,"Angustain, Victoria",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Chavez Ravine (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b382_116242-G,Sheriff Deputies evict Abrana Arechiga from Chavez Ravine home,,"May 9, 1959",,,,1959-05-09,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb038nb0c4
Los Angeles Times Photographic Archive,ark:/13030/hb058002m2,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012933a.tif,,,,"Mexican Americans--California--Los Angeles Region--Social life and customs|~|Mexican American Catholics|~|Mexican Americans--Social life and customs|~|Christmas|~|Processions--California--Los Angeles|~|Posadas (Social custom)--California--Los Angeles|~|Olvera Street (Los Angeles, Calif.)|~|Events|~|Religion|~|Culture",still image,news photographs,"Kathrein, George",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b83_61767-1,"Las Posadas procession on Olvera Street, Los Angeles, 1949",,"December 22, 1949",,,,1949-12-22,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb058002m2
Los Angeles Times Photographic Archive,ark:/13030/hb058002nk,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00013009a.tif,,,,"Mexican Americans $z California $z Los Angeles|~|Mexican American children $z California $z Los Angeles|~|Olvera Street (Los Angeles, Calif.)|~|Lifestyle|~|Environment",still image,news photographs,"Ledesma, Cruz N.",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b426_202870,"Olvera Street scene, Los Angeles, 1960",,"April 13, 1960",,,,1960-04-13,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb058002nk
