Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002j8srs,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15086.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15086,uclamss_1429_15086,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8srs,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8srs/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8ss9,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15087.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15087,uclamss_1429_15087,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8ss9,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8ss9/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8stt,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15088.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15088,uclamss_1429_15088,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8stt,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8stt/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8svb,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15089.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15089,uclamss_1429_15089,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8svb,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8svb/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8swv,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15090.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15090,uclamss_1429_15090,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8swv,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8swv/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8sxc,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15091.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15091,uclamss_1429_15091,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8sxc,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8sxc/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8szw,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15092.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15092,uclamss_1429_15092,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8szw,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8szw/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t0w,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/uclamss_1429_15093.tif,,,,Divorce $z California $z Los Angeles|~|Children $z California $z Los Angeles|~|Snapshots,still image,news photographs|~|cellulose nitrate film,"Emerson, Walter, $d 1923-2011|~|Emerson, Frank Barton, $d 1934-1979",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15093,"Frank Emerson is held by his older brother Walter Emerson, Los Angeles, 1935","Handwritten on negative: 40209 Walter Emerson's children|~|Text from newspaper caption: Two pawns in the Emerson-Sewell love quadrangle, Walter Emerson, 11 years of age, shown in this exclusive picture holding his baby brother, Frank Barton Emerson, 1.",February 1935,1 photograph,b&w nitrate negative,,1935-02,,,"Photograph appears with the article, ""Judge Acts For Boy Trio,"" Los Angeles Times, 26 Feb 1935: A3.|~|The snapshot of a smiling Walter holding baby Frank is piled on top of several other pictures, the edges of which can be seen in the photograph.|~|Although the photograph appears with the newspaper issued on February 26, 1935 it is not specified if the picture was taken at an earlier date.",,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t0w,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t0w/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t1d,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/uclamss_1429_15094.tif,,,,Actors $x American $z California $z Los Angeles|~|Fathers $z California $z Los Angeles|~|Infants $z California $z Los Angeles|~|Custody of children $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Emerson, Frank Barton, $d 1934-1979|~|Emerson, Ralph, 1899-1984",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15094,"Ralph Emerson, actor, holds his son Frank Barton Emerson, Los Angeles, 1935","Text from newspaper caption: With his youngest son, Frank Barton, Walter Emerson is shown in picture. The baby was named after Barton Sewell, whom Emerson accuses of an ""affair"" with Mrs. Emerson.|~|Handwritten on negative: 40209 Walter Emerson + child",February 1935,1 photograph,b&w nitrate negative,,1935-02,,,"Although the photograph appears with the newspaper issued on February 23, 1935 it is not specified if the picture was taken at an earlier date.|~|Photograph appears with the article, ""'Last Ditch' Fight Planned By Emerson To Keep Sons,"" Los Angeles Times, 23 Feb 1935: 3.|~|A smiling Walter Emerson holds Frank up to the camera.|~|Walter W. Emerson is listed as Ralph Emerson in the LCNAF.",,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t1d,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t1d/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t2x,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15095.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15095,uclamss_1429_15095,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t2x,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t2x/manifest
