Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Name.publisher,Name.designer,Title,Relation.relatedTo,AltTitle.descriptive,Format.medium,Format.extent,Format.dimensions,AltTitle.other,Alt ID.local,Date.creation,Date.normalized,Name.creator,Format.material,Description.note,Relation.isPartOf,Description.abstract,Format.technique,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019q5n3,,2,Completed,Collection,,,,,,,,"Chicano archives|~|Mendoza, Ponce, Elizondo Collection|~|Guardia Collection|~|Vasquez Collection|~|Rodella Collection|~|Steve and Nancy Collection|~|Lozano Collection","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,,,,Yolanda Retter-Vargas Collection of Orphan Photographs,Yolanda Retter-Vargas Papers,,,,,Retter-Vargas (Yolanda) Collection of Orphan Photographs,,1900s-1990s,1900/1999,,,,,"The UCLA Chicano Studies Research Center Library (CSRC) was awarded a John Randolph Haynes and Dora Haynes Foundation grant to help preserve and digitize the Yolanda Retter-Vargas Collection of Orphan Photographs. This rich photographic resource consists of six “orphan” collections that were collected at swapmeets and flea markets by the CSRC's previous Librarian and Archivist, Yolanda Retter-Vargas. Although it is unknown who these photographs belonged to, these collections appear to have been gathered by six different families. The photographs document the day-to-day activities of Latino families living in Los Angeles from the early 1900s through the 1990s. One of the project’s goals is to provide the opportunity for community members to contribute additional information about the photographs for the archival record. Information regarding these photographs should be directed to csrcinfo@chicano.ucla.edu",,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019q5n3
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qktg,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qktg_734400_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Mrs. Guardia and her mother with her daughters,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 1/4 x 3 7/16,,CSRC_ORPHAN_GUARDIA_0010.tif,circa 1940s,1940/1949,,Kodak Velox Paper,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qktg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qktg/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qkv0,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qkv0_734419_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Grandmother holding her grandchildren,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 1/4 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0014.tif,circa 1930/1940s,1930/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkv0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkv0/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qkzj,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qkzj_734434_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two babies playing sand box,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,4 3/8 x 3,,CSRC_ORPHAN_GUARDIA_0017A.tif,circa 1940s,1940/1949,,,"Inscribed on back, "" Las mellizas2 anos-Chorrera""",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkzj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkzj/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm0j,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm0j_734392_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two girls sitting on rocks,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,1 7/16 x 1 11/16,,CSRC_ORPHAN_GUARDIA_0008.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm0j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm0j/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm12,ark:/21198/zz0019q5n3,1,In progress,Work,rettervargas/masters/21198-zz0019qm12_734367_master.tif,,,true,private,still image,Black-and-white photographs,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,delete,Yolanda Retter-Vargas Papers,Guardia Collection,,1 Photograph,3 5/8 x 4 11/16,,CSRC_ORPHAN_GUARDIA_0002B.tif,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm12/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm2k,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm2k_734376_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives|~|commercial portraiture,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Studio portrait of Mrs. Guardia,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,1 3/4 x 1 3/8,,CSRC_ORPHAN_GUARDIA_0004.tif,circa 1930/1940s,1930/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm2k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm2k/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm33,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm33_734382_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,The Sweet hearts,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 3/8 x 2 1/4,,CSRC_ORPHAN_GUARDIA_0006.tif,circa 1930s,1930/1939,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm33,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm33/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm4m,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm4m_734428_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two Babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 5/8 x 2 3/8,,CSRC_ORPHAN_GUARDIA_0016.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm4m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm4m/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm54,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm54_734395_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Three little girls holding babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 1/4 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0009.tif,circa 1930/1940s,1930/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm54,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm54/manifest
