"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Rights.countryCreation","Rights.rightsHolderContact","Rights.servicesContact","Language","Name.photographer","Name.subject","Subject","Name.repository","Name.creator","Relation.isPartOf","Alt ID.local","Format.dimensions","Format.extent","Title","Date.creation","Description.note","Publisher.publisherName","Description.contents","Description.abstract","Date.normalized","Format.medium","Finding Aid URL","Opac url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz0008hj24","","2","Completed","Collection","","","","","","","","","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","eng","","","Griffith family--Archives","University of California, Los Angeles. $b Library Special Collections","Griffith Family","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Collection 2060","","","Griffith Family Papers, 1845-1973","1845-1973","","","","Griffith Jenkins Griffith (1850-1919) engaged in mining operations in Mexico. In 1882, he purchased Los Feliz Rancho near Los Angeles, and acquired extensive real estate in the city. In 1896, he donated most of his ranch to the city for a public park, and in 1912 provided money for the construction of an astronomical observatory on Mt. Hollywood. His son, Van Griffith, became president of the Los Angeles Park Board, and was manager of the Griffith Park Transportation Company. He was also a member of the Los Angeles Police Commission and an ombudsman for Mayor Fletcher Bowron. His wife, Constance Griffith, served on the Los Angeles board of directors of the League of Women Voters and on the state board. The collection contains manuscripts, documents, photographs, glass negatives, newspapers, maps, clippings, magazines, books, and miscellaneous memorabilia of the Griffith family, including Griffith J. Griffith, his son Van, and Van's wife, Constance Griffith, including material in the Citizens Research Institute, the Los Angeles city police commission, the Griffith Trust Fund, and the League of Women Voters.","1845/1973","","http://content.cdlib.org/ark:/13030/kt4199q2rv","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233097","Griffith Family Papers","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008hj24"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p2r","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p2r-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Group portraits","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Fabris, Alfred ","Griffith, Van |~|Socha, Mabel V., $d 1883-1966 ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_1","18 x 23 cm. (7.25 x 9 in.)","1 photographic print","Los Angeles Park Commissioners; Van M. Griffith with Warren Bovard, Mabel Socha, E.P. Ryland, & Walter Yeatman","circa 1927","Handwriting on back: Handwriting on back of photo: Park Comissioners Seated left to right, Warren Bovard, Mabel Socha and E.P. Ryland.  Standing L to R Van M. Griffith & Walter Yeatman","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p2r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p2r/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p38","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p38-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Fabris, Alfred ","Griffith, Van ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_1a","","","Van M. Griffith, portrait, circa 1927 [cropped from LA Commissioners image]","circa 1927","Close-up of Van M. Griffith cropped from park commissioner's group portrait id: clus_2060_b21_f2_1","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p38","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p38/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p4s","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p4s-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Steckel, Los Angeles","Griffith, Griffith J.","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b29_2","17 x 22 cm (6.5 x 8.5 in.)","1 photographic print","Griffith J. Griffith, portrait seated, circa 1912","circa 1912","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p4s","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p4s/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p59","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p59-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","McCarthy, J. Harvey|~|Griffith, Van |~|Socha, Mabel V., $d 1883-1966 ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_4","20 x 25 cm. (8 x 10 in.)","1 photographic print","Mabel V. Socha, Henry Lion, Van M. Griffith and J. Harvey McCarthy, 1927","1927","Typed note on back of photograph: This photograph taken June 10, 1927 on the occasion of the delivery by J. Harvey McCarthy of deed from the Carthay Center Syndicate to the Los Angeles Park Board to the Parks in Carthay Center.   Left to right - Mrs. Mabel V. Socha, Member Los Angeles Park Board.  Henry Lion, sculptor of the ""Pioneer"".  Van Griffith, President of Los Angeles Park Board.  J. Harvey McCarthy.","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p59","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p59/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p6t","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p6t-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Steckel, Los Angeles","Griffith, Griffith J.","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b86_1","Photograph: 15 x 21 cm. (5.75 x 8.25 in.)|~|Mount: 27 x 36 cm. (10.5 x 14 in.)","1 photographic print on mount","Griffith J. Griffith, portrait in profile, circa 1912","circa 1912","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p6t","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p6t/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p7b","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p7b-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","Griffith, Van ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_2","20 x 25 cm. (8 x 10 in.)","1 photographic print","Mary Banning and her brother and Van M. Griffith at Banning Park, Wilimington, Calif.","circa 1925","Handwritting on back of photo: Mary Banning and her brother at Banning Park, Wilmington","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p7b","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p7b/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p8v","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p8v-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Group portraits","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","Griffith, Van |~|Socha, Mabel V., $d 1883-1966 ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_3","20 x 25 cm. (8 x 10 in.)","1 photographic print","Van M. Griffith, Roberto, Mabel Socha  & True, group portrait","circa 1925","Condition of photograph: two pieces missing (torn) from photograph.|~|Handwriting on back of photo: L to R Griffith, Roberto, Socha & True","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p8v","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p8v/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090p9c","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090p9c-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Steckel, Los Angeles","Griffith, Griffith J.","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b29_1","Mount: 27 x 36 cm. (10.5 x 14 in.)|~|Photograph: 15 x 21 cm. (5.75 x 8.25 in.)","1 photographic print on mount","Griffith J. Griffith, portrait 3/4 quarter, circa 1912","circa 1912","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p9c","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p9c/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz00090pbw","ark:/21198/zz0008hj24","2","Completed","Work","griffith/masters/21198-zz00090pbw-1-master.tif","","","","still image","","","","","unknown","unknown","Black-and-white photographs|~|Portrait photographs","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","Griffith, Van ","","University of California, Los Angeles. $b Library Special Collections","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","clus_2060_b21_f2_2a","","","Van M. Griffith, portrait, circa 1925 [cropped from Mary Banning image]","circa 1925","close-up of Van M. Griffith taken from image id: clus_2060_b21_f2_2","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090pbw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090pbw/manifest"
