Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Relation.series,Name.subject,Subject,Name.repository,Relation.isPartOf,Name.illustrator,Author,Name.engraver,Title,Alt ID.local,AltTitle.firstLine,Description.caption,AltTitle.other,Description.note,AltTitle.descriptive,Date.creation,Date.normalized,Publisher.publisherName,Format.dimensions,Alt ID.oclc,Publisher.placeOfOrigin,Format.extent,Opac url,Publisher.edition,Alt ID.callNo,Description.tableOfContents,Description.adminnote,Description.inscription,IIIF Manifest URL
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz00094zzv,,,2,Completed,Collection,,,,,,,private,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,,,,,,CBC : Children’s Book Collection,,,,Children's Book Collection,Collection is images of illustrations or text from various books in the Children's Book Collection.NOT ENTIRE BOOK.Method: Create new manuscript for book then add images as pages under that book record.,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00094zzv
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0009750m,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097514,2,Completed,Work,,,,,paged,,private,,,pd,,eng,Alphabet books|~|Hornbooks|~|Primers (Instructional books),,,Hornbooks--Specimens|~|Alphabets,"University of California, Los Angeles. $b Library Special Collections","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,,,A B C : for a good little child who loves father and mother,,,,,"Title on outer flap; other title information and imprint on inner flap.|~|Buff cover, included in pagination.|~|Illustrated alphabet is hand-colored.|~|A battledore, 16 x 22 cm. folded to 16 x 10 cm., comprised of an engraved illustrated alphabet.  Four woodcut vignettes with captions (Travelling Jew -- Fishermen -- Fox hunt -- Man in the snow) on cover.",,1807,,W. & T. Darton,16 cm.,33963563,[London],[6] p. : ill.,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=464226,,PE1118 . A105 1807,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009750m/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0009bf8z,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmcx,2,Completed,Work,,,,,paged,,private,,,pd,,eng,,Routledge’s shilling toy books |~|Walter Crane’s toy books. Shilling series,"Crane, Walter, 1845-1915. Toy books. Shilling series",,"University of California, Los Angeles. $b Library Special Collections","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Crane, Walter, 1945-1915",,"Evans, Edmund, 1826-1905 ",Beauty and the beast [1874],,,,,"Date from Spencer, Isobel Walter Crane (London, 1975), p. 202; Massé and Osborne suggest 1875.|~|Consists of 6 bifolia printed on one side, 3 of letterpress and 3 of chromoxylographic plates, saddle stitched in pictorial stiff paper wrapper; middle bifolium is a single ""centerfold"" plate; leaves [1] and 6 pasted down to inside of wrapper.",,1874,1874,George Routledge and Sons,27 cm.,26879847,London,"6 leaves, [5] leaves of plates (1 folded) : col. ill. (wood engravings)",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=565734,,PZ8 B383 1874,,"Inside front cover [page 2], text page was not scanned.",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009bf8z/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0009bncd,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnt4,2,Completed,Work,,,,,paged,,private,,,pd,,eng,Hornbooks|~|Readers,,,Hornbooks--Specimens,"University of California, Los Angeles. $b Library Special Collections","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,,,A gift from London,,,,Pack of bold figures,"Title from outer flap.  Imprint and other title from foot of leaf [7]|~|Contains hand-colored numerals on leaves [2], [4], [7], and [9]; hand-colored illustrations and couplets on leaves [3], [5], [6], and [8].|~|Wood-engraved illustrations, with captions, on covers (leaves [1] and [10]): Ants or emmets -- Elephant -- Lambs at play -- Spotted deer.",,1810,1810,Published by W. & T. Darton,13 x 22 cm. folded to 13 x 9 cm.,33964401,London,[10] leaves. : ill.,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1514506,,CBC PE1118 .G54 1810 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009bncd/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0009d46g,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009d470,2,Completed,Work,,,,,paged,,private,,,pd,,eng,,,,Picture books for children|~|Counting--Juvenile literature,"University of California, Los Angeles. $b Library Special Collections","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,"Bohny, Niklaus, 1815-1856",,"The new picture book : being pictorial lessons on form, comparison, and number : for children under seven years of age / with explanations by Nicholas Bohny",,,,Recreative instruction,Translation of: Neues Bilderbuch|~|Publisher’s quarter red cloth and chromolithographed paper over boards; pictorial upper board.  Most leaves detached.,,1877,1877,"Edward Stanford, 55, Charing Cross, S.W.",28 x 36 cm.,32686759,London,"[2], 36 leaves : chiefly col. ill.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=742842,,QA113 B64nE 1877,,,"Inscription in ink on upper free endpaper: Alan M. Reid, with Mother’s love, November 29th [18]78.",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009d46g/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017jh01,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh3k,2,Completed,Work,,,,,paged,,private,,,pd,,eng,,,,Picture books for children,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,,,Infantile cabinet of birds,,,,,,,1808,,Darton and Harvey,,,London,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1793967,,CBC QL676.2 .I54 1808 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jh01/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017jh43,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh5m,1,In progress,Work,,,,,paged,,private,,still image|~|text,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,,,Introduction to the natural history of curious and interesting birds.,,,,,,,[ca. 1810?],,,14 cm.,,,1 volume,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1809056,,CBC QL676.2 .I58 1810 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jh43/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017jjxg,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjz0,1,In progress,Work,,,,,paged,,private,,,pd,,,,,,Picture books for children,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.",,,,The history of birds,,,,,,,1836,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1751635,,CBC PZ6 .H6293 1836 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jjxg/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017jk21,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jk3j,1,In progress,Work,,,,,paged,,private,,,pd,,eng,,,,Picture books for children,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Pollard, Josephine, 1834-1892. ",,Large birds,,,,,,,1886,1886,McLoughlin Bros.,28 cm,,,1 volume,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2762850,,CBC * QL676.2 .P65 1886 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jk21/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017knxc,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sp2m,1,In progress,Work,,,,,paged,,private,,,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,"Stories about birds, for little folks : twenty-three engravings.",,,,,,,1856,,Philip J. Cozans,,,New York,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3252466,,CBC PZ 5 H3146go 1856,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017knxc/manifest
