Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Alt ID.local,Description.abstract,Description.note,AltTitle.uniform,Publisher.placeOfOrigin,Date.creation,Relation.textDirection,Format.dimensions,Publisher.publisherName,Relation.isPartOf,Format.medium,Format.extent,Relation.pageNumber,Date.normalized
Medieval and Renaissance Manuscripts,ark:/21198/zz0009gx4f,,2,Completed,Collection,medren/masters/21198-zz002hvqng_2289641_master.tif,19,,,,,,,,,,Medieval and Renaissance Manuscripts,,,"Manuscripts and manuscript leaves, in scripts of the Latin alphabet, ranging from Carolingian minuscule to Burgundian letter and humanist script, written across Europe before 1600 and representing  the Latin, Italian, German, Netherlandish, Italian, English, French, Spanish, and Czech languages. Types of manuscripts include liturgical works, collections of sermons and the florilegia used for sermon composition, confessionals and penitentials for pastoral care, vernacular literature such as romances and verse, business and administrative records, including Italian and French land records—charters, cartularies, terriers, and rent rolls dating from the late thirteenth century to the seventeenth.",,Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz0009gxbj,ark:/21198/zz0009gx4f,2,Completed,Work,,9,,,text,Manuscripts,pd,,,,,"Rouse MS. 1. CARTULARY OF WINDSHEIM, O.E.S.A.",,,,,,Germany (Windsheim),1421-1462,ltr,,,,,,,1421/1462
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6dg,ark:/21198/zz0009gx4f,2,Completed,Work,,207,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 709. Chapelet des vertus.,,170/ 709,,,,Central France (Poitou),1500-1510,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz0009vj21,ark:/21198/zz0009gx4f,2,Completed,Work,,177,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 50. Hours of the Virgin,,170/ 50,,,,,,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000j3rkq,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002kc8nr_2396905_master.tif,6,,,text,Manuscripts,pd,,,,,Belt Ms. 37. BOOK OF HOURS.,,BELT MS 37,,,,"Rouen, France",ca. 1520,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rss1c,ark:/21198/zz0009gx4f,2,Completed,Work,,209,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 715. LIFE AND MIRACLES OF ST. FRANCIS, ETC.",,170/715,,,,"Umbria, Italy",1311-1315,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstf2,ark:/21198/zz0009gx4f,2,Completed,Work,,180,,,text,Manuscripts,pd,lat,,,,"Coll. 170. MS. 348. BIBLE, with prologues and additions.",,170/ 348,"A Latin manuscript Bible containing both the Old and New Testaments, ca. 1400. Written in small Gothic minuscules in vellum and beautifully illuminated in red and blue throughout with many large and elaborately executed capitals.","Written in Spain in the middle of the thirteenth century. In the possession of a Dominican convent or friar before the end of the century; front pastedown top, half cropped, “. . . -ia ordinis predicatorum.” In England before the fourteenth century; English hands on ff. 1r-v, 387r-v, front pastedown. On f. 386 lower margin, erased note of accounts in fourteenth-century anglicana, “... sol[idos] . . . sol[idos] . . . Ego frater . . . sororem . . . sorores. ...” On f. 1v top, an erased note. Paper label “11” on the spine. Belonged to Isaac Foot; his bookplate, f. 1v. Came to UCLA with the Foot Collection in 1960.","BIBLE, Old and New Testaments.",Spain,XIII med,ltr,,,,,,,1201/1300
Medieval and Renaissance Manuscripts,ark:/21198/zz000rw9rt,ark:/21198/zz0009gx4f,2,Completed,Work,,208,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 714. JACOBUS DE MILANO, STIMULUS AMORIS.",,170/ 714,,,,"Touraine, France",XVex,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rxb3x,ark:/21198/zz0009gx4f,2,Completed,Work,,187,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 593. PSEUDO-PHALARIS, Epistolae, trans. Francesco Griffolini of Arezzo.",,170/ 593,,,,Italy (probably Naples),XV (early 1460s),ltr,,,,,,,1460-1469
Medieval and Renaissance Manuscripts,ark:/21198/zz000rz8xt,ark:/21198/zz0009gx4f,2,Completed,Work,,192,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 674. BIBLICAL MISCELLANY.,,170/ 674,,,,Northeastern Italy,1370-80,ltr,,,,,,,
