"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Rights.copyrightStatus","Language","Description.note","Date.normalized","Date.creation","Title","Alt ID.local","Bucketeer State","IIIF Access URL"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbxm/g309nn45","ark:/21198/zz002gcbxm","","","Page","satellite/image/Chifeng_DS1112-1070DA114_114_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbxm%2Fg309nn45"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcbxm/p910qp79","ark:/21198/zz002gcbxm","","","Page","satellite/image/Chifeng_DS1112-1070DA114_114_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbxm%2Fp910qp79"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc5q/0q17x866","ark:/21198/zz002gcc5q","","","Page","satellite/image/Dajijia_DS1103-2183DF014_14_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc5q%2F0q17x866"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc5q/2q479h1x","ark:/21198/zz002gcc5q","","","Page","satellite/image/Dajijia_DS1103-2183DF014_14_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc5q%2F2q479h1x"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc5q/3q30z63b","ark:/21198/zz002gcc5q","","","Page","satellite/image/Dajijia_DS1103-2183DF014_14_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc5q%2F3q30z63b"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc5q/cw306q3h","ark:/21198/zz002gcc5q","","","Page","satellite/image/Dajijia_DS1103-2183DF014_14_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc5q%2Fcw306q3h"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc67/5r874k09","ark:/21198/zz002gcc67","","","Page","satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc67%2F5r874k09"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc67/8z890499","ark:/21198/zz002gcc67","","","Page","satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc67%2F8z890499"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc67/dc84t925","ark:/21198/zz002gcc67","","","Page","satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc67%2Fdc84t925"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc67/m9255g18","ark:/21198/zz002gcc67","","","Page","satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc67%2Fm9255g18"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc7r/4x075x7b","ark:/21198/zz002gcc7r","","","Page","satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc7r%2F4x075x7b"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc7r/4x185f3w","ark:/21198/zz002gcc7r","","","Page","satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc7r%2F4x185f3w"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc7r/7h71pm65","ark:/21198/zz002gcc7r","","","Page","satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc7r%2F7h71pm65"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc7r/92158s40","ark:/21198/zz002gcc7r","","","Page","satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc7r%2F92158s40"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc88/8z38r38c","ark:/21198/zz002gcc88","","","Page","satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc88%2F8z38r38c"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc88/c621g47c","ark:/21198/zz002gcc88","","","Page","satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc88%2Fc621g47c"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc88/fk34g70q","ark:/21198/zz002gcc88","","","Page","satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc88%2Ffk34g70q"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc88/sk26b62h","ark:/21198/zz002gcc88","","","Page","satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc88%2Fsk26b62h"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc9s/hv025b59","ark:/21198/zz002gcc9s","","","Page","satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc9s%2Fhv025b59"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc9s/ng01219s","ark:/21198/zz002gcc9s","","","Page","satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc9s%2Fng01219s"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc9s/qk67f76s","ark:/21198/zz002gcc9s","","","Page","satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc9s%2Fqk67f76s"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcc9s/x664b85n","ark:/21198/zz002gcc9s","","","Page","satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc9s%2Fx664b85n"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccb9/6982h948","ark:/21198/zz002gccb9","","","Page","satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccb9%2F6982h948"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccb9/cx71kz0m","ark:/21198/zz002gccb9","","","Page","satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccb9%2Fcx71kz0m"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccb9/dx55kn0f","ark:/21198/zz002gccb9","","","Page","satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccb9%2Fdx55kn0f"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccb9/j384tk7s","ark:/21198/zz002gccb9","","","Page","satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccb9%2Fj384tk7s"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccct/0w96023z","ark:/21198/zz002gccct","","","Page","satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccct%2F0w96023z"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccct/8919gx51","ark:/21198/zz002gccct","","","Page","satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccct%2F8919gx51"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccct/hn607p84","ark:/21198/zz002gccct","","","Page","satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccct%2Fhn607p84"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccct/j102t785","ark:/21198/zz002gccct","","","Page","satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccct%2Fj102t785"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccdb/78718z51","ark:/21198/zz002gccdb","","","Page","satellite/image/Hangzhou_DZB1211-500049L006001_6_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccdb%2F78718z51"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccdb/sg80jf25","ark:/21198/zz002gccdb","","","Page","satellite/image/Hangzhou_DZB1211-500049L006001_6_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccdb%2Fsg80jf25"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccgc/0n637t5z","ark:/21198/zz002gccgc","","","Page","satellite/image/Jiaodong_DS1103-2183DA018_18_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccgc%2F0n637t5z"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccgc/5p87z648","ark:/21198/zz002gccgc","","","Page","satellite/image/Jiaodong_DS1103-2183DA018_18_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccgc%2F5p87z648"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccgc/6629046g","ark:/21198/zz002gccgc","","","Page","satellite/image/Jiaodong_DS1103-2183DA018_18_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccgc%2F6629046g"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccgc/gj17r45z","ark:/21198/zz002gccgc","","","Page","satellite/image/Jiaodong_DS1103-2183DA018_18_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccgc%2Fgj17r45z"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcchw/8t95gn1c","ark:/21198/zz002gcchw","","","Page","satellite/image/Jiaodong_DS1103-2183DA019_19_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcchw%2F8t95gn1c"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcchw/9v19d358","ark:/21198/zz002gcchw","","","Page","satellite/image/Jiaodong_DS1103-2183DA019_19_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcchw%2F9v19d358"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcchw/rj086g13","ark:/21198/zz002gcchw","","","Page","satellite/image/Jiaodong_DS1103-2183DA019_19_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcchw%2Frj086g13"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccjd/8811sp2q","ark:/21198/zz002gccjd","","","Page","satellite/image/Jiaodong_DS1103-2183DA021_21_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccjd%2F8811sp2q"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccjd/f5082z77","ark:/21198/zz002gccjd","","","Page","satellite/image/Jiaodong_DS1103-2183DA021_21_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccjd%2Ff5082z77"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccjd/h2352f9g","ark:/21198/zz002gccjd","","","Page","satellite/image/Jiaodong_DS1103-2183DA021_21_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccjd%2Fh2352f9g"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccjd/z6035f07","ark:/21198/zz002gccjd","","","Page","satellite/image/Jiaodong_DS1103-2183DA021_21_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccjd%2Fz6035f07"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/4v17986p","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcckx%2F4v17986p"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/6r20kc97","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcckx%2F6r20kc97"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/9j52bc9k","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcckx%2F9j52bc9k"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gcckx/pz977408","ark:/21198/zz002gcckx","","","Page","satellite/image/Jiaodong_DS1103-2183DA022_22_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcckx%2Fpz977408"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/4b94nx1s","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccmf%2F4b94nx1s"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/6764dz0h","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccmf%2F6764dz0h"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/jq061v0v","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccmf%2Fjq061v0v"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccmf/jw673d7p","ark:/21198/zz002gccmf","","","Page","satellite/image/Jiaodong_DS1103-2183DA023_23_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccmf%2Fjw673d7p"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/6303591t","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccnz%2F6303591t"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/jh52vt2m","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccnz%2Fjh52vt2m"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/m884ph1m","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccnz%2Fm884ph1m"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccnz/r933nb49","ark:/21198/zz002gccnz","","","Page","satellite/image/Jiaodong_DS1103-2183DA024_24_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccnz%2Fr933nb49"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/3z54wf9d","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccpg%2F3z54wf9d"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/h341f255","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccpg%2Fh341f255"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/rv474w86","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccpg%2Frv474w86"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccpg/v3933x4q","ark:/21198/zz002gccpg","","","Page","satellite/image/Jiaodong_DS1103-2183DF013_13_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccpg%2Fv3933x4q"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/1n10qh46","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccq0%2F1n10qh46"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/6609qb25","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccq0%2F6609qb25"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/bv867x2f","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccq0%2Fbv867x2f"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccq0/sg92cg5p","ark:/21198/zz002gccq0","","","Page","satellite/image/Jiaodong_DS1103-2183DF016_16_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccq0%2Fsg92cg5p"
