Object Type,Item ARK,Parent ARK (festerize),Parent ARK,Title,STAGE URL,Local identifier,File Name,Thumbnail,Item Sequence,AltTitle.translated,collection.physical,Date.created,Date.normalized,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Subject geographic,viewingHint,Subject,volume/year,issue,IIIF Manifest URL
Work,ark:/21198/z1zw43c7,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 1,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1zw43c7,AR-SERPAJ-H-SPJAL-CI-0001,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00rgg,,Newsletter,Hemeroteca,February 1989,1989-02-01/1989-02-28,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",33 x 22 cm.,4 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Rio de Janeiro (Brazil),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Latin America,paged,Newsletters|~|Nobel Prizes,,no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zw43c7/manifest
Work,ark:/21198/z1v43bmc,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 9,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1v43bmc,AR-SERPAJ-H-SPJAL-CI-0002,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32dqz,,Newsletter,Hemeroteca,June 1990,1990-06-01/1990-06-30,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",29 x 22.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Chile|~|Latin America|~|Central America|~|Peru,paged,Human Rights|~|Newsletters|~|Indigenous peoples|~|Disappeared persons--Chile|~|Coups d'état--Chile|~|Youth,,no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v43bmc/manifest
Work,ark:/21198/z1qg19bt,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 13,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1qg19bt,AR-SERPAJ-H-SPJAL-CI-0003,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38bdr,,Newsletter,Hemeroteca,February - March 1991,1991-02-01/1991-03-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 21.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Persian Gulf|~|Latin America,paged,"Human Rights|~|Newsletters|~|Persian Gulf War, 1991|~|Pacifism",,no. 13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg19bt/manifest
Work,ark:/21198/z1kq0jkn,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 14,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1kq0jkn,AR-SERPAJ-H-SPJAL-CI-0004,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j4198x,,Newsletter,Hemeroteca,April - May 1991,1991-04-01/1991-05-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 21.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Chile|~|Persian Gulf|~|Latin America,paged,"Human Rights|~|Newsletters|~|Justice|~|Impunity|~|Indigenous peoples|~|Coups d'état--Chile|~|Nonviolence|~|Persian Gulf War, 1991",,no. 14,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kq0jkn/manifest
Work,ark:/21198/z1fx9sx8,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 15,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1fx9sx8,AR-SERPAJ-H-SPJAL-CI-0005,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h4487w,,Newsletter,Hemeroteca,June - July 1991,1991-06-01/1991-07-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 21.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Paraguay|~|Latin America,paged,"Human Rights|~|Newsletters|~|Christianity|~|Indigenous peoples|~|Resistance movements, War|~|Democratization",,no. 15,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx9sx8/manifest
Work,ark:/21198/z1b5926n,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 16,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1b5926n,AR-SERPAJ-H-SPJAL-CI-0006,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g4773h,,Newsletter,Hemeroteca,August - September 1991,1991-08-01/1991-09-30,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 21.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Soviet Union|~|Latin America,paged,"Human Rights|~|Newsletters|~|Impunity|~|Disappeared persons|~|Soviet Union--History--Attempted coup, 1991",,no. 16,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b5926n/manifest
Work,ark:/21198/z16d89gx,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 17,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z16d89gx,AR-SERPAJ-H-SPJAL-CI-0007,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f505z8,,Newsletter,Hemeroteca,October - November 1991,1991-10-01/1991-11-30,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 21 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Latin America|~|Peru|~|Southern Cone of South America,paged,Human Rights|~|Newsletters|~|Indigenous peoples|~|Disappeared persons|~|Women,,no. 17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16d89gx/manifest
Work,ark:/21198/z12n7jqr,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 18,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z12n7jqr,AR-SERPAJ-H-SPJAL-CI-0008,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81v77,,Newsletter,Hemeroteca,December 1991 - January 1992,1991-12-01/1992-01-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 20 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,Haiti|~|Mexico|~|Latin America,paged,"Human Rights|~|Newsletters|~|Pacifism|~|Christianity|~|Haiti--History--Coup d'état, 1991|~|Free trade--Mexico|~|Free trade--Social aspects|~|Labor movement|~|Illegal arms transfers",,no. 18,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n7jqr/manifest
Work,ark:/21198/z1xw727v,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 19,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1xw727v,AR-SERPAJ-H-SPJAL-CI-0009,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84t3v,,Newsletter,Hemeroteca,February - March 1992,1992-02-01/1992-03-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",28 x 20 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,El Salvador|~|Peru|~|Guatemala|~|Latin America,paged,"Human Rights|~|Newsletters|~|Democracy|~|Democratization|~|Coups d'état|~|El Salvador--History--Civil War, 1979-1992|~|International Women's Day|~|Militarism|~|Brazil",,no. 19,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xw727v/manifest
Work,ark:/21198/z1t750xr,ark:/21198/z17d5bnr,ark:/21198/z17d5bnr|~|ark:/21198/z13b7wpn,Carta Informativa Nº 20,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1t750xr,AR-SERPAJ-H-SPJAL-CI-0010,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87rw5,,Newsletter,Hemeroteca,April - May 1992,1992-04-01/1992-05-31,"Carta Informativa is a newsletter published by Servicio Paz y Justicia Latinoamérica, containing issues between 1989 and 1996. It centers around news from Latin America as a whole, primarily concerned with issues of human rights and human rights violations, social unrest, poverty, economic and social development and democratization processes, from nonviolent, secular Christian approach. It also informs of the activities from Servicio Paz y Justicia's branches in various Latinamerican countries, including Argentina, Ecuador, Uruguay and Mexico, among others.|~|Carta Informativa es una publicación periódica del Servicio Paz y Justicia América Latina. Contiene números de entre los años 1989 y 1996. Se centra en noticias de Latinomámerica en su conjunto, ocupándose fundamentalmente de cuestiones relativas a los derechos humanos, conflicto social, pobreza, desarrollo social y económico y procesos de democratización, desde una perspectiva basada en la noviolencia y el cristianismo secular. También informa sobre las actividades de las ramas del Servicio Paz y Justicia en diversos países latinoamericanos, incluyendo Argentina, Ecuador, Uruguay y Mexico, entre otros",29 x 20.5 cm.,8 pages,ink on paper,newspapers,spa,Servicio Paz y Justicia América Latina,Buenos Aires (Argentina),Servicio Paz y Justicia América Latina,SERPAJ,text,public domain,"Ecuador|~|Los Angeles, Calif.|~|California (United States)|~|United States|~|Latin America",paged,"Human Rights|~|Newsletters|~|Rodney King Riots, Los Angeles, Calif., 1992|~|Unemployment|~|Indigenous peoples|~|May Day (Labor holiday)",,no. 20,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t750xr/manifest
