"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.creatorCorporate","Subject","Name.subject","Language","Name.photographer","Name.interviewer","Name.creator","Name.interviewee","Name.contributor","Publisher.publisherName","Format.extent","Relation.isPartOf","Title","Date.creation","Description.abstract","Coverage.geographic","Description.tableOfContents","Coverage.temporal","AltTitle.uniform","Description.note","Alt ID.local","Publisher.placeOfOrigin","Format.medium","Description.caption","Format.dimensions","Relation.hasPart","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Mental Health Archive","ark:/21198/z1wh4g3s","ark:/21198/zz001d390c","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz001d390c-2-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4g3s",""
"Mental Health Archive","ark:/21198/z1rr3q95","ark:/21198/zz001d390c","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz001d390c-3-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3q95",""
"Mental Health Archive","ark:/21198/z1n31p2c","ark:/21198/zz001njc44","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz001njc44-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31p2c",""
"Mental Health Archive","ark:/21198/z1hb0x96","ark:/21198/zz001nxk4z","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz001nxk4z-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0x96",""
"Mental Health Archive","ark:/21198/z1ck05jd","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck05jd",""
"Mental Health Archive","ark:/21198/z17s9dt4","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9dt4",""
"Mental Health Archive","ark:/21198/z1418p51","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418p51",""
"Mental Health Archive","ark:/21198/z1087xdv","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087xdv",""
"Mental Health Archive","ark:/21198/z1vh7dz0","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7dz0",""
"Mental Health Archive","ark:/21198/z1qv5cn0","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5cn0",""
