"File Name","Parent ARK","Parent ARK (ingest)","Item ARK","Object Type","Item Sequence","Title","Visibility","AltTitle.other","Type.typeOfResource","Date.creation","Date.normalized","Name.architect","Artist","Author","Name.creator","Name.photographer","Photocopier","Creator 1 Source|~|Creator 2 Source","Description.note","Description.abstract","Format.extent","Description.caption","Rights.copyrightStatus","Copyright Statement","Rights.rightsHolderName","Copyright Holder 1 Source","Rights.servicesContact","Series","Sub-series","Name.subject","Subject.name Role","Subject.name Source","Subject topic","Subject.topic Source","Subject place","Place Source","Description.latitude","Description.longitude","Type.genre","Genre Source","Source?","Physical Location","Thumbnail","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f01_001a.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1g467b8","Work","","Charles Owens in front of a grocery store, Los Angeles, between 1860-1890","","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","still image","[between 1860-1890]","1860/1890","","","","","","","","Charles Owens (center, white shirt and dark suit) among many other people in front of a brick building with a sign reading ""Los Angeles Groceries.|~|Charles Owens was the son of Robert Owens, Sr., early African American pioneer, Los Angeles landowner and successful livery stable owner. Charles married Ellen Mason, the daughter of Biddy Mason, an early African American pioneer and Los Angeles landowner, in 1856.","","1 photograph","Photo label: Charles Owens, son of Robert Owens, Sr. (in center near the wall -- wearing dark suit and hat and a white shirt)","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Charles, 1832-1882","","local","African American pioneers|~|Grocery trade","lcsh|~|lcsh","Los Angeles (Calif.)","lcsh","","","photographs","aat","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","Box 2, Folder 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g467b8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g467b8/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f01_002a.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1bc5gh6","Work","","Ellen Mason Owens Huddleston, daughter of Biddy Mason, between 1858-1868","","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","still image","[between 1858-1868]","1858/1868","","","","","","","","Portrait photograph of Ellen Mason Owens Huddleston as a young woman.  |~|Ellen Mason Owens Huddleston was the daughter of Biddy Mason, early African American pioneer and Los Angeles landowner. She married Charles Owens, the son of Robert Owens, Sr., early African American pioneer, Los Angeles landowner and successful livery stable owner, in 1856.","","1 photograph","Photo label: Ellen Mason as a young woman. 1st marriage to Charles Owens. 2nd marriage to Granville Huddleston.","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Huddleston, Ellen Mason Owens, 1838-1921","","local","African American pioneers","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","Box 2, Folder 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5gh6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc5gh6/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f01_003.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z16m4qsg","Work","","Charles Owens in front of a grocery store, Los Angeles, between 1860-1890","","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","still image","[between 1860-1890]","1860/1890","","","","","","","African American pioneers","Charles Owens (center, white shirt and dark suit) among many other people in front of a store called ""Los Angeles Groceries."" |~|Charles Owens was the son of Robert Owens, Sr., early African American pioneer, Los Angeles landowner and successful livery stable owner. Charles married Ellen Mason, the daughter of Biddy Mason, an early African American pioneer and Los Angeles landowner, in 1856.","","1 photograph","Photo label: Charles Owens, son of Robert Owens, Sr. (in center near the wall -- wearing dark suit and hat and a white shirt)","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Charles, 1832-1882","","local","African American pioneers|~|Grocery trade","lcsh|~|lcsh","","","","","photographs","aat","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","Box 2, Folder 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4qsg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4qsg/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f01_004a.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z12v4030","Work","","Ellen Mason Owens Huddleston, daughter of Biddy Mason, between 1880-1890","","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","still image","[between 1860-1890]","1880/1890","","","","","","","","Studio portrait of Ellen Mason Owens Huddleston as a mature woman.  |~|Ellen Mason Owens Huddleston was the daughter of Biddy Mason, early African American pioneer and Los Angeles landowner. She married Charles Owens, the son of Robert Owens, Sr., early African American pioneer, Los Angeles landowner and successful livery stable owner, in 1856.","","1 photograph","Photo label: Mrs. Ellen Huddleson was born a slave in Hinds County, Missouri, October 15, 1838 -- the daughter of Biddy Mason. When she was 18 she married Charles P. Owens in Los Angeles October 16, 1856. Two sons were born to this union, Robert C. Owens and Henry L. Owens. See ""Negro Trail Blazers of California"" by Delilah Beasley, P. 88-90, 109-110.","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Huddleston, Ellen Mason Owens, 1838-1921","","local","African American pioneers","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Charles Owens (son of Robert Owens Sr.) and wife Ellen Mason (daughter of Biddy Mason)","Box 2, Folder 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4030","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4030/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_001.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1z33gqz","Work","","""Mother Goose"" party given by the Owens family at the Albany St. house, Los Angeles, 1906","","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","1906","1906","","","","","","","","Group portrait photograph of attendees of a ""Mother Goose"" party given by the Owens family. The group is gathered outside of a house on a porch with a striped awning. ","","1 photograph","Photo caption: Above is the famous ""Mother Goose"" party, which was given by the Owens family in 1906. Seen in the photo are many of the city's old timers, as well as some of the young people of that time. Among those present are: Mrs. Titus Alexander, Mamie Cunningham White, Florence Weimer, Dr. and Mrs. A. C. Garrott, Mrs. Louise Lee, Rev. Shields, Robert C. Owens, Elbridge Lee, Anna Dugged Owens, as Mother Goose, Thomas Pillows, Harvey Cunningham, the Holts, two of the Blodgett brothers, and others. The children in the front row are (left to right): Gladys Owens, Miriam Garrott, Manila Owens, Robert and Alva Garrott.","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Anna Dugged, 1872-1932|~|Smith, Gladys Owens, 1895-1995|~|Owens, Manilla Louise, 1898-1930|~|Owens, Robert Curry, 1859-1932|~|Garrott, Miriam, b. 1897|~|Garrott, Robert W., 1899-1976|~|Garrott, Alva, 1894-1983","","local|~|local|~|local|~|local|~|local|~|local|~|local","Parties","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33gqz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33gqz/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_002.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1tf1fb2","Work","","Anna Dugged Owens, Los Angeles, circa 1900","","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","[circa 1900]","1900","","","","","","","","Studio portrait of Anna Dugged Owens seated next to a side table with flowers on the top.|~|Anna Dugged Owens was married to Robert Curry Owens who was the grandson of Robert Owens, Sr., and Biddy Mason, early African American pioneers and Los Angeles landowners.","","1 photograph","","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Anna Dugged, 1872-1932","","local","African American pioneers","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1fb2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf1fb2/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_003a.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1pp0pqp","Work","","Anna Dugged Owens, Los Angeles, circa 1900","","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","[circa 1900]","1900","","","","","","","","Studio portrait of Anna Dugged Owens standing in a satin dress.|~|Anna Dugged Owens was married to Robert Curry Owens who was the grandson of Robert Owens, Sr., and Biddy Mason, early African American pioneers and Los Angeles landowners.","","1 photograph","Front of photo, photographer signature: Stum [...]. Back of photo: Mrs. Robert C. Owens","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Anna Dugged, 1872-1932","","local","African American pioneers","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0pqp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp0pqp/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_004.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1jw9xw2","Work","","[duplicate of :   uclalsc_1889_b13_f07_003]","Private","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","","","","","","","","","","","","1 photograph","","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","","","","","","","","","","Portrait photographs","tgm","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jw9xw2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jw9xw2/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_005a.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z1f4963j","Work","","Robert Curry Owens as a young boy, Los Angeles, circa 1865","","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","[circa 1865]","1865","","","","","","","","Robert Curry Owens was the grandson of Robert Owens, Sr., and Biddy Mason, early African American pioneers and Los Angeles landowners.","","1 photograph","Written on back of photograph: Robert Curry Owens as a young boy returning home from Biddy Mason's home (his maternal grandmother) with his pockets full of pigeons.","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Robert Curry, 1859-1932","","local","African American pioneers","lcsh","Los Angeles (Calif.)","lcsh","","","Portrait photographs","tgm","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f4963j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f4963j/manifest"
"Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_006.tif","ark:/21198/z1418fnd","ark:/21198/z1418fnd|~|ark:/21198/n11s67","ark:/21198/z19c8fct","Work","","Anna Dugged Owens (left) with a playmate, 1880-1900","","Robert Curry Owens, wife Anna Dugger, her Dugger family","still image","[1880-1890]","1880/1890","","","","","","","","Anna Dugged Owens married Robert Curry Owens who was the grandson of Robert Owens, Sr., and Biddy Mason.","","1 photograph","","public domain","","","","spec-coll@library.ucla.edu","Early California, 1781-1920","Early Settlers Within Los Angeles, 1800-1880","Owens, Anna Dugged, 1872-1932","","local","African American pioneers","lcsh","","","","","photographs","aat","Robert Curry Owens, wife Anna Dugger, her Dugger family","Box 2, Folder 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8fct","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19c8fct/manifest"
