Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Name.subject,Rights.rightsHolderContact,Rights.servicesContact,Subject,Date.normalized,Title,Date.creation,Summary,Description.note,IIIF Manifest URL,Representative Image,Masthead
ARPANET Project Notes,ark:/21198/zz002gvzpz,,10,Completed with minimal metadata,Collection,,,,,,,,,copyrighted,US,Y,,,,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,ARPANET Project Notes,,"The ARPANET Project Notes collection includes documentation created at or housed by the Network Measurement Center at UCLA, including ARPANET Satellite System (ASS) Notes, notes on packet radio (i.e. Packet Radio Temp Notes), and SPADE admin notes. These all document the development and use of the first Interface Message Processor (IMP)––which functioned similar to a router in today's internet infrastructure––within the world's first large-scale packet-switching network (ARPANET), by UCLA computer scientists and engineers.",,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002gvzpz,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612kzf,"/96,124,2100,596/full/0/default.jpg"
ARPANET Project Notes,ark:/21198/zz002h28rf,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0cw4,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998|~|Crocker, Stephen David, 1944-|~|Cerf, Vinton G, 1943-",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),10/10/1969,SPADE Admin. Note 1 the SPADE Group,10-Oct-69,,Note describes creation of the Spade Group.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28rf/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28sz,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj43jc,text,copyrighted,US,Y,eng,"Crocker, Stephen David, 1944-",,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),2/7/1970,SPADE Admin. Note 20 SPADE Meeting Notes,17-Feb-70,,Notes discusses name change of SDS Sigma 7 operating system from GORDO to SEX for Sigma EXecutive or Sigma EXperimental system.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28sz/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28tg,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612kzf,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),10/1/1970,SPADE Admin. Note 53,1-Oct-70,,Note is a diagram of SPADE Group projects projected from 1 Oct-Dec 1970.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28tg/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28v0,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281v8k,text,copyrighted,US,Y,eng,"Crocker, Stephen David, 1944-",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),12/9/1970,SPADE Admin. Note 63 NW Measurements Meeting,9-Dec-70,,The note discusses having talk 9 IMPS on the network and network measurements.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28v0/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28wh,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st99h5,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1/11/1971,SPADE Admin. Note 69 Agenda for SPADE Meeting,11-Jan-71,,Note on Telnet and mailboxes design.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28wh/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28x1,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515jxd,,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),2/15/1971,SPADE Admin. Note 71 Progress Report,15-Feb-71,,"Note on SPADE group divide to SEX, Network measurement, and coordination of network development.",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28x1/manifest,,
ARPANET Project Notes,ark:/21198/zz002h28zj,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm3132,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),2/1/1971,SPADE Admin. Note 76 The Plan,1-Feb-71,,"Note is a diagram of workflow for a 3 month plan for network, systems, graphics, documents.",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28zj/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2db5,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224fdg,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),3/12/1971,SPADE Admin. Note 88 SPADE Meeting,12-Mar-71,,Note discusses making net history with a real live user of BBN TENEX via telnet.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2db5/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dcp,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x93xxs,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),4/12/1971,SPADE Admin. Note 94 Crashes and What to do About Them,12-Apr-71,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dcp/manifest,,
