Item ARK,Parent ARK,Parent ARK (Californica),Object Type,Title,STAGE URL,AltTitle.other,Visibility,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,volume/year,issue,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.artist,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Statement of Responsibility,Subject temporal,Subject,Subject geographic,Rights.rightsHolderContact,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z1001tsh,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Bronze Age Metal Object; Treasure Hunters Find From the North,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001tsh,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1965_01874.tif,Louis Dupree and Nancy Dupree Collection,,1965,1965,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1965_01874,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Deh Morasi Ghundai|~|Mother Goddesses|~|Terracotta Figurine|~|Height 6 cm|~|Bronze Age|~|Mundigak,Kandahar|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001tsh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001tsh/manifest
ark:/21198/z1001ttz,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Helmand Darwishan Diversion,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001ttz,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_03024.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1968_03024,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Surkh Kotal|~|Red Pass|~|Staircase|~|Excavations|~|Monumental Staircase|~|Hills|~|Black and White,Baghlan|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001ttz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001ttz/manifest
ark:/21198/z1001tvd,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Stones on Neolithic Field,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001tvd,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_02933.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_02933,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Surkh Kotal|~|Red Pass|~|Staircase|~|Archaeologists|~|Monumental Staircase|~|Black and White|~|Hills,Baghlan|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001tvd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001tvd/manifest
ark:/21198/z1001twv,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"High-Relief Open-Work Belt Clasp; Gold From Tillya Tepe; Near Sheberghan, Jawzjan Province",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001twv,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1981_01987.tif,Louis Dupree and Nancy Dupree Collection,,1981,1981,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1981_01987,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Surkh Kotal|~|Red Pass|~|Staircase|~|Terraces|~|Landscapes|~|Side View|~|Hills|~|Black and White,Baghlan|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001twv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001twv/manifest
ark:/21198/z1001tx9,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Kruen,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001tx9,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1965_00684.tif,Louis Dupree and Nancy Dupree Collection,,1965,1965,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1965_00684,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Pilaster|~|Fire Altar|~|Black and White,Baghlan|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001tx9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001tx9/manifest
ark:/21198/z1001tzr,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Chaman,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001tzr,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_01603.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_01603,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Birds|~|Altar|~|Reconstruction|~|Black and White,Baghlan|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001tzr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001tzr/manifest
ark:/21198/z1001v0m,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"Abdul Malik, Portrait",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001v0m,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1975_00844.tif,Louis Dupree and Nancy Dupree Collection,,1975,1975,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1975_00844,"Dupree, Louis","Malik, Abdul",,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Surkh Kotal|~|Red Pass|~|Temple|~|Non-Buddhist|~|King Kanishka|~|Courtyard|~|Niches|~|Plan,Baghlan|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001v0m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v0m/manifest
ark:/21198/z1001v12,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Jalalabad to Nimla,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001v12,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1976_00284.tif,Louis Dupree and Nancy Dupree Collection,,"April 26, 2976",1976-04-26,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1976_00284,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Surkh Kotal|~|Red Pass|~|Temple|~|Fragmentary Statues|~|King Kanishka|~|Black and White,Baghlan|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001v12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v12/manifest
ark:/21198/z1001v2h,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Shor Bazaar,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001v2h,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1976_01239.tif,Louis Dupree and Nancy Dupree Collection,,1976,1976,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1976_01239,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Houses|~|Snows|~|Mountains|~|Valley|~|Landscapes,Paktia|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001v2h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v2h/manifest
ark:/21198/z1001v3z,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Ghulam Khan,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1001v3z,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1985_01144.tif,Louis Dupree and Nancy Dupree Collection,,"July 28, 1985",1985-07-28,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1985_01144,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Nomads|~|Snows|~|Mountains|~|Gardez|~|Valley|~|Agriculture|~|Landscapes,Paktia|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001v3z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v3z/manifest
