Object Type,Parent ARK,Item ARK,File Name,Local identifier,Title,Name.creator,Date.created,Date.normalized,Type.typeOfResource,Genre,Format.dimensions,Format.medium,Repository,collection.physical,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderContact,Subject,Subject geographic,Rights.statementLocal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1vm6fqx,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03285.tif,acku_dupree_slide_1963_03285,Getting Russian Car Through Sludge,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Uzbek Village|~|Car|~|Workers|~|Sludge|~|Mountains|~|Landscapes,Balkh|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm6fqx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm6fqx/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1qz4ddx,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03286.tif,acku_dupree_slide_1963_03286,Flooded,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Uzbek Village|~|Flood|~|Valley|~|Mountains|~|Landscapes,Balkh|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz4ddx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz4ddx/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1m63nsv,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03287.tif,acku_dupree_slide_1963_03287,Yurt on hill,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Uzbek Village|~|Yurts|~|Hills|~|Nomadic|~|Fields|~|Mountains|~|Landscapes,Balkh|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63nsv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63nsv/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1gf2x0n,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03288.tif,acku_dupree_slide_1963_03288,Wreck blocking road,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Truck|~|Roads|~|Wreck|~|People|~|Fields|~|Mountains|~|Landscapes,Baghlan|~|Pul-i-Khumri|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2x0n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2x0n/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1bp257v,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03289.tif,acku_dupree_slide_1963_03289,Wreck blocking road,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Pul-i-Khumri|~|Wreck|~|Truck|~|Road|~|People|~|Car|~|Fields|~|Mountains|~|Landscapes,Baghlan|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp257v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp257v/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z16x1dgp,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03290.tif,acku_dupree_slide_1963_03290,Cement Factory,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Pul-i-Khumri|~|Cement Factory|~|Hills|~|Landscapes|~|Soviet Bloc,Baghlan|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1dgp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x1dgp/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1350nsq,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03291.tif,acku_dupree_slide_1963_03291,Cement Factory,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Pul-i-Khumri|~|Soviet Bloc|~|Streams|~|Plain|~|Cement Factory|~|Hills|~|Landscapes,Baghlan|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350nsq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350nsq/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1zd05cq,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03292.tif,acku_dupree_slide_1963_03292,Stream Outside Shewaki,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Shewaki|~|Streams|~|Houses|~|Fields|~|Landscapes,Kabul|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd05cq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zd05cq/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1tq8408,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03293.tif,acku_dupree_slide_1963_03293,Village Near Stupa Minar-i-Chakari Clearly Visible,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Shewaki|~|Village|~|Minar-i-Chakari|~|Snows|~|Mountains|~|Plains|~|Landscapes,Kabul|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8408,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq8408/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1pz7c90,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03294.tif,acku_dupree_slide_1963_03294,Stupa,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Shewaki|~|Stupa|~|Fields|~|Mountains|~|Landscapes,Kabul|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7c90,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz7c90/manifest
