Item ARK,Parent ARK,Object Type,Title,AltTitle.other,Visibility,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,volume/year,issue,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal
ark:/21198/z1xw6bb4,ark:/21198/z16d7kmn,Work,"Mother Goddesses Deh Morasi Ghundai, Kandahar Province",,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_01919.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,1999,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1951_01919,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Kandahar|~|Deh Morasi Ghundai|~|Mother Goddesses|~|Terracotta Figurine|~|Height 6 cm|~|Bronze Age|~|Mundigak,,
ark:/21198/z1t45kn5,ark:/21198/z16d7kmn,Work,Surkh Kotal Staircase; Baghlan Province 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_01999.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2000,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_01999,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Excavations|~|Monumental Staircase|~|Hills|~|Black and White,,
ark:/21198/z1pc4v0r,ark:/21198/z16d7kmn,Work,Surkh Kotal Staircase; Baghlan Province 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02000.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2001,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02000,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Archaeologists|~|Monumental Staircase|~|Black and White|~|Hills,,
ark:/21198/z1jm439v,ark:/21198/z16d7kmn,Work,Surkh Kotal Staircase; Baghlan Province 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02001.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2004,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02001,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Terraces|~|Landscapes|~|Side View|~|Hills|~|Black and White,,
ark:/21198/z1dz21z0,ark:/21198/z16d7kmn,Work,"Surkh Kotal Temple; Near Pul-i-Khumri, Baghlan Province 2",,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02004.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2005,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02004,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Pilaster|~|Fire Altar|~|Black and White,,
ark:/21198/z196196j,ark:/21198/z16d7kmn,Work,"Surkh Kotal Temple; Near Pul-i-Khumri, Baghlan Province 3",,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02005.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2006,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02005,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Birds|~|Altar|~|Reconstruction|~|Black and White,,
ark:/21198/z15f0jfc,ark:/21198/z16d7kmn,Work,Surkh Kotal Temple; Baghlan Province 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02006.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,2007,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02006,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Temple|~|Non-Buddhist|~|King Kanishka|~|Courtyard|~|Niches|~|Plan,,
ark:/21198/z11n9spn,ark:/21198/z16d7kmn,Work,Surkh Kotal Temple; Baghlan Province 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1951_02007.tif,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,,3064,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02007,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Temple|~|Fragmentary Statues|~|King Kanishka|~|Black and White,,
ark:/21198/z1ww998n,ark:/21198/z16d7kmn,Work,Paktia 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03064.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3065,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03064,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Houses|~|Snows|~|Mountains|~|Valley|~|Landscapes,,
ark:/21198/z1s48jm4,ark:/21198/z16d7kmn,Work,Passes on Route To Gardez 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03065.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3066,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03065,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Nomads|~|Snows|~|Mountains|~|Gardez|~|Valley|~|Agriculture|~|Landscapes,,
ark:/21198/z1ng6h77,ark:/21198/z16d7kmn,Work,Passes on Route To Gardez 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03066.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3067,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03066,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Gardez|~|Snow|~|Nomads|~|Snows|~|Poplar Trees|~|Dirt Roads|~|Mountains|~|Donkeys,,
ark:/21198/z1hq5rkd,ark:/21198/z16d7kmn,Work,Passes on Route To Gardez 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03067.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3068,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03067,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Snows|~|Mountains|~|Valley,,
