Object Type,Title,Item ARK,Parent ARK,Local identifier,collection.physical,Thumbnail,Item Sequence,File Name,Summary,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Subject geographic,viewingHint,IIIF Manifest URL
Work,Cuba the Loveliest Land that Human Eyes Have Ever Seen,ark:/21198/z1r51psd,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_01|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7sc0,,,,,circa 1920,1920/1930,24 pages ; 28 cm,travel guidebooks,eng,,,Havana (Cuba),Cuban National Tourist Commission,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",Cuba,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51psd/manifest
Work,Golden Hours along the Spanish Main,ark:/21198/z1md0z1n,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_02|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2mqz,,,,,circa 1930-1939,1930/1939,31 pages ; 17 cm,travel guidebooks,eng,El Encanto,,Havana (Cuba),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2565",Cuba,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0z1n/manifest
Work,"Cuban Revolutionary Party (Autenticos), Bulletin no. 8",ark:/21198/z1gq8wr4,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_03|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z05n2,,,,,1936-03-01,1936-03-01,4 pages,newsletters,eng,Partido Revolucionario Cubano (Auténtico),,"Tampa, FL",,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2564",Cuba,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq8wr4/manifest
Work,Cartilla para Aprender a Leer en las Escuelas de Cuba Libre,ark:/21198/z1bz850r,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_04|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m064ds,,,,Edición facsimilar en homenaje al octavo aniversario del 26 de Julio,1961,1961,24 pages ; 26 cm,instructional materials,spa,Daniel Fajardo Ortiz,,Havana (Cuba),Biblioteca Nacional José Martí,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2563",Cuba,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz850r/manifest
Work,El Insituto Hispano-Cubano de Historia de America: Nota Informativa sobre su Caracter y Funcionamiento,ark:/21198/z1767d9s,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_05|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15106,,,,,1928,1928,20 pages ; 20 cm,booklets,spa,Instituto Hispano-Cubano de Historia de América,,Sevilla (Spain),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2562",Cuba,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1767d9s/manifest
Work,Perspective on Che,ark:/21198/z13f6nnz,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_06|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm3cd7,,,,,circa 1969,1960/1969,2 pages,clippings (information artifacts),eng,"Ross, Cambula ",,United States,,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2561",Cuba,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6nnz/manifest
Work,Higgins' Auto tours Havana & New Orleans,ark:/21198/z1zp654m,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_07|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31w0z,,,,,circa 1900-1965,1900/1965,4 pages,travel guidebooks,eng,Higgins',,Havana (Cuba),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2560",Havana (Cuba),paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp654m/manifest
Work,El Presidente del Insituto Hispano-Cubano de Historia de América,ark:/21198/z1tx5ddw,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_08|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447khx,,,,"from letter that accompanied ""El Insituto Hispano-Cubano de Historia de America: Nota Informativa sobre su Caracter y Funcionamiento"" (uclalsc_113_b71_f23_cuba_05)",1929-01-21,1929-01-21,1 pages,dispatches,spa,Instituto Hispano-Cubano de Historia de América,,Sevilla (Spain),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2559",Cuba,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx5ddw/manifest
Work,"Fraternity Park, Havana, Cuba",ark:/21198/z1q54nmk,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_09|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6ttn,,,"Cuban telephone co. bldg. in the background. As a remembrance of the VI Pan-American Conference, the Fraternity Tree was planted in this square, which has taken this name. Secretary of P.W., Mr. Cespedes, has made great success in planning this handsome square of Parisian lines built in the tropics, with tropical gardens and plants and colonial details. Havana is continually beautifying herself: this is only the start. Sooner or later Havana will be the prettiest city of all of the Americas. Come again.",,circa 1928-1965,1928/1969,2 pages,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2558",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q54nmk/manifest
Work,"Alturas de Almendares Park, Havana, Cuba",ark:/21198/z1kh2mb1,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_10|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5kng,,,"Newer portion of Havana is well designed with broad streets, beautiful promenades, drives and picturesque parks or plazas. About 50 fountains throughout the city are supplied by an aqueduct, which also furnishes water to residences.",,circa 1912-1969,1912/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2557",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh2mb1/manifest
