Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Visibility,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.artist,Name.photographer,Relation.isPartOf,Title,Date,Format.dimensions,Format.medium,Description,Description.note,Description.abstract
Art Department Digital Image Collection,ark:/21198/zz0002wfnx,,2,Completed,Collection,,,,private,,,,,,,,,New Genres Collection,Art Department Digital Image Collection,,,,,,
Art Department Digital Image Collection,ark:/21198/zz000966ng,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000966ng-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Margins,1969,"45"" x 27""",Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000966r1,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000966r1-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Conversions III,1971,"30"" x 40""",Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000970x5,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000970x5-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Big Baby Floor,1985,18' x 19' x 16',Rubber|~|Wood,,,
Art Department Digital Image Collection,ark:/21198/zz000970zp,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000970zp-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Houses Up the Wall,1985,10' x 16' x 4',Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz00097598,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz00097598-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Maze Table,1985,"30' x 144' x 144""",Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000975dt,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975dt-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Bad Dream House #2,1988,9' x 10' x 18',Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000975fb,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975fb-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,House of Cars #2,1988,35' x 16' x 13',Wood|~|Cars|~|Steel,,,
Art Department Digital Image Collection,ark:/21198/zz000975gv,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975gv-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Garden Chair,1986,5' x 5' x 5',Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000975kd,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975kd-1-master.tif,,,private,,,,,,copyrighted,"Af Klint, Hilma",,Painting and Drawing Collection,De Ti Storsta. NR 9. Alderdomen,1907,328 x 240,,,,
Art Department Digital Image Collection,ark:/21198/zz000975mx,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975mx-1-master.tif,,,private,,,,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Telebodies,1991,10' x 4' x 4',Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz000975nf,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975nf-1-master.tif,,,private,,,,,,copyrighted,"Af Klint, Hilma",,Painting and Drawing Collection,"De Tio Storsta, NR 3. Ynglingaaldern. Grupp IV",1907,328 x 240,,,,
Art Department Digital Image Collection,ark:/21198/zz000975qg,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000975qg-2-master.tif,,,private,,,,,,copyrighted,"Af Klint, Hilma",,Painting and Drawing Collection,Utsikt over Malaren,1903,35 x 59,,,,
Art Department Digital Image Collection,ark:/21198/zz000976zk,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz000976zk-1-master.tif,,,private,,,,,,copyrighted,"Af Klint, Hilma",,Painting and Drawing Collection,"De Stora Figurmalningarna, NR 4. Grupp III, serie WU",1907,158 x 114,,,,
Art Department Digital Image Collection,ark:/21198/zz0009770k,ark:/21198/zz0002wfnx,2,Completed,Work,art/image/21198-zz0009770k-1-master.tif,,,private,,,,,,copyrighted,"Af Klint, Hilma",,Painting and Drawing Collection,"Svanen, NR 1. Grupp IX.",1914-15,150 x 150,,,,
