File,Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002ckn8k,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2826.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2497",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_2826,zz -- DO NOT CATALOG -- uclamss_1429_2826,,,1 photograph,b&w nitrate negative,,,,,DO NOT CATALOG:  This is a bad photograph,,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn8k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ckn8k/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002ckn93,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2827.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2496",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_2827,ZZZ --- uclamss_1429_2827,,,1 photograph,b&w nitrate negative,,,,,DO NOT CATALOG:  This is a bad photograph,,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn93,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ckn93/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002ckq71,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2856i.tif,,,,Education,still image,news photographs|~|cellulose nitrate film,Scripps College,copyrighted,The Regents of the University of California,Claremont (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2467",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,2556i|~|uclamss_1429_2856i,"zzz - Typewritten description or caption for photographs of Scripps College, Claremont, [1920-1940?]","Text from nitrate negative sleeve: Scripps College for Women, Pomona, Historical",[1920-1940?],1 photograph,b&w nitrate negative,,1920/1940,,,"Possibly connected to Los Angeles Times article, November 23, 1930, College Group Expands Units: Pomona and Scripps Campus Additions Erected|~|Small rectangle of paper, cut around text: Scripps College for women",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckq71,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ckq71/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002ckt2w,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2876i.tif,,,,Lifestyle,still image,news photographs|~|cellulose nitrate film,"Howe, Frank B., $d 1897-1963|~|Dromgold, George|~|Shackelford, James B.|~|Monterey (Ocean liner)",copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2447",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,2876i|~|uclamss_1429_2876i,"zzz - Typewritten description of photograph of James B. Shackelford and George Dromgold on the S.S. Monterey, 1933","Text from nitrate negative sleeve: Shackleford, James B., Naturalist, 1933",1933,1 photograph,b&w nitrate negative,,1933,,,"Text reads: Frank B. Howe, Room 962, 1150 So. Broadway, Los Angeles, Calif.  Gratis.  Mention of ship name is requested.  James B. Shackelford, who achieved world fame when he spent five years in the Gobi desert with Roy Chapman Andrews and made the dinosaur egg discovery, is back from another adventure.  Arriving in America on the SS Monterey, he comes this time from a year in the cannibal country of New Guinea with George Dromgold where the two took 50,000 feet of movies of life never before pictured.  They had a cannibal boat crew as their sole companions.  The picture shows Shackelford (right) and Dromgold on the Monterey as they returned.",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckt2w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ckt2w/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cm40n,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2947i.tif,,,,Golf $z California $z Los Angeles|~|Sports|~|Entertainment|~|Lifestyle,still image,news photographs|~|typescripts|~|cellulose nitrate film,"Los Angeles Country Club (Los Angeles, Calif.)|~|Smith, Macdonald, $d 1890-1949|~|Lloyd, Harold, $d 1893-1971",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2376",eng|~|zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,2947i|~|uclamss_1429_2947i,"zzz - Typewritten caption for photograph of Macdonald Smith and Harold Lloyd, Los Angeles, 1928","Text from nitrate negative sleeve: Smith, Macdonald, Golf, 1928|~|Text reads: MacDonald Smith, nationally known golfer, gives Harold Lloyd a few pointers on his game at the Los Angeles Open Golf Tournament which was held last weekend at the Los Angeles Country Club.",1928,1 photograph,b&w nitrate negative,,1928,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cm40n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cm40n/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cm5kx,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2960i.tif,,,,Government|~|Judges $z California|~|Oaths|~|Legal,still image,news photographs|~|cellulose nitrate film,"McLucas, Victor Roy, $d 1874-1933|~|California. $b Judicial Council|~|Snyder, W. Cloyd $q (William Cloyd), $d 1885-1981|~|Smith, Frank Macpherson, $d 1894-1951|~|Conrey, Nathaniel Parrish, $d 1860-1936|~|Shenk, John W., $d 1875-1959|~|Waste, William Harrison, $d 1868-1940|~|Tyler, John F.|~|Barnard, Charles R., $d 1881-1968",copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2363",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_2960i|~|2960i,"zzz - Typewritten caption for photograph of judges being sworn in as members of the California Judicial Council, 1932","Text from nitrate negative sleeve: Snyder, W. Cloyd, Judge",1932,1 photograph,b&w nitrate negative,,1932,,,"Connected to Los Angeles Times article, December 9, 1932, Seven Sworn in as Members of California Judicial Council. Seven court chiefs, representing all types of California tribunals, were sworn in as members of the Judicial Council of the State of California yesterday by Chief Justice Waste of the State Supreme Court, ex-officio chairman of the council.|~|Text reads: Left to Right, W. Cloyd Snyder, justice of the peace, So Pasadena, Frank M. Smith, judge of the Municipal Court, L.A., Victor R. McLucas, Judge of the Superior Court, "" , John W. Shenk, Associate Justice of the State Supreme Court, John F. Tyler, S.F. District Court of Appeal, 1st dist., presiding justice, Nathaniel P. Conrey, presiding justice, Division One, District Court of Appeal, 2nd appellate dist. L.A., Charles R. Barnard, justice, District Court of Appeal, 4th dist., Fresno, William H. Waste, chief justice, Supreme Court, administering oath.",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cm5kx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cm5kx/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cm84n,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2973i.tif,,,,Lifestyle|~|Youth|~|Arts,still image,news photographs|~|cellulose nitrate film,"Sousa, Eileen Adams, $d b. 1879 or 80|~|Sousa, John Philip, $d 1913-1991|~|Gillon, Jane Priscilla Sousa, $d 1917-1989|~|Sousa, Thomas Adams, $d 1919-1994|~|Du Temple, Alice|~|Beauchamp, Eileen Sousa, $d b. 1906 or 7|~|Sousa, Nancy, $d b. 1920 or 21",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2350",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_2973i|~|2973i,"zzz - Typewritten description identifying subjects in photograph of family of Mrs. John Philip Sousa, Jr., visiting Los Angeles, 1928","Text from nitrate negative sleeve: Sousa, John Philip Mrs. & children","January 16, 1928",1 photograph,b&w nitrate negative,,1928-01-16,,,"Related to Los Angeles Times article, January 17, 1928, Scions of Sousa Emulate Balboa, March King’s Descendants Discover Pacific Ocean.  Mrs. John Philip Sousa, Jr., and her five children arrived in Los Angeles yesterday …|~|Text reads: Mrs, John, Phillips Sousa (Jr), Eileen Sousa.  John Phillip Sousa, (3rd), Jane Pricilla Sousa, Thomy Adams Sousa, Nancy Sousa, Mme, Alice De-Temple (Maid)",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cm84n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cm84n/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cm9x1,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_2983i.tif,,,,Education|~|Debates $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"University of Southern California|~|Franklin, Michael Arthur Ernest, $d b. 1903|~|Monkhouse, Patrick James, $d 1904-1981|~|Syvertson, Arthur Lee, $d 1904-1943|~|Nichols, Alan, $d 1898-1973|~|University of Oxford|~|Berger, William, $d b. ca. 1903|~|Leonard, Adna Wright, $d 1904-1986|~|Isham, Gyles, $d 1903-1976",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2340",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_2983i|~|2983i,"zzz - Handwritten note identifying members of the University of Southern California and Oxford University debate teams, 1926","Text from nitrate negative sleeve: Southern California University, debating team vs. Oxford",1926,1 photograph,b&w nitrate negative,,1926,,,"Text reads: Oxford (England), and U.S.C. debating teams - l. to r. William Berger - U.S.C.  Oxford - Michael A.E. Franklin. U.S.C. - Arthur Syvertson.  Oxford - Gyles Isham.  U.S.C. - Adna W Leonard Jr.  Oxford - Patrick Monkhouse.  U.S.C. coach - Alan Nichols",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cm9x1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cm9x1/manifest
latimes2-9_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cmj4h,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_3033.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2290",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3033,zz -- DO NOT CATALOG -- uclamss_1429_3033,,,1 photograph,b&w nitrate negative,,,,,"Too damaged, and the content of the image isn’t important enough to preserve despite damage",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmj4h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cmj4h/manifest
latimes2-10_needs_review.csv,Los Angeles Times Photographic Archive,ark:/21198/zz002cmm3z,ark:/21198/zz0002np7z,5,Needs Review,Work,latimes/masters/uclamss_1429_3067i.tif,,,,Shipwrecks $z California|~|Transportation,still image,news photographs|~|cellulose nitrate film,Nippon Maru (Tanker)|~|Chehalis (Cargo ship),copyrighted,The Regents of the University of California,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2256",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3067i|~|3067i,"zzz - Handwritten note identifying wrecked ships off Point Arguello, 1933","Text from nitrate negative sleeve: Shipwrecks, Chehalis, 1933",1933,1 photograph,b&w nitrate negative,,1933,,,"Related to Los Angeles Times article, May 30, 1933, “Graveyard of Pacific” Grips Two More Victims, Japan Ship Crew Saved, Captain and Men Taken From Tanker Off Arguello; Chehalis Seamen Believed Removed|~|Text reads: Ship Wrecks, Schooner Chehalis, Jap Oil Tanker ""Nippon Maru,"" ""Chehalis,"" 1933 -",,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmm3z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cmm3z/manifest
