Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Last Edit Date,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Name.artist,Name.illustrator,Name.photographer,Name.compiler,Name.repository,Rights.countryCreation,Rights.rightsHolderContact,Name.architect,Name.fashionDesigner,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Description.caption,Description.adminnote,Description.latitude,Format.dimensions,Description.contents,Date.normalized,Description.note,Date.creation,Description.fundingNote,Alternate Identifier.local,Format.extent,Format.medium,Description.abstract,Description.longitude,Title,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002cqdcj,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:32:20,Work,latimes/masters/uclamss_1429_4582.tif,,,,,Judicial proceedings $z California $z Los Angeles,still image,copyrighted,news photographs|~|Portrait photographs|~|cellulose nitrate film,"McPherson, Aimee Semple, $d 1890-1944|~|Wolf, Anna S.",,,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Wolf, Anna S. McPherson Case.",,,,,1926,"On May 18, 1926, Christian evangelist Aimee Semple McPherson disappeared from Venice Beach, California after going for a swim. She reappeared in Mexico five weeks later, stating she had escaped from kidnappers holding her for ransom there. Her disappearance, reappearance and subsequent court inquiries regarding the allegation that the kidnapping story was a hoax carried out to conceal a tryst with a lover precipitated a media frenzy that changed the course of McPherson's career.|~|Portrait photograph of Anna S. Wolf.",[circa 1926],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4582,1 photograph,b&w nitrate negative,,,"Anna S. Wolf, person related to the Aimee McPherson trial, circa 1926",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cqdcj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cqdcj/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cttxz,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:39:25,Work,latimes/masters/uclamss_1429_4910.tif,,,,,Air pilots $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Goebel, Art. Aviator.",,,,,1928,"Art Goebel (left) with an unidentified man, standing beside his Lockheed Vega monoplane.",1928,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4910,1 photograph,b&w nitrate negative,,,"Art Goebel beside his monoplane probably at Mines Field, Los Angeles, circa 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cttxz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cttxz/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv0g,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:39:43,Work,latimes/masters/uclamss_1429_4912.tif,,,,,Air pilots $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Goebel, Art. Aviator.",,,,,1928,Art Goebel seated in his Lockheed Vega monoplane. His name is printed on the plane.,1928,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4912,1 photograph,b&w nitrate negative,,,"Art Goebel in his monoplane, probably at Mines Field, Los Angeles, 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv0g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv0g/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv52,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:40:04,Work,latimes/masters/uclamss_1429_4917.tif,,,,,Air pilots $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Goebel, Art. Aviator.",,,,,1928,,1928,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4917,1 photograph,b&w nitrate negative,Handwritten on negative: Art Goebel in cockpit,,"Art Goebel seated in the cockpit of his monoplane, probably at Mines Field, Los Angeles, 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv52,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv52/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv10,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:40:24,Work,latimes/masters/uclamss_1429_4913.tif,,,,,Air pilots $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Goebel, Art. Aviator.",,,,,1928,,1928,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4913,1 photograph,b&w nitrate negative,,,"Art Goebel standing in front of his monoplane, probably at Mines Field, Los Angeles, 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv10/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv8m,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:40:50,Work,latimes/masters/uclamss_1429_4920.tif,,,,,Monoplanes $x American,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",,,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Goebel, Art. Aviator.|~|Handwritten on negative: Goebel's plane",,,,,1928,,[circa 1928],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4920,1 photograph,b&w nitrate negative,,,"Art Goebel's monoplane, Yankee Doodle, in flight, circa 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv8m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv8m/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv6k,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:41:13,Work,latimes/masters/uclamss_1429_4918.tif,,,,,Monoplanes $x American,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",,,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: Goebel's plane|~|Text from negative sleeve: Goebel, Art. Aviator.",,,,,1928,,[circa 1928],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4918,1 photograph,b&w nitrate negative,,,"Art Goebel's monoplane, Yankee Doodle, in flight, circa 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv6k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv6k/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j803v,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:42:18,Work,latimes/masters/uclamss_1429_14400.tif,,,,,Parades & processions $z California $z Santa Monica,still image,copyrighted,news photographs|~|cellulose nitrate film,"Pioneer Days (Santa Monica, Calif.)",Santa Monica (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: 6079. Santa Monica Fiesta Parade. 7/16/36. [Filed:] Jul 22 1936.,,34.018087,,,1936-07-16,Float of the Elks fraternal order in the form of the clock logo with an elk mannequin in the back and pulled by horses o Ocean Avenue.,"July 16, 1936",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_14400,1 photograph,b&w nitrate negative,,-118.502717,"Benevolent and Protective Order of Elks float in the Pioneer Days parade, Santa Monica, 1936",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j803v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j803v/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002ctv73,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:42:37,Work,latimes/masters/uclamss_1429_4919.tif,,,,,Air pilots $x American|~|Monoplanes $x American,still image,copyrighted,news photographs|~|cellulose nitrate film,"Goebel, Arthur Cornelius, $d 1895-1973",,,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: Goebel's plane|~|Text from negative sleeve: Goebel, Art. Aviator.",,,,,1926/1930,,[circa 1928],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_4919,1 photograph,b&w nitrate negative,,,"Art Goebel's monoplane, Yankee Doodle, in flight, circa 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ctv73,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ctv73/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dc69j,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2020-01-27 09:42:58,Work,latimes/masters/uclamss_1429_1687.tif,,,,,,still image,copyrighted,news photographs|~|cellulose nitrate film,"McKnight, James S. $q (James Stuart), $d 1884-1950|~|Jones, Mark F. $q (Mark Foulkes), $d 1888-1953|~|Colgrove, Alfred S. $q (Alfred Sheldon), $d 1899-1990",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Colegrove [sic], Alfred. Dep. Dist. Atty.|~|Handwritten on negative: Alfred Colegrove [sic], Mark L. [sic] Jones, James S. McKnight|~|Text from newspaper caption: Scene at arraignment, left to right --- Dep. Dust.-Atty. Colgrove, Mark F. Jones, defense attorney, and Councilman James S. McKnight, defendant.",,,,,1933-03-01,"Photograph appears with the article: “Pair arraigned in bribery case: McKnight and Woodword to enter pleas tomorrow; Councilman granted leave to prepare defense; both deny guild on garbage contract charges,” Los Angeles Times, 2 Mar. 1933: A1.","March 1, 1933",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_1687,1 photograph,b&w nitrate negative,,,"Attorneys Alfred S. Colgrove and Mark F. Jones, with defendant councilman James S. McKnight in court, Los Angeles, 1933",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dc69j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dc69j/manifest
