Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Last Edit Date,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Name.artist,Name.illustrator,Name.photographer,Name.compiler,Name.repository,Rights.countryCreation,Rights.rightsHolderContact,Name.architect,Name.fashionDesigner,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Description.caption,Description.adminnote,Description.latitude,Format.dimensions,Description.contents,Date.normalized,Description.note,Date.creation,Description.fundingNote,Alternate Identifier.local,Format.extent,Format.medium,Description.abstract,Description.longitude,Title,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002cv4bz,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 14:54:27,Work,latimes/masters/uclamss_1429_5154.tif,,,,,Banquets $z California $z Los Angeles|~|Chambers of commerce $z California $z Los Angeles|~|Civic leaders $x Chinese $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Harper, Harry L., $d 1886-1954|~|United States. $b National Recovery Administration",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text on negative sleeve: Harper, Harry L. 1935",,,,,1935,"Harry L. Harper, pictured at the podium (glasses) was the president of the Los Angeles Chamber of Commerce.|~|Several functions were held in 1935, sponsored by the Chamber, so no specific dates can be found to correspond to this photograph.|~|The slogan behind the podium, ""We do our part,"" was the slogan for the National Recovery Administration (NRA).",1935,Access to this collection is generously supported by Arcadia funds.,uclamss_1429_5154,1 photograph,b&w nitrate negative,,,"Chamber of Commerce president Harry L. Harper at a NRA banquet, Los Angeles, 1935",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cv4bz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cv4bz/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dct0k,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:54:16,Work,latimes/masters/uclamss_1429_1915.tif,,,,,"Saint Francis Dam Failure, Calif., 1928|~|Flood damage $z California $z Santa Clara River Valley",still image,copyrighted,news photographs|~|cellulose nitrate film,,Santa Clara River Valley (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: Saint Francis Dam,,,,,1928-03,"The St. Francis Dam was a 200-foot high concrete gravity-arch dam built between 1924 and 1926 in St. Francisquito Canyon (near present-day Castaic and Santa Clarita). The dam collapsed on March 12, 1928 at two and a half minutes before midnight. The resulting flood killed more than 600 residents plus an unknown number of itinerant farm workers camped in San Francisquito Canyon, making it the 2nd greatest loss of life in California after the 1906 San Francisco earthquake. It is considered the worst American civil engineering failure in the 20th century.|~|View of a pile of burning wood debris in a field following the flood resulting from the failure of the Saint Francis Dam. An orchard and mountains are visible in the distance.",March 1928,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_1915,1 photograph,b&w nitrate negative,,,"Burning wood debris in a field following the flood resulting from the failure of the Saint Francis Dam, Santa Clara River Valley (Calif.), 1928",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dct0k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dct0k/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cw8ph,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:54:58,Work,latimes/masters/uclamss_1429_6121.tif,,,,,"Bathing suits|~|Swimming pools $z California $z Los Angeles|~|Children $z California $z Los Angeles|~|Griffith Park (Los Angeles, Calif.)",still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from newspaper caption: Scene at Griffith Park pool yesterday as Harwood Coffin, director, gave signal that sent first group of bathers into the plunge.|~|Handwritten on negative: Griffith Plunge|~|Text from negative sleeve: LOS ANGELES PARKS, GRIFFITH PARK, SWIMMING POOL discolored (try to scan)",,34.117938,,,1934-08-04,"Dozens of children are caught on camera diving head first into the water, with others waiting behind them.|~|Thousands of city children enjoyed an unexpected holiday as the municipal swimming and wading pools reopened for the season after it was closed for a time due to the poliomyelitis epidemic.|~|Photograph appears with the article, ""Children of City Flock to Pools,"" Los Angeles Times, 05 Aug 1934: 16.","August 4, 1934",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_6121,1 photograph,b&w nitrate negative,,-118.270787,"Children plunge into the reopened pool in Griffith Park, Los Angeles, 1934",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cw8ph,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cw8ph/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cw8rj,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:55:38,Work,latimes/masters/uclamss_1429_6123.tif,,,,,"Bathing suits|~|Swimming pools $z California $z Los Angeles|~|Griffith Park (Los Angeles, Calif.)",still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from newspaper caption: Scene at Griffith Park pool yesterday as Harwood Coffin, director, gave signal that sent first group of bathers into the plunge.|~|Text from negative sleeve: LOS ANGELES PARKS, GRIFFITH PARK, SWIMMING POOL discolored (try to scan)",,34.117938,,,1934-08-04,"Thousands of city children enjoyed an unexpected holiday as the municipal swimming and wading pools reopened for the season after it was closed for a time due to the poliomyelitis epidemic.|~|Related to story, ""Children of City Flock to Pools,"" Los Angeles Times, 05 Aug 1934: 16.","August 4, 1934",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_6123,1 photograph,b&w nitrate negative,,-118.270787,"Children swimming in the reopened pool in Griffith Park, Los Angeles, 1934",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cw8rj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cw8rj/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002h92h2,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:56:06,Work,latimes/masters/uclamss_1429_11099.tif,,,,,Newspaper editors $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Allen, Crombie, $d 1874-1946",,,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Allen, Crombie (editor) + past Pres. of Calif. newspaper pubs. Assoc. (one or more being cleaned) Box 13",,,,,1929,"Crombie Allen, smiling, wears a light suit with a pin on his lapel.",[1929],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_11099,1 photograph,b&w nitrate negative,,,"Crombie Allen, past president of the California Newspaper Publishers Association, circa 1929",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h92h2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h92h2/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cw8q1,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:57:10,Work,latimes/masters/uclamss_1429_6122.tif,,,,,"Bathing suits|~|Swimming pools $z California $z Los Angeles|~|Griffith Park (Los Angeles, Calif.)",still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from newspaper caption: Scene at Griffith Park pool yesterday as Harwood Coffin, director, gave signal that sent first group of bathers into the plunge.|~|Handwritten on negative: Griffith Plunge",,34.117938,,,1934-08-04,"Thousands of people enjoyed an unexpected holiday as the municipal swimming and wading pools reopened for the season after it was closed for a time due to the poliomyelitis epidemic.|~|Related to story, ""Children of City Flock to Pools,"" Los Angeles Times, 05 Aug 1934: 16.|~|Text from negative sleeve: LOS ANGELES PARKS, GRIFFITH PARK, SWIMMING POOL discolored (try to scan)","August 4, 1934",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_6122,1 photograph,b&w nitrate negative,,-118.270787,"Crowds swimming in the reopened pool in Griffith Park, Los Angeles, 1934",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cw8q1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cw8q1/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cw8n0,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:57:47,Work,latimes/masters/uclamss_1429_6120.tif,,,,,"Bathing suits|~|Swimming pools $z California $z Los Angeles|~|Griffith Park (Los Angeles, Calif.)",still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: Griffith Plunge|~|Text from negative sleeve: LOS ANGELES PARKS, GRIFFITH PARK, SWIMMING POOL discolored (try to scan)|~|Text from newspaper caption: Scene at Griffith Park pool yesterday as Harwood Coffin, director, gave signal that sent first group of bathers into the plunge.",,34.117938,,,1934-08-04,"Thousands of city children enjoyed an unexpected holiday as the municipal swimming and wading pools reopened for the season after it was closed for a time due to the poliomyelitis epidemic.|~|Related to story, ""Children of City Flock to Pools,"" Los Angeles Times, 05 Aug 1934: 16.","August 4, 1934",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_6120,1 photograph,b&w nitrate negative,,-118.270787,"Crowds swimming in the reopened pool in Griffith Park, Los Angeles, 1934",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cw8n0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cw8n0/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cvxb2,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:58:18,Work,latimes/masters/uclamss_1429_5821.tif,,,,,Historic buildings $z California $z Los Angeles|~|Parking lots $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,"Downtown (Los Angeles, Calif.)",,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Handwritten on negative: Spring St between 1st & 2nd|~|Text from negative sleeve: Los Angeles City Buildings. Historical. Buildings on Springs [i.e. Spring] Street between First and Second.,,34.052566,,,1930/1932,"Photograph of Forde's Auto Park at 133 So. Spring Street in downtown Los Angeles. Sign indicates that prices to park were 25¢ for evenings, Sundays, and for stays of 6 hours or less, or 35¢ for all day parking during the week. A truck with a sign for A. L. Boyden Co. Bee Supplies, Alhambra Calif. is parked in front of the lot.",[between 1930 and 1932],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_5821,1 photograph,b&w nitrate negative,,-118.245062,"Forde's Auto Park lot on Spring Street in downtown Los Angeles, early 1930s",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cvxb2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cvxb2/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cvx9j,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:59:01,Work,latimes/masters/uclamss_1429_5820.tif,,,,,Historic buildings $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,"Downtown (Los Angeles, Calif.)",,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: Los Angeles City Buildings. Historical. Buildings on Springs [i.e. Spring] Street between First and Second.|~|Handwritten on negative: Bldgs on Spring St between 1st [illegible],,34.053098,,,1930/1932,"Photograph of building originally located at 135 S. Spring Street in downtown Los Angeles. First floor sign and awning identifies the storefront as The Big Pipe Store, established in 1882 at that location, and a sign in the window indicates that the store would be moving across the street to 112 S. Spring St in August. The proprietor's name (W. F. Ball) is partially visible on the awning. The store was also known as Ball Big Pipe Store, and later became Hugunin's, located at 406 S. Spring Street.",[between 1930 and 1932],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_5820,1 photograph,b&w nitrate negative,,-118.244030,"Historic location of The Big Pipe Store on Spring Street in downtown Los Angeles, early 1930s",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cvx9j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cvx9j/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002cvxfm,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-12-06 16:59:55,Work,latimes/masters/uclamss_1429_5824.tif,,,,,Historic buildings $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,"Downtown (Los Angeles, Calif.)",,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: Los Angeles City Buildings. Historical. Buildings on Springs [i.e. Spring] Street between First and Second.|~|Handwritten on negative: Bldgs on Spring St between 1st & 2nd,,34.052329,,,1930/1932,"Photograph of the 3-story Howes building on Spring Street between 1st and 2nd Streets in downtown Los Angeles. Also visible are advertisements for lager beer and Old Gold cigarettes, a partial store sign reading Seals, and a restaurant and bakery advertising itself as the ""Best Place to Eat.""",[between 1930 and 1932],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_5824,1 photograph,b&w nitrate negative,,-118.245049,"Howes Building on Spring Street in downtown Los Angeles, early 1930s",https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cvxfm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cvxfm/manifest
