Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.compiler,Name.architect,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Name.illustrator,Publisher.publisherName,Relation.isPartOf,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.fundingNote,Description.adminnote,Description.contents,Description.abstract,Alternate Identifier.OPAC,Alternate Identifier.url,Alternate Identifier.oclc,License,Bucketeer State,IIIF Access URL
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpb1,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpb1-1-master.tif,,,,Cartoonists--United States|~|Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Conrad, Paul, 1924 June 27- |~|Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,,,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s1-2a,"Paul Conrad, shortly after winning the Pulitzer Prize, at celebration with Los Angeles Times publisher Tom Johnson, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,,,"The high resolution image for this item has been lost. It will need to be re-imaged in order to be published. (Lisa McAulay, 2020-04-22)",,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpcj,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpcj-1-master.tif,,,,Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s2-1a,"Tom Johnson at celebration of Los Angeles Times' two Pulitzer Prizes, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,,,"The high resolution image for this item has been lost. It will need to be re-imaged in order to be published. (Lisa McAulay, 2020-04-22)",,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpfk,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpfk-1-master.tif,,,,Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s2-2a,"Tom Johnson at celebration of Los Angeles Times' two Pulitzer Prizes, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,,,"The high resolution TIFF is now missing. I have searched for it and I have not been able to find it. This item should not be published without re-imaging. (Lisa McAulay, 2020-04-22)",,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qphm,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qphm-1-master.tif,,,,Offices--California--Los Angeles|~|Celebrations--California--Los Angeles County|~|Journalists--United States|~|Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Galvez, Jose|~|Johnson, Tom, 1941-|~|Sahugan, Louis|~|Montemayor, Robert",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s2-6a,"Tom Johnson with Pulitzer prize team member Jose Galvez as winners Louis Sahugan and Robert Montemayor look on, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,"Tom Johnson shakes hands with Pulitzer prize team member Jose Galvez as fellow winners Louis Sahugan (left) and Robert Montemayor (right, mostly obscured) look on.",,"The high resolution image for this item has been lost. It will need to be re-imaged in order to be published. (Lisa McAulay, 2020-04-22)|~|Multiple photographers credited for series.  No attribution for individual images.",,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpj4,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpj4-1-master.tif,,,,Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s3-3a,"Tom Johnson at celebration of Los Angeles Times' two Pulitzer Prizes,  Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,,,"The high resolution image for this item has been lost. It will need to be re-imaged in order to be published. (Lisa McAulay, 2020-04-22)|~|Multiple photographers credited for series.  No attribution for individual images.",,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpkn,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpkn-1-master.tif,,,,Cartoonists|~|Journalists--United States|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Conrad, Paul, 1924 June 27- |~|Brooks, Nancy Rivera",copyrighted,The Regents of the University of California,,,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s3-17a,"Paul Conrad celebrating Los Angeles Times Pulitzer Prize wins with fellow winner, Nancy Rivera, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,"Paul Conrad stands in front of others celebrating Los Angeles Times Pulitzer Prize wins, including fellow winner, Nancy Rivera (Brooks) (center, with glasses).",,Original master image marked as lost in 2011 inventory. Cannot find image. Will need to rescan.,,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpm5,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpm5-1-master.tif,,,,Celebrations--California--Los Angeles County|~|Journalists--United States|~|Pulitzer Prizes|~|Lifestyle|~|People|~|Media,still image,news photographs,"Barrera, Aurelio Jose|~|Brooks, Nancy Rivera",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s3-24a,,,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,-118.245238065719,34.0528905374122,"Aurelio Jose Barrera, part of Pulitzer Prize winning team, is poured champagne as fellow winners Noel Greenwood (directly left of Barrera) and Nancy Rivera (Brooks) (center, with glasses) watch.",,Multiple photographers credited for series.  No attribution for individual images.|~|Original master tiff image lost as noted in an inventory from 2011. Negative will need to be rescanned.,,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpnp,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpnp-1-master.tif,,,,Offices--California--Los Angeles|~|Pumping stations--California--Los Angeles County|~|Cartoonists|~|Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media|~|Newspaper employees $z California $z Los Angeles,still image,news photographs,"Los Angeles Times (Firm)|~|Conrad, Paul, 1924 June 27- |~|Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,"Civic Center (Los Angeles, Calif.)",,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s4-10a,"Tom Johnson and Paul Conrad laugh with members of the Los Angeles Times staff at the celebration for Conrad and others' Pulitzer Prize wins, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,Tom Johnson (right) and Paul Conrad (second from right) laugh with members of the Los Angeles Times staff at the celebration for Conrad and others' Pulitzer Prize wins.,,Original master tiff image lost. Negative will need to be rescanned.,,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpp6,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpp6-1-master.tif,,,,Offices--California--Los Angeles|~|Cartoonists|~|Publishers and publishing $z California $z Los Angeles County|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,"Conrad, Paul, 1924 June 27- |~|Johnson, Tom, 1941-",copyrighted,The Regents of the University of California,,,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s4-12a,"Tom Johnson and Paul Conrad during the celebration for Los Angeles Times writers' Pulitzer Prize wins, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,Tom Johnson and Paul Conrad (right and second from right) look at printout during celebration for Conrad and other Los Angeles Times writers' Pulitzer Prize wins.,,Original high-quality tiff has been lost. Negative will need to be rescanned.,,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
Los Angeles Times Photographic Archive,ark:/21198/zz0015qpqq,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/srgb/21198-zz0015qpqq-1-master.tif,,,,Celebrations--California--Los Angeles County|~|Journalists--United States|~|Pulitzer Prizes|~|People|~|Media,still image,news photographs,,copyrighted,The Regents of the University of California,,,"Armstrong, Larry|~|Friedman, Gary","University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",b1516_300192-2-s1-4a,"Pulitzer Prize winning Los Angeles Times journalists celebrate their victory, Los Angeles, 1984",,"April 17, 1984",1 photograph,b&w negative,3.5 x 2.5 cm,1984-04-17,,,Pulitzer Prize winning Los Angeles Times journalists responsible for feature on Latino culture in Southern California celebrate their victory.,,Original high-resolution tiff image has been lost. Documented in an inventory from 2011. The negative will need to be rescanned.|~|Multiple photographers credited for series.  No attribution for individual images.,,,,,,https://creativecommons.org/licenses/by/4.0/,failed,
