Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Last Edit Date,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Name.artist,Name.illustrator,Name.photographer,Name.compiler,Name.repository,Rights.countryCreation,Rights.rightsHolderContact,Name.architect,Name.fashionDesigner,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Description.caption,Description.adminnote,Description.latitude,Format.dimensions,Description.contents,Date.normalized,Description.note,Date.creation,Description.fundingNote,Alternate Identifier.local,Format.extent,Format.medium,Description.abstract,Description.longitude,Title,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002dgbdc,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:34:27,Work,latimes/masters/uclamss_1429_8455.tif,,,,,Mexican American children $z California $z Los Angeles|~|Dresses $z California $z Los Angeles|~|Festivals $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: L2R Consuelo Herrera - 6, Ruth Ramirez 12, 9-16-35.|~|Text from negative sleeve: 2058- / [stamped:] Sep 19 1935 / Consuelo Herrera 6 / Ruth Ramirez 12 / Mex. Celb. 9-16-35",,,,,1935-09-16,"Related to the article, ""PROCESSION MARKS FETE: Latin Residents on Parade Independence Celebration's Concluding Events to Be in Lincoln Park,"" Los Angeles Times, 16 Sep. 1935: A2.|~|Two children are posing in dresses for the Mexican Independence Day celebration.","September 16, 1935",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_8455,1 photograph,b&w nitrate negative,,,"Children participate in Mexican Independence Day, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dgbdc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dgbdc/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j7m12,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:35:05,Work,latimes/masters/uclamss_1429_14079.tif,,,,,Portrait photographs|~|Divorce $z California $z Los Angeles|~|Actresses $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Andrews, Loretta $d 1911-2004",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: Mrs. D. F. Allen / Loretta Andrews|~|Text from negative sleeve: 4838- Mrs D. F. Allen - (Loretta Andrews) / stage / Divorce|~|Text from newspaper caption: Loretta Andrews, former film actress, is pictured above in court yesterday defending $12.245 suit she inherited with the estate of her husband, Frank D. Allen, oil man. The action involved royalties. [Los Angeles Times, 7 Jul. 1936: A2.]",,,,,1936-04-15,"Possibly related to the article, ""Ex-Actress Defends Estate,"" Los Angeles Times, 7 Jul. 1936: A2.","[circa April 15, 1936]",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_14079,1 photograph,b&w nitrate negative,,,"Loretta Andrews, Los Angeles, 1936",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j7m12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j7m12/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dgbgd,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:35:26,Work,latimes/masters/uclamss_1429_8457.tif,,,,,Mexican Americans--California--Los Angeles County|~|Parades & processions $z California $z Los Angeles|~|Festivals $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: Mexican Celebration Sept. 1935|~|Handwritten on negative: Mexican Celebration Sept. 1935,,34.054061,,,1935-09,"A crowd gathers around the steps of the Los Angeles City Hall. On the stage there are rows of seated people and a person standing addressing the crowd. The original Hall of Records is in the background.|~|Related to the article, ""PROCESSION MARKS FETE: Latin Residents on Parade Independence Celebration's Concluding Events to Be in Lincoln Park,"" Los Angeles Times, 16 Sep. 1935: A2.",September 1935,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_8457,1 photograph,b&w nitrate negative,,-118.243409,"Mexican Independence Day celebration at City Hall, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dgbgd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dgbgd/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dgbcv,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:35:56,Work,latimes/masters/uclamss_1429_8454.tif,,,,,Mexican Americans $z California $z Los Angeles|~|Parades & processions $z California $z Los Angeles|~|Festivals $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Handwritten on negative: Mex. Ind. Celebration 1935|~|Text from negative sleeve: 2058- / [stamped:] Sep 18 1935 / Mex. Independ. Celebration 1935,,34.054061,,,1935-09,"A crowd gathers in front of city hall for the beginning of the Mexican Independence Day parade.|~|Related to the article, ""PROCESSION MARKS FETE: Latin Residents on Parade Independence Celebration's Concluding Events to Be in Lincoln Park,"" Los Angeles Times, 13 Sep. 1935: A2.",September 1935,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_8454,1 photograph,b&w nitrate negative,,-118.243409,"Mexican Independence Day parade, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dgbcv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dgbcv/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j7m0j,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:36:44,Work,latimes/masters/uclamss_1429_14078.tif,,,,,Divorce--California--Los Angeles County|~|Portrait photographs|~|Dancers $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Hayes, Mamita C. $q (Mamita Coleman) $d b. circa 1904",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Text from negative sleeve: 4837- Mrs. Mamita Coleman Hayes Formes (Formes) / dancer / Divorce / [stamped:] Apr 15|~|Handwritten on negative: Mrs. Mamita C. Hayes Formes,,,,,1932/1936,"Possibly related to the article, ""Jail match annulment suit filed,"" Los Angeles Times, 29 Feb. 1936: A3.|~|Mamita Hayes married Herbert Formes on October 26, 1932 while he was imprisoned at the Los Angeles County Jail (and on route to San Quentin Penitentiary). Hayes filed a petition for annulment in November 1932, a suit was later filed in Los Angeles County Superior Court in February 1936.",[between 1932-1936],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_14078,1 photograph,b&w nitrate negative,,,"Mrs. Mamita Coleman Hayes Formes, Los Angeles, 1936",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j7m0j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j7m0j/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j7kzj,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:37:31,Work,latimes/masters/uclamss_1429_14077.tif,,,,,Portrait photographs|~|Divorce $z California $z Los Angeles|~|Dancers $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Hayes, Mamita C. $q (Mamita Coleman) $d b. circa 1904",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Handwritten on negative: Mrs. Mamita C. Hayes Formes|~|Text from negative sleeve: 4837- Mrs. Mamita Coleman Hayes Formes (Formes) / dancer / Divorce / [stamped:] Apr 15,,,,,1932/1936,"Possibly related to the article, ""Jail match annulment suit filed,"" Los Angeles Times, 29 Feb. 1936: A3.|~|Mamita Hayes married Herbert Formes on October 26, 1932 while he was imprisoned at the Los Angeles County Jail (and on route to San Quentin Penitentiary). Hayes filed a petition for annulment in November 1932, a suit was later filed in Los Angeles County Superior Court in February 1936.",[between 1932-1936],Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_14077,1 photograph,b&w nitrate negative,,,"Mrs. Mamita Coleman Hayes Formes, Los Angeles, 1936",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j7kzj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j7kzj/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dgbfw,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:38:30,Work,latimes/masters/uclamss_1429_8456.tif,,,,,Mexican American women $z California $z Los Angeles|~|Parades & processions $z California $z Los Angeles|~|Festivals $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Vando, Amapola del $d 1910-1988|~|Garcia, Atalia $d 1903-2004",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: L2R Amapola del Vando, Atalia Garcia, 9-16-35|~|Text from negative sleeve: 2058- / [stamped:] Sep 19 1935 / Amapola del Vando / Atalia Garcia / Mex. Celb. 9-16-35",,,,,1935-09,"Related to the article, ""PROCESSION MARKS FETE: Latin Residents on Parade Independence Celebration's Concluding Events to Be in Lincoln Park,"" Los Angeles Times, 16 Sep. 1935: A2.|~|Two women pose to showcase beaded dresses during the Mexican Independence Day celebration.",September 1935,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_8456,1 photograph,b&w nitrate negative,,,"Women participate in Mexican Independence Day celebration, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dgbfw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dgbfw/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002df5h2,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:39:13,Work,latimes/masters/uclamss_1429_7472.tif,,,,,Phototelegraphy,still image,copyrighted,news photographs|~|cellulose nitrate film,"Robinson, F.W.",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: L to R-- F.W. Robinson, A.V. Kipp, 7-25-35|~|Text from negative sleeve: [stamped:] AUG 8-1935|~|Handwritten on negative sleeve: 1150-- L to R-- F.W. Robinson, A.V. Kipp-- Wirephoto inspection",,,,,1935-08-08,F.W. Robinson (left) looks at telephotograver while A.V. Kipp (right) points to it.,"August 8, 1935",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_7472,1 photograph,b&w nitrate negative,,,"F.W. Robinson and A.V. Kipp inspecting telephotograver, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002df5h2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002df5h2/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002dgphr,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:40:38,Work,latimes/masters/uclamss_1429_8748.tif,,,,,Singers $z California $z Los Angeles|~|Child actors $z California $z Los Angeles|~|Actresses $x American $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Gordon, Anita, $d 1929-2015",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Handwritten on negative: Anita Gordon|~|Handwritten on negative sleeve: 2320-- Anita Gordon, actress? Pilgrimage Play",,,,,1935,Anita Gordon sitting down holding a bouquet of roses after her performance in the Pilgrimage Play. Anita Gordon went on to become a successful singer and actress.,1935,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_8748,1 photograph,b&w nitrate negative,,,"Anita Gordon holding a bouquet of roses, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dgphr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dgphr/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002df5mm,ark:/21198/zz0002np7z|~|ark:/21198/n11s67,2,Completed,2019-11-01 11:41:07,Work,latimes/masters/uclamss_1429_7475.tif,,,,,Divorced women,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles International Airport|~|Adee, Beatrice|~|Phillips, Don",Los Angeles (Calif.),,,,,"University of California, Los Angeles. Library. Department of Special Collections",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",Handwritten on negative sleeve: 1151-- Mrs Beatrice Adee + Don Phillips|~|Handwritten on negative: Mrs. Beatrice Adee,,33.941589,,,1935-07-11,"Beatrice standing by open car door with papers in her hand while Don stands to her right taking object out of pocket while talking to someone off camera. The car is by a ""No Parking"" spot.|~|Related to the article, ""Visits City: Romance Denied by Divorcee,"" Los Angeles Times, 17 July 1935: 6.","July 11, 1935",Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,uclamss_1429_7475,1 photograph,b&w nitrate negative,,-118.408531,"Beatrice Adee and Don Phillips about to leave LAX, Los Angeles, 1935",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002df5mm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002df5mm/manifest
