Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject.descriptiveTopic,Type.typeOfResource,Rights.copyrightStatus,Subject.conceptTopic,Personal or Corporate Name.sponsor,Subject.corporateName,"Subject.Jones, Marcia : local",Subject.otherTopic,Personal or Corporate Publisher.publisherName,Personal or Corporate Name.photographer,Personal or Corporate Name.designer,Name.creator,Personal or Corporate Name.printer,Personal or Corporate Name.conceptor,Personal or Corporate Name.artist,Personal or Corporate Author,Personal or Corporate Name.musician,Personal or Corporate Name.funder,Personal or Corporate Name.other,Personal or Corporate Name.copyrightHolder,Personal or Corporate Name.writer,Personal or Corporate Name.repository,Personal or Corporate Editor,Language,Coverage.geographic,Personal or Corporate Name.actress,Personal or Corporate Name.artDirector,Type.genre,Personal or Corporate Name.publishingDirector,Rights.permission,Personal or Corporate Name.subject,Rights.servicesContact,Alternate Identifier.local,Title,Alternate Title.other,Description.note,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Alternate Title.translated,Description.inscription,Alternate Title.inscribed,Alternate Title.descriptive,Date.normalized,Relation.hasVersion,Relation.derivedFrom,Description.abstract,Opac url,Bucketeer State,IIIF Access URL
AIDS Posters Collection,ark:/21198/zz0002m2hz,ark:/21198/zz0002ksb2,2,Completed,Work,,,,,,still image,pd_usfed,Communication and sex|~|Safe Sex|~|Condom use|~|Acquired Immunodeficiency Syndrome--prevention & control,Centers for Disease Control and Prevention (U.S.),,,,United States. Public Health Service,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,spa,United States,,,posters,,,,,US002,"Si él no tiene un condón, pídele que busque uno",,"Part of &quot;America responds to AIDS&quot; campaign. Picture of a young girl sitting on a chair.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item US002.",United States,1989,58 X 41 cm. (23 x 16 in.),"If he doesn't have a condom, ask him to find one.","Additional poster text: No es lo más fácil de decir. Pero en estos tiempos, tienes que hacerlo. Los condones pueden protegerte, si los usas apropiadamente y cada vez que haces el amor. Si estás saliendo con alguien que no le gusta usar condones, háblale antes de hacer el amor. Dále tu opinión acerca de esto. Y ayudálo en esa situación incómoda. Pero si todaviá se niega a usarlos, preguntate si vale la pena correr el riesgo. America responde al SIDA.",,,,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wmdq,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wmdq-1-master.tif|~|aidsposters/masters/21198-zz0002wmdq_1555392_master.tif,,,,Condoms|~|Cartoons (Working drawings),still image,unknown,Safe sex in AIDS prevention|~|AIDS (Disease)--Prevention|~|HIV Infections--prevention & control,,,,,Guan huai ai zi,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,chi,Hong Kong (China),,,posters,,,,,HK001|~|HK001b,邊個話細個就唔識 [inscribed],Bian ge hua x ge jiu wu shi,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items HK001 and HK001b (back).|~|white background; orange text; A black cartoon figure of a young man standing on the text, with a package of condoms in right hand, shouting ""我識得安全性行為! [Wo shi de an quan xing xing wei!]"" (I know safe sex!) and ""我識得保護自己! [Wo shi de bao hu zi ji!]"" (I know protecting myself!)|~|Additional poster text and cartoon images in the back: 邊個話細個就唔識 [Bian ge hua x ge jiu wu shi](who said i am too innocent to know it), under which five sections are listed, five descriptive paragraphs in Chinese and one chart.|~|Date on back of poster, 2006, reflects when the vendor received the copy later acquired by the UCLA Library.",Hong Kong (China),[between 2001 and 2004],76 x 51 cm. (30 x 20 in.),Who said i am too innocent to know it,"Additional poster text: 關懷愛滋 [guan huai ai zi] = AIDS Concern, with contact information.",,,2001/2004,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wpxf,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wpxf-1-master.tif|~|aidsposters/masters/21198-zz0002wpxf_1555406_master.tif,,,,People,still image,unknown,AIDS (Disease)--Social aspects|~|AIDS (Disease)--Prevention--Moral and ethical aspects.|~|HIV infections--Social aspects,,,,,Joint United Nations Programme on HIV/AIDS,,,,,,,,,,,,,,,eng,Switzerland,,,posters,,,,,UNA010_2|~|UNA010_1,"These are some of the most painful symptoms of HIV and AIDS. Help us fight fear, shame, ignorance and injustice worldwide. [inscribed]",,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items UNA010_2 and UNA010_1 (back).|~|The poster shows a picture of different people with different ethnicities and different ages are talking with no fear about the people who have AIDS and HIV. Some of the examples of what these people said: ""You're fired"", ""I don't want to hear about that"", ""Stay away"", ""you bastard"", ""I'm leaving you"", ""you're an unclean woman"", ""you've brought shame on your family"", ""we can't give you medication"", ""you're already dead"", ""the wedding is off"", ""I'm sorry but we can't come"", ""don't touch anything"", ""I loved you"", ""I thought you loved us"", etc...",Switzerland,[between 1987 and 2004],,,Next to the UNAIDS slogan there is this sentence: Live and let live.,,,1987/2004,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wtgn,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wtgn-1-master.tif|~|aidsposters/masters/21198-zz0002wtgn_1555383_master.tif,,,,,still image,unknown,Awareness|~|Discrimination|~|AIDS (Disease)--Information services|~|Fear|~|Indigenous peoples--Canada,,,,,Canadian Aboriginal AIDS Network,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,Canada,,,posters,,,,,CN033_1|~|CN033_2,HIV/AIDS. Fears. Discrimination. It can end with us [inscribed].,,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items CN033_1 and CN033_2 (back).|~|There is an additional inscription next to the four pictures of native Canadians:The Canadian Aboriginal AIDS Network Inc. (CAAN) is a non-profit coalition of individuals and organizations which provides leadership, support, and advocacy for Aboriginal people affected and infected by HIV/AIDS regardless of where they reside. These four Aboriginal people in the photo to the left have all been affected by HIV/AIDS, fear and discrimination in some way, and come forward as a part of this year’s Aboriginal AIDS Awareness Day Poster Campaign to tell their stories. It is the goal of these individuals, and of all the members and associate members of the Canadian Aboriginal AIDS Network, to make sure that all Aboriginal people in Canada have the facts about HIV, both to protect ourselves and our families, and to help those of us already infected with the disease achieve the quality of life that we deserve. For more information on Aboriginal people and HIV/AIDS call the Canadian Aboriginal AIDS Network toll-free at 1-800-285-2226 or go to our webpage at WWW.caan.ca.|~|Eight men and women are standing or walking on the edge of a hill with black cloud in sky. One of the men wearing boots and pants with no shirt on, has his two hand around his mouth with a position of shouting.",Ottawa (Ont.),[2002?],,,,Aboriginal AIDS awareness,,2002,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wth5,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wth5-1-master.tif|~|aidsposters/masters/21198-zz0002wth5_1555377_master.tif,,,,,still image,unknown,Awareness|~|Discrimination|~|AIDS (Disease)--Information services|~|Fear|~|Indigenous peoples--Canada,,,,,Canadian Aboriginal AIDS Network,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Canada,,,posters,,,,,CN031_1|~|CN031_2,HIV/AIDS. Fears. Discrimination. It can end with us [inscribed].,,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items CN031_1 and CN031_2 (back).|~|There is a picture of a smiling man with shaved head on the bottom of the poster with additional inscription: My name is Duane Morrisseau-Beck. I am Métis, and am 34 years old. I was born to a French Canadian father and Ojibwa mother and raised in The Pas, Manitoba as an adoptee in a Ukrainian family. I am two-spirited, and I have HIV. This disease tests the endurance of your spirit. Knowing that my Métis identity in this country is at jeopardy everyday fuels me to continue fighting not only for my life, but the life and continuation of my people. The best way to face fear is to meet in head on, or not recognize that the word even exists. Wipe out fear and you have understanding. The term HIV/AIDS has created out of a virus so small, it has the world up in arms. The answer to dealing with this is not to be judgmental and share with your family the wonders of life and the uniqueness that makes it our world. For more information on Aboriginal people and HIV/AIDS call the Canadian Aboriginal AIDS Network toll-free at 1-800-285-2226 or go to our webpage at WWW.caan.ca.|~|An old Aboriginal man with long gray hair, wearing a white shirt and native made earring and necklaces, looking at distance with a worried and sad face. There are black clouds over a farm and stormy rain in the background.",Ottawa (Ont.),[2002?],,,,Aboriginal AIDS awareness,,2002,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wtjp,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wtjp-1-master.tif|~|aidsposters/masters/21198-zz0002wtjp_1555380_master.tif,,,,,still image,unknown,Awareness|~|Discrimination|~|AIDS (Disease)--Information services|~|Fear|~|Indigenous peoples--Canada,,,,,Canadian Aboriginal AIDS Network,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Canada,,,posters,,,,,CN032_1|~|CN032_2,HIV/AIDS. Fears. Discrimination. It can end with us [inscribed].,,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items CN032_1 and CN032_2 (back).|~|An Aboriginal woman wearing a sleeveless shirt, tall collar covers her neck. She has long hair and looks concerned and unhappy. There is a farm and black cloud in sky and storm behind the farm in the background of her.|~|On the bottom of the poster is a picture of a smiling man with baseball hat and goatee beard and mustache, wearing a white t-shirt with inscription, Hockey …on it and sitting with a smiling baby next to additional inscription: My name is Jake Linklater. I am 32 years old and I am an Ojibway from the Cape Croker Band in Wiarton, Ontario. I worked at the Canadian Aboriginal AIDS Network in Ottawa for two years and the experience changed my life. My wife and I went home to the reserve and fought to have an HIV/AIDS curriculum put into our school so that our children could be educated about the disease. When I lived on the reserve, people with HIV/AIDS weren’t a big priority for me. When a woman within our community found out she was infected, the biggest thing we all thought was who was with her, who slept with who, and am I OK? That same woman didn’t get much help on our reserve, and I didn’t really care one way or the other about her. I believed if you were infected it was tour own fault – for choosing a different lifestyle, for not being married. Working with people with HIV/AIDS has opened us up to be more compassionate and understanding and hopefully we can change how people on our reserve think about HIV and those who live with this disease. For more information on Aboriginal People and HIV/AIDS call the Canadian Aboriginal AIDS Network toll-free at 1-800-285-2226 or go to our webpage at WWW.caan.ca.",Ottawa (Ont.),[2002?],,,,Aboriginal AIDS awareness,,2002,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wtpr,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wtpr-1-master.tif|~|aidsposters/masters/21198-zz0002wtpr_1555389_master.tif,,,,,still image,unknown,Awareness|~|Discrimination|~|AIDS (Disease)--Information services|~|Fear|~|Indigenous peoples--Canada,,,,,Canadian Aboriginal AIDS Network,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Canada,,,posters,,,,,CN035_1|~|CN035_2,HIV/AIDS. Fears. Discrimination. It can end with us [inscribed].,,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items CN035_1 and CN035_2 (back).|~|An happy old Aboriginal man, wearing a fare coat with the hood over a ski hat. Behind him is a scene of water and shore before mountains with black cloud in sky.|~|In bottom of poster a picture shows an smiling native Canadian woman with additional inscription:My name is Zipporah Ypma. I am an Inuk woman born in Main Labrador. I worked as a nursing assistant in Labrador for many years. I have two grown children born after a year-long stint in the Armed Forces. I spent a number of years in the Arctic communities of Clyde River and Yellowknife. When I came to Ottawa, I agreed to join the steering committee of the Canadian Inuit HIV/AIDS Network and add my voice to the growing number of Inuit working to prevent the spread of HIV and AIDS among our people. I do my best to encourage people to reach out with open hearts to those in need and help them to understand that this is just a disease. It does not change the true spirit of people living with HIV or AIDS. Discrimination is rooted in fear. Combating fear requires all of us to make sure others have the facts and that we remind them of the Inuit values and traditions of caring and concern for our community members in need. For more information on Aboriginal people and HIV/AIDS call the Canadian Aboriginal AIDS Network toll-free 1-800-285-2226 or go to our webpage at WWW.caan.ca.",Ottawa (Ont.),[2002?],,,,,,2002,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wtrs,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wtrs-1-master.tif|~|aidsposters/masters/21198-zz0002wtrs_1555386_master.tif,,,,,still image,unknown,Awareness|~|Discrimination|~|AIDS (Disease)--Information services|~|Fear|~|Indigenous peoples--Canada,,,,,Canadian Aboriginal AIDS Network,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Canada,,,posters,,,,,CN034_1|~|CN034_2,HIV/AIDS. Fears. Discrimination. It can end with us [inscribed].,,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items CN034_1 and CN034_2 (back).|~|An Aboriginal woman is carrying her baby on a native baby carrier which is hanging on her back and watching the baby over her shoulder. Behind her, some people are walking toward white houses next to a farm and before mountains.|~|Additional inscription next to a picture of a young man wearing a baseball hat:My name is Audla Eetoorooloopiag Geetah-Cyr. I am an Inuk born in Iqaluit. I am 15 years old, and I live in Ottawa with my two fathers. My mother died from AIDS when I was only four years old. Sometimes people, not just kids, said mean things about my mother or called me names. It made us sad, not angry. People’s fear of HIV and AIDS is what made my mother decide it would be safer for me to be adopted out of my family by my dads in the south. My mother loved me enough to made sure I would be safe when she died. I am really proud of the remarkable things she did to educate Inuit about HIN/AIDS even they didn’t want to listen. Now tell people when it comes to HIV/AIDS not to be silent. Talk from your heart and tell people how you feel. Help them understand that the fear they feel is because they do not have facts and that they need to get them, not just for themselves but for their friends and family too. For more information on Aboriginal people and HIV/AIDS call the Canadian Aboriginal AIDS Network tool-free at 1-800-285-2226 or go to our webpage at WWW.caan.ca.",Ottawa (Ont.),[2002?],,,,Aboriginal AIDS awareness,,2002,,,,,,
AIDS Posters Collection,ark:/21198/zz0002x029,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002x029-1-master.tif|~|aidsposters/masters/21198-zz0002x029_1555400_master.tif,,,,Women|~|Africans|~|Braids (Hairdressing),still image,unknown,HIV-positive women|~|HIV-positive persons--Conduct of life|~|Discrimination|~|AIDS (Disease)--Patients--Family relationships|~|HIV Infections--transmission|~|Acquired Immunodeficiency Syndrome--Personal Narratives,,,,,Panos Southern Africa,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Zambia,,,posters,,,,,UK029_1|~|UK029_2,Making sense of global change [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, items UK029_1 and UK029_2 (back).|~|Back side of poster contains 5 photographs and additional background text about Micah and other Panos programs, and solicits donations for Panos.|~|Front of poster depicts color photograph of an African woman with intricate braiding.|~|Date on back of poster, 2006, reflects when the vendor received the copy later acquired by the UCLA Library.",Lusaka (Zambia),[2005],,,"Additional poster text: ""When I got the news that I was HIV positive I didn't panic because I was not the first and I knew I wouldn't die immediately. But then I told my family. They stopped coming to see me and wouldn't even talk to me... but I persevered. I used to pester my younger sister to do my hair - she did my hair in the photograph and I thing it's why the man I'm with now was interested in me."" Micah, Kabuta village, Zambia.",,,2005,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzf25,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzf25_1687393_master.tif|~|aidsposters/masters/21198-zz001zzf25_1687396_master.tif,,,,Razor blades|~|Urinals|~|Bathrooms,still image,,Sexually Transmitted Diseases--prevention & control|~|Sexually transmitted diseases--Prevention|~|Gonorrhea|~|Condoms,,,,,Belgium. Ministère de la communauté française|~|Ex Aequo (Organization),,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,Belgium,,,posters,,,,,BE044,Chaude pisse! [Inscribed],,"Translated additional poster text: Do you piss razor blades? The clap or gonorrhea is an easily contagious STI [Sexually Transmitted Infection] becoming more common among homosexual men. It is easily transmitted by unprotected direct contact with genital, and oral secretions (fellation, penetration, deep kissing,...) of an infected person. The best way to protect ones self from STIs is to use a condom with lubricant gel.|~|The poster contains a picture of three razor blades on the top and three pictures of urinals.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item BE044.",Brussels (Belgium),[2008?],,Clap!,"Additional poster text: Vous pissez des lames de rasoir? La Chaude-pisse ou gonorrhée est une IST facilement contagieuse et de plus en plus présente chez les homosexuels masculins. Elle se transmet très facilement par contact direct non protégé avec les sécrétions génitales, anales et orales (fellation, pénétration, baiser profond,...) d'une personne infectée. Le préservatif en duo avec du gel lubrifiant est le meilleur moyen pour se protéger des IST.",,,2008,,,,,,
