Object Type,Title,Item ARK,Parent ARK,File Name,Thumbnail,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic,volume | issue,IIIF Manifest URL
Work,Man Sen Yat Po 1947-07-29,ark:/21198/z17m270x,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13mc,,,,,,1947-07-29,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 26 | no. 8551,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m270x/manifest
Work,Man Sen Yat Po 1953-02-02,ark:/21198/z13v1g7r,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n42hf,,,,,,1953-02-02,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10226,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v1g7r/manifest
Work,Man Sen Yat Po 1953-02-03,ark:/21198/z1030qjs,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5qrj,,,,,,1953-02-03,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10227,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030qjs/manifest
Work,Man Sen Yat Po 1953-02-04,ark:/21198/z1vb074s,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8pm5,,,,,,1953-02-04,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10228,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb074s/manifest
Work,Man Sen Yat Po 1953-02-05,ark:/21198/z1qj9gc2,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1nfw,,,,,,1953-02-05,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10229,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj9gc2/manifest
Work,Man Sen Yat Po 1953-02-06,ark:/21198/z1kw7f3h,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4vjj,,,,,,1953-02-06,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10230,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw7f3h/manifest
Work,Man Sen Yat Po 1953-02-07,ark:/21198/z1g46pdj,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7tg2,,,,,,1953-02-07,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10231,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g46pdj/manifest
Work,Man Sen Yat Po 1953-02-09,ark:/21198/z1bc5xmx,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0sb7,,,,,,1953-02-09,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10232,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc5xmx/manifest
Work,Man Sen Yat Po 1953-02-10,ark:/21198/z16m55v4,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2fnm,,,,,,1953-02-10,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10233,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m55v4/manifest
Work,Man Sen Yat Po 1953-02-11,ark:/21198/z12v4f58,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5dh7,,,,,,1953-02-11,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10234,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4f58/manifest
