Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Description.caption,Date.normalized,Description.abstract,Description.creation,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154gx9,ark:/21198/zz001549qs,2,Completed,Page,,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154tjf,ark:/21198/zz00154t89,2,Completed,Page,,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155001,ark:/21198/zz00154zwj,2,Completed,Page,,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001554p9,ark:/21198/zz001554cn,2,Completed,Page,,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001555h6,ark:/21198/zz001554d5,2,Completed,Page,,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155d2v,ark:/21198/zz00155c6f,2,Completed,Page,,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155d9g,ark:/21198/zz00155c6f,2,Completed,Page,,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155qkz,ark:/21198/zz00155qjf,2,Completed,Page,scwu/images/masters/21198-zz00155qkz-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015663x,ark:/21198/zz0015657h,2,Completed,Page,,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001566n6,ark:/21198/zz0015657h,2,Completed,Page,,21,,,,,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00156kkg,ark:/21198/zz00156kgx,2,Completed,Page,,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bg1j,ark:/21198/zz0015bfh9,2,Completed,Page,,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgmb,ark:/21198/zz0015bgkt,1,In progress,Page,,1,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgqw,ark:/21198/zz0015bgkt,1,In progress,Page,,2,,private,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgrd,ark:/21198/zz0015bgkt,1,In progress,Page,,3,,private,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgsx,ark:/21198/zz0015bgkt,1,In progress,Page,,4,,private,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgtf,ark:/21198/zz0015bgkt,1,In progress,Page,,5,,private,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgvz,ark:/21198/zz0015bgkt,1,In progress,Page,,6,,private,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgwg,ark:/21198/zz0015bgkt,1,In progress,Page,,7,,private,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bgzh,ark:/21198/zz0015bgkt,1,In progress,Page,,8,,private,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh0h,ark:/21198/zz0015bgkt,1,In progress,Page,,9,,private,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh11,ark:/21198/zz0015bgkt,1,In progress,Page,,10,,private,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh2j,ark:/21198/zz0015bgkt,1,In progress,Page,,11,,private,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh32,ark:/21198/zz0015bgkt,1,In progress,Page,,12,,private,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh4k,ark:/21198/zz0015bgkt,1,In progress,Page,,13,,private,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh53,ark:/21198/zz0015bgkt,1,In progress,Page,,14,,private,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh6m,ark:/21198/zz0015bgkt,1,In progress,Page,,15,,private,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh74,ark:/21198/zz0015bgkt,1,In progress,Page,,16,,private,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh8n,ark:/21198/zz0015bgkt,1,In progress,Page,,17,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bh95,ark:/21198/zz0015bgkt,1,In progress,Page,,18,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhbp,ark:/21198/zz0015bgkt,1,In progress,Page,,19,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhc6,ark:/21198/zz0015bgkt,1,In progress,Page,,20,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhdq,ark:/21198/zz0015bgkt,1,In progress,Page,,21,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhf7,ark:/21198/zz0015bgkt,1,In progress,Page,,22,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhgr,ark:/21198/zz0015bgkt,1,In progress,Page,,23,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhh8,ark:/21198/zz0015bgkt,1,In progress,Page,,24,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhjs,ark:/21198/zz0015bgkt,1,In progress,Page,,25,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhk9,ark:/21198/zz0015bgkt,1,In progress,Page,,26,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhmt,ark:/21198/zz0015bgkt,1,In progress,Page,,27,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhnb,ark:/21198/zz0015bgkt,1,In progress,Page,,28,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhpv,ark:/21198/zz0015bgkt,1,In progress,Page,,29,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015bhqc,ark:/21198/zz0015bgkt,1,In progress,Page,,30,,private,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,missing,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvf0,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvf0-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvgh,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvgh-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvh1,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvh1-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvjj,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvjj-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvk2,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvk2-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvmk,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvmk-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvn3,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvn3-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvpm,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvpm-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvq4,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvq4-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvrn,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvrn-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvs5,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvs5-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvtp,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvtp-1-master.tif,13,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvv6,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvv6-1-master.tif,14,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvwq,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvwq-1-master.tif,15,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvx7,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvx7-1-master.tif,16,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qvzr,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qvzr-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw0r,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qw0r-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw18,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qw18-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw2s,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qw2s-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw39,ark:/21198/zz0015qnwt,2,Completed,Page,scwu/images/masters/21198-zz0015qw39-1-master.tif,21,,,,,,,,,,,,,,,,,,,,,,,,,Page 21 (Insert),,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw5b,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qw5b-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw6v,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qw6v-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw7c,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qw7c-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qw8w,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qw8w-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qwfg,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qwfg-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,failed,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015qwg0,ark:/21198/zz0015qw4t,2,Completed,Page,scwu/images/masters/21198-zz0015qwg0-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,failed,
