"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","IIIF Manifest URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmswg","ark:/21198/zz000s2z8d","2","Completed","Work","","2","","","","text","copyrighted","N","unpublished","United States","","Phillips, Liz","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press","","","individuals","","private","","Letter Regarding Recommendation for a Proposal to Feminist Press","1979-06-25","June 25, 1979","Rights.generalNote: Need to obtain permission to publish from original author.","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmswg/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmt11","ark:/21198/zz000s2z8d","2","Completed","Work","","3","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Phillips, Liz|~|Feminist Press","","","individuals","","","","Response to Letter Regarding Recommendation for a Proposal to Feminist Press","1979-07-05","July 5, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmt11/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmt32","ark:/21198/zz000s2z8d","2","Completed","Work","","4","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Anzaldua, Gloria|~|Smith, Barbara, 1946-|~|Phillips, Liz|~|Feminist Press","","","individuals","","","","Letter Regarding Directory of Third World Women Writers","1979-07-06","July 6, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmt32/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtrw","ark:/21198/zz000s2z8d","2","Completed","Work","","5","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Phillips, Liz|~|Feminist Press","","","individuals","","","","Letter Regarding Tentative List of Articles and Bibliography","1979-09-29","September 29, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmtrw/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmttx","ark:/21198/zz000s2z8d","2","Completed","Work","","6","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Smith, Barbara, 1946-|~|Phillips, Liz","","","individuals","","","","Letter Regarding Inclusion of Women of Color in Anthology","1979-09-30","September 30, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmttx/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtwz","ark:/21198/zz000s2z8d","2","Completed","Work","","7","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Phillips, Liz|~|Feminist Press","","","individuals","","","","Letter Regarding Tentative Themes and Articles","1979-10-29","October 29, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmtwz/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtz0","ark:/21198/zz000s2z8d","2","Completed","Work","","8","","","","text","copyrighted","N","unpublished","United States","","Phillips, Liz","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press","","","individuals","","private","","Letter Regarding Tentative Table of Content and Suggestions for Articles and Themes","1979-11-05","November 5, 1979","Rights.generalNote: Need to obtain permission to publish from original author.","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmtz0/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv3j","ark:/21198/zz000s2z8d","2","Completed","Work","","9","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Smith, Barbara, 1946-|~|Phillips, Liz|~|Feminist Press","","","individuals","","","","Response to Letter Regarding Tentative Table of Content and Suggestions for Articles and Themes","1979-11-12","November 12, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmv3j/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv5k","ark:/21198/zz000s2z8d","2","Completed","Work","","10","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","letters (correspondence)","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","Phillips, Liz|~|Feminist Press","","","individuals","","","","Follow up to Letter Regarding Tentative Table of Content and Suggestions for Articles and Themes","1979-12-05","December 5, 1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmv5k/manifest"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv84","ark:/21198/zz000s2z8d","2","Completed","Work","","1","","","","text","copyrighted","Y","unpublished","United States","","Cruikshank, Margaret","","eng","","Lesbian Studies - Correspondence|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Women of Color--Lesbians|~|Lesbian studies","","","","individuals","","","","Memo to Lesbians Interested in Women's Studies Regarding Compiling Ideas for Anthology","1979","1979","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bmv84/manifest"
