Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Subject,Rights.servicesContact,Name.repository,Language,Title,Description.note,Summary,Relation.isPartOf,Opac url,AltIdentifier.oclc,AltIdentifier.callNo,Date.creation,Format.dimensions,Publisher.publisherName,Format.extent,Date.normalized,Place of origin,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226cn,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226cn-1-master.tif,0,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4989","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(title page),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226fp,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226fp,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226fp-1-master.tif,1,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4990","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(page 1),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226d5,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226d5,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226d5-1-master.tif,2,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4991","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 2-3),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226b4,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226b4,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226b4-1-master.tif,3,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4992","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 4-5),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002269m,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002269m,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002269m-1-master.tif,4,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4993","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 6-7),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226m8,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226m8,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226m8-1-master.tif,5,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4994","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 8-9),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226kr,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226kr,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226kr-1-master.tif,6,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4995","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 10-11),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226j7,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226j7,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226j7-1-master.tif,7,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4996","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 12-13),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226hq,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226hq,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226hq-1-master.tif,8,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4997","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 14-15),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226g6,
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226g6,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226g6-1-master.tif,9,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4998","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,(pages 16-17),,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002271z,
