Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,Name.creator,Name.subject,Name.repository,Relation.isPartOf,Format.extent,Title,Format.dimensions,Date.creation,Description.note,Alt ID.local,Format.medium,Coverage.geographic,Date.normalized,AltTitle.descriptive,Description.adminnote,AltTitle.other,Alt ID.url,AltTitle.uniform,Description.abstract,Opac URL,Finding Aid URL,Publisher.placeOfOrigin,IIIF Manifest URL
Photo Album Collection.  Collection 94,ark:/21198/zz00091fkk,,2,Completed,Collection,,,,,,Photograph albums,photographs|~|still image|~|Black-and-white photographs,,,,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",,"Photograph album collection, ca. 1860-",,circa 1860-,,Collection 94,,,1850,,"Digital Collection model: Manuscript with pages model.  Retain the structure of the physcial album in the digital collection.  Images from albums go as pages under the album number.For individual IDs use format: clus_94_album[#]_b[ox #]_f[folder if there is one]_[image or page#]|~|Copyright has not been assigned to the Department of Special Collections, UCLA. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Manuscripts Librarian. Permission for publication is given on behalf of the Dept. of Special Collections as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",Photograph album collection,,,"Collection consists of thousands of photographs, some with descriptions and titled albums. California, Latin America, and the Middle East are well represented. Other subjects include railroad locomotives, photographs of British soldiers in the 1860s, South Africa, French actress Constant Coquelin, Australia, Egypt, Italy, Queen Victoria’s 1897 Diamond Jubilee, the Canadian Rockies, Texas oil fields, Mexican Revolution, Mathew Brady photographs of soldiers and civilians, Abraham Lincoln, China, France, photographs of architectural drawings, New Zealand, Fiji, Persia, Scotland, Burma, Athens, Philippines, St. Petersburg, Japan, Hawaii, Sakhalin snow crystals, Dutch East Indies, Hopi Indians, West Indies, Turkey, Vatican sculptures, World War I photographs from France and Belgium, U.S. Navy midshipmen in the 1860s, pictures of people involved in the French Commune of 1871, and photographs of London.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00091fkk
Photo Album Collection.  Collection 94,ark:/21198/zz00091twj,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjs50,photographs|~|Photograph albums,still image,paged,,,,unknown,Imperial Valley (Calif. and Mexico)|~|Salton Sea (Calif.)--History|~|Colorado River (Colo.-Mexico),US,,,"Cory, H. T. (Harry Thomas), b. 1870.",California Development Company,"University of California, Los Angeles. Library. Department of Special Collections",,2 albums (1147 photographic prints on 371 leaves),94 /1 volume 2 -- California Development Company photographs.,26 x 38 cm (albums),,"Photographs are mounted on rectos of leaves of black paper, in various arrangements of 1-4 photos per leaf, with some leaves displaying up to 6 photos, depending on size; captions are typed, or hand-written, and include description of subject, location, and date.|~|Removed from Collection 665, Cory family papers 1896-1932, for separate cataloging as part of the Photograph Album Collection (Collection 94) in the Charles E. Young Research Library Department of Special Collections, UCLA|~|Showing irrigation work of California Development Company along the Colorado River and in the Imperial Valley, and the effects of the water flowing through the Colorado River Crevasse into the Salton Sink.|~|Label on front of first album:Irrigation work of California Development Company including Colorado River Crevasse, effects thereof and diversion. 1903-1908.H.T. Cory",94/1 v.2,b&w|~|cyanotype,,,"California Development Company phototgraphs, Harry Cory",,,,,"Two albums of photographs documenting the California Development Company’s project to construct a system of canals to divert water from the Colorado River for irrigation of the Imperial Valley, the subsequent breaks in the levees, and the flooding between 1905 and 1907 of the Salton Basin which resulted in the creation of the Salton Sea.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6428811,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00091twj/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz00091tx2,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v2m,Photograph albums,,paged,,,,unknown,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",,94 /129 Views of European and Near Eastern cities.,,1880,,94/129,,,,,,,,,"The collection consists of disbound photograph albums containing photographs of exterior and interior views of public buildings, churches, park and countryside scenes, statues, and monuments, many identified in the plate.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00091tx2/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz00179xr2,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179xsk,Photograph albums,still image,paged,,,,unknown,Reservoirs|~|Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction|~|Blasting--[California]--[Los Angeles]|~|Fire lookout stations--[California]--[Los Angeles] |~|Dams|~|Reservoirs--California--Los Angeles|~|Los Angeles (Calif.) --History --20th century --Photographs.,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",,"94/2 v. 1 Mulholland Highway, City of Los Angeles, Board of Public Works, D.L. Reaburn, construction engineer. Book no.2. 1924",25 x 35 cm (albums),"May 15, 1924","Album Title reads:""PHOTOGRAPHS OF MULHOLLAND HIGHWAYCITY OF LOS ANGELES BOARD OF PUBLIC WORKS, D.L. REABURN, CONSTRUCTION ENGINEER, 1924, BOOK NO.2""",94/2 v.1,b&w photographs,,1924-05-15,Mulholland Highway photographs during construction.,,,,,"Two albums of photographs documenting the construction of Mulholland Drive and Mulholland Highway in May 1924. Between Mulholland Drive follows the ridgeline of the Hollywood Hills and the Santa Monica Mountains, running east from Woodrow Wilson Drive and Cahuenga Boulevard at the Cahuenga Pass, and extending west past the 405 Freeway to Encino, crossing (from east to west) Laurel Canyon, Coldwater Canyon, Franklin Canyon, Benedict Canyon, Beverly Glen Boulevard, Stone Canyon, and Sepulveda Boulevard along the way. The road offers views of Hollywood Park, San Fernando Valley, and Universal City. Just past Topanga Canyon Boulevard (California State Route 27), Mulholland Highway splits off from Mulholland Drive, and continues on southwest to end at Leo Carillo State Park on Pacific Coast Highway, near the Los Angeles and Ventura County border. These photographs document highway construction of Mulholland Drive, with views from all of the aforementioned points. In addition to construction scenes of workers blasting, drilling, and digging, and using steam shovels and mule teams, there are shots of construction camps of tents set up to house workers, and mountain-top fire lookout stations manned by fire lookouts. Other photographs show trees and plants in the area, such as eucalyptus trees and poinsettia gardens, and homes in various canyons, including the residences of ""Mrs. Curlew,"" and film director Clarence Badger. There are also several views of the Encino Country Club. The group portrait, dated May 15, 1924, includes construction engineers, D.L. Reaburn among them, members of Los Angeles Water and Public Works Departments, including William Mulholland, the chief engineer for Water Department, for whom the road was named, Harvey A. Van Norman, Mulholland’s chief deputy, and Arthur Eldridge, commissioner of the Los Angeles Board of Public Works. Also pictured are Gen. M.H. Sherman, local capitalist and president of the Consolidated Electric Railroad Company of Los Angeles, Harry Chandler, publisher of the Los Angeles Times, and Carman Runyon, coal magnate from the East, and Los Angeles capitalist, for whom Runyon Canyon is named. In other photos, Los Angeles mayor George Cryer views the construction.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6479135,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179xr2/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz0017pd2d,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pd3x,Photograph albums,still image,paged,,,,unknown,"Los Angeles (Calif.) --History --20th century --Photographs.|~|Los Angeles (Calif.)--History--19th century--Photographs.|~|Los Angeles (Calif.) --Buildings, structures, etc. --Photographs",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Forbes, A. S. C., $c Mrs.",,"University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 album (87 photographic prints),94/57 Los Angeles in photographs: one hundred views. no.57,21 x 30 cm,ca. 1880 -1920,"Cover of album reads:""MRS. A.S.C. FORBES 335 W. 31 ST., LOS ANGELES""",94/57,,,,Photo Album of Mrs. A.F.C. Forbes|~|Views of Los Angeles from late 1800's to early 1900's.,,,,,"Album belonging to Mrs. A.S.C. Forbes of Los Angeles, containing 87 black & white photographs documenting the early history and development of the city of Los Angeles. The photos are copies, printed by the Graham Photo Co. possibly ca. 1920, of historic photographs taken between ca. 1873 and 1919, principally of buildings, homes, churches, schools and colleges, streets, and parks in early Los Angeles. Many of the photos are views of early downtown Los Angeles from Broadway, Grand, Spring, Figueroa, Hope, and Temple Streets, and include automobiles, horse carriages, bicyclists, and trolley cars. Several feature the Post Office, City Hall, and the Van Nuys building. There are also photos of the old YMCA Annex, the railroad station at 5th Street, First Congregational Church at 3rd and Hill, St. Vincent’s College (later part of Loyola Marymount University), Ellis College, Los Angeles Orphan Asylum, Sawtelle Veterans Home (formerly Pacific Branch of the National Home for Disabled Volunteer Soldiers), designed by Sanford White, the Times Building, and the Hodau Hotel at First and Spring. Also included are photos of various private residences, such as the homes of reformer and women’s club pioneer Mrs. Caroline Severance (founder of the Friday Morning Club of Los Angeles, and in whose honor the Severance Club of Los Angeles was named), Capt. Erskine Cameron Thom (politician, mayor of Los Angeles, and developer of the city of Glendale, California), Los Angeles banker Irving H. Hellman, and California governor John Gately Downey; as well as historic photos of early Californians, such as wealthy Los Angeles landowner Mrs. Arcadia Bandini Stearns Baker, whose second husband, Col. Robert S. Baker, was a co-founder of Santa Monica. Several views document early parks in Los Angeles: East Lake, Central, and Hollenbeck Parks, and there are shots of elegant homes on Chester Place, and bicyclists on unpaved dusty Pico Boulevard and Western Ave. Scenes of surrounding areas include the Chinese cemetery in Boyle Heights, East Los Angeles, the Venice canals, and Ocean Boulevard in Santa Monica, and farther afield, yacht racing in La Jolla, rabbit drives in Fresno County, and the Ebell Club in Long Beach. Mrs. Forbes also included in the album photographs that she may have used in her books on California history and landmarks, with subjects such as the old capital at Monterey where Fremont was elected U.S. Senator; first home of Leland Stanford in California, in Placer; the Governor’s Palace in Santa Fe, New Mexico; and Mission St. Xavier del Bac in Tucson, Arizona. There are also photos of four paintings related to California history: Commodore Sloat’s taking possession of California at Monterey, July 7, 1846; raising of the American flag at Sutter’s Fort, July 11, 1846; and views of Rancho de la Laguna; and San Luis Obispo County. Laid in is one photo, dated May 1906, of the printing offices of Wilshire’s magazine, a well-known socialist journal founded by millionaire socialist Gaylord Wilshire.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6437359,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pd2d/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz0017pdjn,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qftq,still image,Photograph albums,paged,,,,copyrighted,"Cityscapes|~|Los Angeles (Calif.) --Buildings, structures, etc. --Photographs",US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",,94 / 171 Hazard-Dyson Los Angeles Photograph Album,35 x 34 x 7 cm,,"Photographs of Los Angeles by the Hazard-Dyson company circa 1880-1900|~|Approximately 800 images of the Los Angeles area, sepia gelatin with some holographic identification throughout with the photograph album.",94/ 171,,,,Hazard-Dyson Los Angeles Photograph Album,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6847280,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pdjn/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz0026jgxg,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jgz0,photographs|~|Cityscape photographs|~|Photograph albums,still image,paged,,,,,,,,,,,,,1 album,94/259 Various scenes of Rio de Janeiro. Rio de Janeiro,,1910s,"Publisher's name taken from printed seal on verso of photographs. Each image identified with photographically reproduced captions in Portuguese.Views of major public buildings (National Library, Presidential palace), avenues and street scenes, cable car, panoramic of city sections, including the ocean.",94/259,,,1910/1920,,,Various scenes of Rio de Janeiro. Rio de Janeiro: Maison Chic. 1910s,,,"Views of Rio de Janeiro, including public buildings, main avenues, street scenes with electric cars and mule carts, and views from the Pao D'Assucar cable car.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2722819,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,Rio de Janeiro : Maison Chic.,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jgxg/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz002khzn6,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002khzq7,still image|~|Black-and-white photographs,,paged,,,,,Imperial Valley (Calif. and Mexico)|~|Salton Sea (Calif.)--History|~|Colorado River (Colo.-Mexico)|~|Construction workers|~|Dams,,,,"Cory, H. T. (Harry Thomas), b. 1870.",,,,2 albums (1147 photographic prints on 371 leaves),94 /1 volume 1 -- California Development Company photographs.,26 x 38 cm (albums),,"Photographs are mounted on rectos of leaves of black paper, in various arrangements of 1-4 photos per leaf, with some leaves displaying up to 6 photos, depending on size; captions are typed, or hand-written, and include description of subject, location, and date.|~|Label on front of first album:Irrigation work of California Development Company including Colorado River Crevasse, effects thereof and diversion. 1903-1908.|~|Showing irrigation work of California Development Company along the Colorado River and in the Imperial Valley, and the effects of the water flowing through the Colorado River Crevasse into the Salton Sink.|~|Removed from Collection 665, Cory family papers 1896-1932, for separate cataloging as part of the Photograph Album Collection (Collection 94) in the Charles E. Young Research Library Department of Special Collections, UCLA",94/1 v.1,b&w photograph|~|cyanotype,,,"California Development Company phototgraphs,",,(California & Arizona). no.1 1903-1908,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6428811,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002khzn6/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz002kj4mj,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kmsmm,,,,,,,,,,,,,,,,,"94/271 Photograph album of Cananea, Sonora, Mexico, and Ray, Arizona.",,1909,,94/271,,,,,,,,,"Views of Cananea, the mines, mass meetings, railroads, baseball team and many informal family pictures and one blueprint of Ray, Arizona, taken before the fire of 1912.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3884474,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kj4mj/manifest
Photo Album Collection.  Collection 94,ark:/21198/zz002kmq3w,ark:/21198/zz00091fkk,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kmq4d,,,paged,,,,,,,,,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",,94/346 George Fiske Yosemite Photograph Album,,,,,,,,,,,,"Yosemite by George Fiske, photographer","Album containing 48 photographs by George Fiske of spectacular Yosemite views, 11 photographs of Colorado--including 10 by Olin D. Wheeler, and 5 unsigned 8x10 photographs of Salt Lake City, possibly by Charles R. Savage . Noteworthy are Fiske's images reflecting seasonal changes in the region, particularly a photograph of a snow-covered pine and photographs of ice formations surrounding waterfalls. Because he lived in the park, Fiske was the first to photograph views of the valley in the winter, creating dramatic prints that were widely sought. This album also includes a photograph of Fiske's donkey. During the summer months, an attractive black horse pulled Fiske's buggy, but in the cold winter months a donkey carted his gear. Ansel Adams was powerfully influenced by Fiske's work. In 1916, after seeing photographs by Fiske, Adams convinced his parents to take him to Yosemite. Many of Fiske's negatives were destroyed in a house fire. In 1920, two years after Fiske's death, Adams printed from many of Fiske's surviving large format negatives and campaigned for their proper conservation. But Adams was ignored. The plates stored in the attic of Yosemite Park Company sawmill were destroyed in another fire in 1943. ""If that hadn't happened,"" said Adams, ""Fiske could have been revealed today, I firmly believe, as a top photographer, a top interpretive photographer...I do get excited at Fiske;"" from Paul Hickman and Terence Pitts. George Fiske, Yosemite photographer. Flagstaff: Northland Press ; [Tucson] : Center for Creative Photography, University of Arizona, 1980. Other views by Fiske included in the album are Nevada Fall, Vernal Fall, Yosemite Chapel, Half Dome, El Capitan, and the three peaks known as the Three Brothers. The album contains 10 photographs signed ""Wheeler,"" probably Olin D. Wheeler, who was a topographer with John Wesley Powell's survey of the Colorado River between 1874 and 1879. Wheeler photographs include the town of Manitou Springs, Colorado; a view of a gabled-roof house with porch on Teachout's ranch, owned by Harlow Teachout, in Monument Park, eight miles north of Colorado Springs; and rock formations in Garden of the Gods. The photographer of one view of early Colorado Springs is unidentified. There are five large 8x10 photographs of early Salt Lake City: the Mormon Temple under construction--only the first two stories had been completed at the time the photo was taken, some years before the Temple was dedicated in 1893; the Gothic-style Assembly Hall on the Mormon Temple Grounds, begun in 1877 and completed in 1882; the Tabernacle featuring its oval dome roof; Eagle Gate; Beehive House; Lion House; and Gardo House, completed in 1883.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kmq3w/manifest
