Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,Name.creator,Name.subject,Name.repository,Relation.isPartOf,Format.extent,Title,Format.dimensions,Date.creation,Description.note,Alt ID.local,Format.medium,Coverage.geographic,Date.normalized,AltTitle.descriptive,Description.adminnote,AltTitle.other,Alt ID.url,AltTitle.uniform,Description.abstract,Opac URL,Finding Aid URL,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL
Photo Album Collection.  Collection 94,ark:/21198/zz00179xsk,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz00179xsk_503832_master.tif,1,,,,Portrait photographs,still image,,,,,unknown,Group portraits,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Runyon, G. R.|~|Mulholland, William, 1855-1935|~|Reaburn, De Witt Lee, 1871-1949.",,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"29 Portrait of men at camp No. 3 Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption typed on photograph front: ""AT CAMP NO.3 MULHOLLAND HIGHWAY, MAY 15, 1924. (OVER)""|~|Caption on matte board: ""Seated, Left to Right:- Carl Bush, L.G. Peterson, E.R. Bowen, Marlowe Merrick, E.J. Delorey, Wm. Mulholland, John R. Prince, H.A. Van Norman, Arthur Eldridge, D.L. Reaburn.Standing, Left to Right:- John M. Lyle, J.H. Barnes, Harry Fowler, Harry Thayer, C.R. Runyon, H.B. Ferris, E.R. Beardsley, Louis Hospe Jr.|~|Caption typed on photograph back: ""SEATED - LEFT TO RIGHT: CARL BUSH, SECRETARY, HOLLYWOOD CHAMBER OF COMMERCEL.G. PETERSON, GIRARD NEWSEDW.R.BOWEN, CONSULTING ENGINEERMARLOWE MERRICK of MERRICK & RUDDICKE.J.DELOREY, MEMBER BOARD OF PUBLIC WORKSW.M.MULHOLLAND, CHIEF ENGINEER, WATER DEPARTMENTJOHN R. PRINCE, ASSISTANT CITY ENGINEERH.A.VAN NORMAN, CONSTRUCTION ENGINEER, OUTFALL SEWER DEPARTMENTARTHUR ELDREDGE, MEMBER BOARD OF PUBLIC WORKSD.L.REABURN, CONSTRUCTION ENGINEER, MULHOLLAND HIGHWAY DEPARTMENTSTANDING - LEFT TO RIGHT:JOHN M.LYLE, GENERAL MANAGER, BOULEVARD LAND COMPANYJ.H.BARNES, FIELD ENGINEER, BOULEVARD LAND COMPANYHARRY FOWLER, CHAUFFEUR, BOARD OF PUBLIC WORKSHARRY THAYER, CHAUFFEUR for WM.MULHOLLANDG.R.RUNYON, CAPITALIST (RETIRED)H.B. FERRIS, SECRETARY, BOARD OF PUBLIC WORKSE.R.BEARDSLEY, COMMISSARY SUPERINTENDENT, MULHOLLAND HIGHWAY DEPARTMENTLOUIS HOSPE JR., CONSTRUCTION FOREMAN, MULHOLLAND HIGHWAY DEPARTMENT",page 29,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-05-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179xsk
Photo Album Collection.  Collection 94,ark:/21198/zz0017b0jc,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017b0jc_503886_master.tif,2,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"32 Steam shovel and crew working on construction of Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""May 15, 1924 -  Looking West from point 1 mile East from Topanga Canyon Road.""",page 32,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-05-15,Looking West from point 1 mile east of Topanga Canyon Road.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017b0jc
Photo Album Collection.  Collection 94,ark:/21198/zz0017b0qz,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017b0qz_503895_master.tif,3,,,,Black-and-white photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"33 Men standing in the scoop of steam shovel during the construction of the Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""May 15, 1924 -  At point 1 mile East of Topanga Canyon Road.""",page 33,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,Workers and steam shovel one mile east of Topanga Canyon Road,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017b0qz
Photo Album Collection.  Collection 94,ark:/21198/zz0017jpmr,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jpmr_504905_master.tif,4,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"34 Path of the Mulholland Highway during construction as seen from the east, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""Looking West from point 3/4mi. East of Topanga Canyon Road.""",page 34,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jpmr
Photo Album Collection.  Collection 94,ark:/21198/zz0017jpn8,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jpn8_504908_master.tif,5,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"35 Looking East at Topanga Canyon Road along the path of the Mulholland Highway during its construction, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""Looking east at Topanga Canyon Road.""",page 35,,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jpn8
Photo Album Collection.  Collection 94,ark:/21198/zz0017jpps,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jpps_504911_master.tif,6,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"36 Osgood steam shovel moving earth during the construction of Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""Osgood shovel - 1mi. East of Topanga Canyon Road.""",page 36,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,One mile east of Topanga Canyon Road.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jpps
Photo Album Collection.  Collection 94,ark:/21198/zz0017jpq9,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jpq9_504914_master.tif,7,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction|~|Road cuts,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"37 Marion steam shovel loads earth into a truck at through-cut section during the construction of Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""Looking East from through-cut at Topanga Canyon Road.""",page 37,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jpq9
Photo Album Collection.  Collection 94,ark:/21198/zz0017jprt,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jprt_505170_master.tif,8,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Santa Monica Mountains (Calif.)|~|Steam shovels|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"38 Workers sit and stand inside of an Osgood shovel during the construction of Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads:""Osgood shovel - 1mile East of Topanga Canyon Road.""",page 38,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jprt
Photo Album Collection.  Collection 94,ark:/21198/zz0017jrk6,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jrk6_505193_master.tif,9,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Construction workers|~|Santa Monica Mountains (Calif.)|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"39 Workers standing and drilling metal rods on a cleared hill during the construction of the Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads: ""Showing Drill Crew - 1/2mile East of Camp No. 4""",page 39,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrk6
Photo Album Collection.  Collection 94,ark:/21198/zz0017jrk6/t079j18p,ark:/21198/zz00179xr2,2,Completed,Page,photoalbum94/masters/21198-zz0017jrk6_505563_master.tif,10,,,,Panoramic photographs|~|Progress photographs,still image,,,,,unknown,Construction workers|~|Santa Monica Mountains (Calif.)|~|Road construction,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,"Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.",1 photograph,"39 Workers standing and drilling metal rods on a cleared hill during the construction of the Mulholland Highway, 1924.",35 x 24 cm,"May 15, 1924","Caption on matte board reads: ""Showing Drill Crew - 1/2mile East of Camp No. 4""",page 39,mounted b&w photograph,Santa Monica Mountains (Calif.),1924-5-15,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582,https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrk6%2Ft079j18p
