File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place,Bucketeer State,IIIF Access URL
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0001.tif,Page,Page 1,1,ark:/21198/z1p0083r,ark:/21198/z13v1hwp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1hwp
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0002.tif,Page,Page 2,2,ark:/21198/z1p0083r,ark:/21198/z1030s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030s64
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0003.tif,Page,Page 3,3,ark:/21198/z1p0083r,ark:/21198/z1vb08sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb08sq
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0004.tif,Page,Page 4,4,ark:/21198/z1p0083r,ark:/21198/z1qj9j0z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9j0z
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0005.tif,Page,Page 5,5,ark:/21198/z1p0083r,ark:/21198/z1ks8s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8s87
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0006.tif,Page,Page 6,6,ark:/21198/z1p0083r,ark:/21198/z1g46r00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46r00
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0007.tif,Page,Page 7,7,ark:/21198/z1p0083r,ark:/21198/z1bc606r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc606r
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0008.tif,Page,Page 8,8,ark:/21198/z1p0083r,ark:/21198/z16m57g1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m57g1
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0009.tif,Page,Page 9,9,ark:/21198/z1p0083r,ark:/21198/z12v4gsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4gsr
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1972_h_0028_0010.tif,Page,Page 10,10,ark:/21198/z1p0083r,ark:/21198/z1z340c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z340c2
