File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place,Bucketeer State,IIIF Access URL
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0001.tif,Page,Page 1,1,ark:/21198/z1hd9w4n,ark:/21198/z1k094ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k094ww
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0002.tif,Page,Page 2,2,ark:/21198/z1hd9w4n,ark:/21198/z1f78d5k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78d5k
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0003.tif,Page,Page 3,3,ark:/21198/z1hd9w4n,ark:/21198/z19g7ndd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7ndd
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0004.tif,Page,Page 4,4,ark:/21198/z1hd9w4n,ark:/21198/z15q6wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6wms
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0005.tif,Page,Page 5,5,ark:/21198/z1hd9w4n,ark:/21198/z11z64zb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z64zb
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0006.tif,Page,Page 6,6,ark:/21198/z1hd9w4n,ark:/21198/z1x65nj8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65nj8
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0007.tif,Page,Page 7,7,ark:/21198/z1hd9w4n,ark:/21198/z1sj3m4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3m4x
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0008.tif,Page,Page 8,8,ark:/21198/z1hd9w4n,ark:/21198/z1ns2vhj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2vhj
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0009.tif,Page,Page 9,9,ark:/21198/z1hd9w4n,ark:/21198/z1j123sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j123sh
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0007_0010.tif,Page,Page 10,10,ark:/21198/z1hd9w4n,ark:/21198/z1d81c09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81c09
