File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place,Bucketeer State,IIIF Access URL
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0001.tif,Page,Page 1,1,ark:/21198/z10885s2,ark:/21198/z11k1bh9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k1bh9
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0002.tif,Page,Page 2,2,ark:/21198/z10885s2,ark:/21198/z1wt0v0k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0v0k
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0003.tif,Page,Page 3,3,ark:/21198/z10885s2,ark:/21198/z1s48srt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48srt
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0004.tif,Page,Page 4,4,ark:/21198/z10885s2,ark:/21198/z1nc821w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc821w
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0005.tif,Page,Page 5,5,ark:/21198/z10885s2,ark:/21198/z1hm796t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm796t
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0006.tif,Page,Page 6,6,ark:/21198/z10885s2,ark:/21198/z1cv6jfn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6jfn
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0007.tif,Page,Page 7,7,ark:/21198/z10885s2,ark:/21198/z1835srp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835srp
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0008.tif,Page,Page 8,8,ark:/21198/z10885s2,ark:/21198/z14b5226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5226
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0009.tif,Page,Page 9,9,ark:/21198/z10885s2,ark:/21198/z10k49cx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k49cx
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0041_0010.tif,Page,Page 10,10,ark:/21198/z10885s2,ark:/21198/z1vx2h9z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2h9z
