File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place,Bucketeer State,IIIF Access URL
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0001.tif,Page,Page 1,1,ark:/21198/z1476bbf,ark:/21198/z1vt3spj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3spj
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0002.tif,Page,Page 2,2,ark:/21198/z1476bbf,ark:/21198/z1r231x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r231x2
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0003.tif,Page,Page 3,3,ark:/21198/z1476bbf,ark:/21198/z1m92976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92976
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0004.tif,Page,Page 4,4,ark:/21198/z1476bbf,ark:/21198/z1gn07vw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn07vw
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0005.tif,Page,Page 5,5,ark:/21198/z1476bbf,ark:/21198/z1bv9h7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9h7c
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0006.tif,Page,Page 6,6,ark:/21198/z1476bbf,ark:/21198/z1738rjd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738rjd
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0007.tif,Page,Page 7,7,ark:/21198/z1476bbf,ark:/21198/z13b80sm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b80sm
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0008.tif,Page,Page 8,8,ark:/21198/z1476bbf,ark:/21198/z1zk7h8w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7h8w
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0009.tif,Page,Page 9,9,ark:/21198/z1476bbf,ark:/21198/z1tt6rg8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6rg8
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0010.tif,Page,Page 10,10,ark:/21198/z1476bbf,ark:/21198/z1q260t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q260t4
Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0010_0011.tif,Page,Page 11,11,ark:/21198/z1476bbf,ark:/21198/z1kd3zfv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3zfv
