Object Type,Title,Item ARK,Parent ARK (fest),Parent ARK,File Name,Item Sequence,Date.created,Thumbnail,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,volume | issue,IIIF Manifest URL
Work,El Tipógrafo 1901-02-17,ark:/21198/z13z0vkf,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,17 de Febrero de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9kqb,1901-02-17,4 pages,newspapers,spa,ihc_tipografo_19010217,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z0vkf/manifest
Work,El Tipógrafo 1901-02-24,ark:/21198/z10603vd,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,24 Febrero de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6v1j,1901-02-24,4 pages,newspapers,spa,ihc_tipografo_19010224,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10603vd/manifest
Work,El Tipógrafo 1901-03-03,ark:/21198/z1vd9m9p,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,3 de Marzo de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2jhm,1901-03-03,4 pages,newspapers,spa,ihc_tipografo_19010303,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd9m9p/manifest
Work,El Tipógrafo 1901-03-10,ark:/21198/z1qn8vmd,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,10 de Marzo de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8h81,1901-03-10,4 pages,newspapers,spa,ihc_tipografo_19010310,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn8vmd/manifest
Work,El Tipógrafo 1901-03-17,ark:/21198/z1kw83xh,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,17 de Marzo de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5h9b,1901-03-17,4 pages,newspapers,spa,ihc_tipografo_19010317,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw83xh/manifest
Work,El Tipógrafo 1901-03-31,ark:/21198/z1g762kc,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,31 de Marzo de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1g5n,1901-03-31,4 pages,newspapers,spa,ihc_tipografo_19010331,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g762kc/manifest
Work,El Tipógrafo 1901-04-07,ark:/21198/z1bg59xj,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,7 de Abril de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8g7v,1901-04-07,4 pages,newspapers,spa,ihc_tipografo_19010407,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg59xj/manifest
Work,El Tipógrafo 1901-04-21,ark:/21198/z16q4k5s,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,21 de Abril de 1901 ,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4f18,1901-04-21,4 pages,newspapers,spa,ihc_tipografo_19010421,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 11,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4k5s/manifest
Work,El Tipógrafo 1901-04-28,ark:/21198/z12z3tf2,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,28 de Abril de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1f31,1901-04-28,4 pages,newspapers,spa,ihc_tipografo_19010428,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3tf2/manifest
Work,El Tipógrafo 1901-05-05,ark:/21198/z1z639w5,ark:/21198/z1cc3nm5,ark:/21198/z1cc3nm5|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,5 de Mayo de 1901,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7cs4,1901-05-05,4 pages,newspapers,spa,ihc_tipografo_19010505,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba--Politics and government--1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z639w5/manifest
