Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,Title,AltIdentifier.local,Description.note,Place of origin,Format.dimensions,Date.creation,Date.normalized,Summary,AltTitle.uniform,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Hathaway Manuscripts,ark:/21198/zz0009s7hh,ark:/21198/zz0009gv8j,Page,hathaway/masters/21198-zz0009s7hh-1-master.tif,1,text,Manuscripts,pd,,lat,,Hathaway 1 recto,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Used for binding; folio 1 used as a pastedown: the verso is stained and rubbed.|~|ff. 1, 2 and 3 from the same manuscript.",Switzerland ?,202 x 135 mm,11th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7hh,
Hathaway Manuscripts,ark:/21198/zz0009s7j1,ark:/21198/zz0009gv8j,Page,hathaway/masters/21198-zz0009s7j1-1-master.tif,2,text,Manuscripts,pd,,lat,,Hathaway 1 verso,170/768 v.1|~|Hathaway collection of music manuscripts leaves,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Used for binding; folio 1 used as a pastedown: the verso is stained and rubbed.|~|ff. 1, 2 and 3 from the same manuscript.",Switzerland ?,202 x 135 mm,11th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7j1,
Hathaway Manuscripts,ark:/21198/zz000bjffn,ark:/21198/zz000bjdtv,Page,hathaway/masters/21198-zz000bjffn-1-master.tif,1,text,Manuscripts,pd,,ger|~|lat,,Hathaway 2 recto,170/ 768 v.1|~|Hathaway collection of music manuscripts,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Probably used as a flyleaf: notes in a German cursive hand (15th century) on both sides of both folios.  Lines 16-13 erased on the recto.|~|ff. 1, 2 and 3 from the same manuscript.  ff. 2-3 are consecutive.",Switzerland ?,200 x 140 mm.,11th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjffn,
Hathaway Manuscripts,ark:/21198/zz000bjfg5,ark:/21198/zz000bjdtv,Page,hathaway/masters/21198-zz000bjfg5-1-master.tif,2,text,Manuscripts,pd,,ger|~|lat,,Hathaway 2 verso,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Probably used as a flyleaf: notes in a German cursive hand (15th century) on both sides of both folios.  Lines 16-13 erased on the recto.|~|ff. 1, 2 and 3 from the same manuscript.  ff. 2-3 are consecutive.",Switzerland ?,200 x 140 mm.,11th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjfg5,
Hathaway Manuscripts,ark:/21198/zz000bjg8j,ark:/21198/zz000bjfhp,Page,hathaway/masters/21198-zz000bjg8j-1-master.tif,1,text,Manuscripts,pd,,ger|~|lat,,Hathaway 3 recto,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Probably used as a flyleaf: notes in a German cursive hand (15th century) on both sides of both folios.|~|ff. 1, 2 and 3 from the same manuscript.  ff. 2-3 are consecutive.",Switzerland ?,205 x 145 mm,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjg8j,
Hathaway Manuscripts,ark:/21198/zz000bjg92,ark:/21198/zz000bjfhp,Page,hathaway/masters/21198-zz000bjg92-1-master.tif,2,text,Manuscripts,pd,,ger|~|lat,,Hathaway 3 verso,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Breviary: Readings and Responsories.|~|Written in the Alemannic area, presumably in Switzerland.|~|Parchment (rather coarse), 13 long lines; ruling not discernible; pricking in the outer margin.  Written in a late, crude Caroline minuscule with squarish Alemannic features; dark brown ink.  Plain initials in red or stroked with red; initials in the text slashed with yellow; rubrics in red majuscule; neumes of St. Gall type.|~|Probably used as a flyleaf: notes in a German cursive hand (15th century) on both sides of both folios.|~|ff. 1, 2 and 3 from the same manuscript.  ff. 2-3 are consecutive.",Switzerland ?,205 x 145 mm,11th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjg92,
Hathaway Manuscripts,ark:/21198/zz000bjgbk,ark:/21198/zz000bjfj6,Page,hathaway/masters/21198-zz000bjgbk-1-master.tif,1,text,Manuscripts,pd,,lat,,Hathaway 4 recto,170/ 768 v. 1|~|Hathaway collection of music manuscript leaves,"Breviary.|~|Parchment, 1 leaf cropped at the top and at the margins.  30 long lines survive; ruling in lead.  Developed Caroline miniscule script; brown ink.  Plain capital initials in red; rubrics in red minuscule; neumes of St. Gall type.|~|Used as pastedown in binding; the verso is rubbed and stained.",Germany,203 x 130 mm,12th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgbk,
Hathaway Manuscripts,ark:/21198/zz000bjgc3,ark:/21198/zz000bjfj6,Page,hathaway/masters/21198-zz000bjgc3-1-master.tif,2,text,Manuscripts,pd,,lat,,Hathaway 4 verso,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Breviary.|~|Parchment, 1 leaf cropped at the top and at the margins.  30 long lines survive; ruling in lead.  Developed Caroline miniscule script; brown ink.  Plain capital initials in red; rubrics in red minuscule; neumes of St. Gall type.|~|Used as pastedown in binding; the verso is rubbed and stained.",Germany,203 x 130 mm,12th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgc3,
Hathaway Manuscripts,ark:/21198/zz000bjj4f,ark:/21198/zz000bjfkq,Page,hathaway/masters/21198-zz000bjj4f-1-master.tif,1,text,Manuscripts,pd,,lat,,Hathaway 5 recto,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Parchment, 1 leaf, slightly cropped at the inner margin.  24 long lines (text or music); ruled in ink.  Heavy German gothic bookhand in liturgical style; brown ink.  2-line inititals in red on faded green flourishes; initials in the text in red; rubric in red miniscule; the first two lines of text of each hymn have German gothic notes on staves of 4 lines, 3 in red and 1 brown (the line of F, which is marked; C also is marked); on the other lines of text notes without staves.|~|Used as a pastedown; the recto is stained.|~|Hymnal.",Germany,310 x 205 mm.,14th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj4f,
Hathaway Manuscripts,ark:/21198/zz000bjj5z,ark:/21198/zz000bjfkq,Page,hathaway/masters/21198-zz000bjj5z-1-master.tif,2,text,Manuscripts,pd,,lat,,Hathaway 5 verso,170/ 768 v.1|~|Hathaway collection of music manuscript leaves,"Hymnal.|~|Parchment, 1 leaf, slightly cropped at the inner margin.  24 long lines (text or music); ruled in ink.  Heavy German gothic bookhand in liturgical style; brown ink.  2-line inititals in red on faded green flourishes; initials in the text in red; rubric in red miniscule; the first two lines of text of each hymn have German gothic notes on staves of 4 lines, 3 in red and 1 brown (the line of F, which is marked; C also is marked); on the other lines of text notes without staves.|~|Used as a pastedown; the recto is stained.",Germany,310 x 205 mm.,15th century,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj5z,
