Object Type,Title,Item ARK,Parent ARK,Thumbnail,File Name,Item Sequence,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Contributor.administrator,Name.director,Name.editor,Subject,volume | issue,IIIF Manifest URL
Work,La Claridad 1890---29,ark:/21198/z1rz1fm6,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66mpx,,,,1890---29,1890---29,6 pages,newspapers,spa,ihc_laclaridad_1890---29,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz1fm6/manifest
Work,La Claridad 1890-11-08,ark:/21198/z11g2pv8,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1307,,,,1890-11-08,1890-11-08,2 pages,newspapers,spa,ihc_laclaridad_18901108,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 01 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2pv8/manifest
Work,La Claridad 1890-11-10,ark:/21198/z1wq26cc,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69kf6,,,,1890-11-10,1890-11-10,4 pages,newspapers,spa,ihc_laclaridad_18901110,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq26cc/manifest
Work,La Claridad 1890-11-29,ark:/21198/z1n60pzp,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz118593x,,,,1890-11-29,1890-11-29,4 pages,newspapers,spa,ihc_laclaridad_18901129,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n60pzp/manifest
Work,La Claridad 1891-03-21,ark:/21198/z1hd9z88,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb17sk,,,,1891-03-21,1891-03-21,4 pages,newspapers,spa,ihc_laclaridad_18910321,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9z88/manifest
Work,La Claridad 1891-03-28,ark:/21198/z1cn96hg,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10887w7,,,,1891-03-28,1891-03-28,4 pages,newspapers,spa,ihc_laclaridad_18910328,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn96hg/manifest
Work,La Claridad 1891-04-04,ark:/21198/z17w8fr9,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb46k9,,,,1891-04-04,1891-04-04,4 pages,newspapers,spa,ihc_laclaridad_18910404,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 14,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w8fr9/manifest
Work,La Claridad 1891-04-11,ark:/21198/z1476dhh,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z91g0v,,,,1891-04-11,1891-04-11,4 pages,newspapers,spa,ihc_laclaridad_18910411,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 15,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1476dhh/manifest
Work,La Claridad 1891-04-18,ark:/21198/z10g5nrb,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb75ht,,,,1891-04-18,1891-04-18,4 pages,newspapers,spa,ihc_laclaridad_18910418,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 16,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5nrb/manifest
Work,La Claridad 1891-04-25,ark:/21198/z1vq5570,ark:/21198/z1dn67nv|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd348s,,,,1891-04-25,1891-04-25,4 pages,newspapers,spa,ihc_laclaridad_18910425,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba)--Social life and customs,vol. 02 | no. 17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq5570/manifest
