File Name,Parent ARK fester,Parent ARK,Item ARK,Object Type,Item Sequence,Title,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f01_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1qz3tzp,Work,,"Drawing of Jacob Dodson, a 19th century African American explorer, by Sam Patrick, circa 1969",,Explorers of African descent,still image,[circa 1969],1969,,"Patrick, Samuel James, 1901-1987",,,,,local,"Print of a drawing by Sam Patrick representing Jacob Dodson, of the John C. Fremont expeditions to California. In this drawing, Dodson wears a fringed suede or leather shirt with a neckerchief and a cowboy hat.   |~|Jacob Dodson accompanied John C. Fremont on three expeditions to explore the Western frontier. Dodson was a free born African American whose family worked in the service of Fremont’s father-in-law, Missouri Senator Thomas Hart Benton.|~|Samuel James Patrick began his art studies in Philadelphia. By 1925 he had moved to Los Angeles and enrolled at the Otis Art Institute. He was then a staff artist at the Los Angeles Times for over 40 years. He published an article ""Jacob Dodson Helped Open the West,""  4 Jan. 1969 in the Washington Evening Star. He provided the illustrations for the book ""They Had a Dream"" (1970) by George Reasons.",,1 photograph,"Photo label: Jacob Dodson, a negro from Washington, D. C., was a valuable member of all the John C. Fremont expeditions to California which helped pave the way for the conquest of this state by Americans. Dodson is credited with the discovery of Fremont Pass near Los Angeles and accompanied Fremont on his famous ride from Los Angeles to Monterey and back, the most remarkable on record for speed and distance on horseback. This drawing of Dodson is the work of artist Sam Patrick for the Times Mirror Press. ",unknown,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Dodson, Jacob, b. 1825",,local,African American explorers,lcsh,,,,,photomechanical prints,aat,Explorers of African descent,"Box 1, Folder 1",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3tzp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz3tzp/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f01_002a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1m633bd,Work,,"Drawing of York, a late 18th-early 19th century African American explorer, by Sam Patrick, circa 1969",,Explorers of African descent,still image,[circa 1969],1969,,"Patrick, Samuel James, 1901-1987",,,,,local,"Print of a drawing by Sam Patrick representing the explorer known as York. York is shown wearing a neckerchief and a fur cap with an attached feather.  |~|York is best known for his participation with the Lewis and Clark Expedition.|~|Samuel James Patrick began his art studies in Philadelphia. By 1925 he had moved to Los Angeles and enrolled at the Otis Art Institute. He was then a staff artist at the Los Angeles Times for over 40 years. He provided the illustrations for the book ""They Had a Dream"" (1970) by George Reasons.",,1 photograph,"Photo label: York, a negro, with the Lewis and Clark expedition / Drawn by Sam Patrick from ""They Had a Dream"" by Geo. Reasons, Volume I.",unknown,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","York, b. 1770",,local,African American explorers,lcsh,,,,,photomechanical prints,aat,Explorers of African descent,"Box 1, Folder 1",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m633bd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m633bd/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f01_003a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1gf2bhb,Work,,"Drawing of Estevanico, a 16th century African explorer, by Sam Patrick, circa 1969",,Explorers of African descent,still image,[circa 1969],1969,,"Patrick, Samuel James, 1901-1987",,,,,local,"Print of a drawing by Sam Patrick representing Estevanico (Estevan) (circa 1500-1539) one of the first native Africans to reach the continental United States. |~|Estevanico is known by several names, including Esteban de Dorantes, Estebanico, and Esteban the Moor, or Mustafa Zemmouri. Enslaved as a youth by the Portuguese, he was sold to a Spanish nobleman and taken in 1527 on the Spanish Narváez expedition to establish a colony in Florida. For eight years, he traveled with Álvar Núñez Cabeza de Vaca, Andrés Dorantes de Carranza, and Alonso del Castillo Maldonado across northern New Spain (present-day U.S. Southwest and northern Mexico). They finally reached Spanish forces in Mexico City in 1536. Later Estevanico served as the main guide for a return expedition to the Southwest. Spaniards believe that he was killed in the Zuni city of Hawikuh in 1539. (Wikipedia). |~|Samuel James Patrick began his art studies in Philadelphia. By 1925 he had moved to Los Angeles and enrolled at the Otis Art Institute. He was then a staff artist at the Los Angeles Times for over 40 years. He provided the illustrations for the book ""They Had a Dream"" (1970) by George Reasons.",,1 photograph,Photo label: Estevanico,unknown,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Estevan, -1539",,naf,Explorers,lcsh,,,,,photomechanical prints,aat,Explorers of African descent,"Box 1, Folder 1",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2bhb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2bhb/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f02_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1bp1kr5,Work,,"Drawing of Manuel Camero, one of the founders of Los Angeles in 1781, by Sam Patrick, circa 1969",,"Manuel Camero, founder of Los Angeles, of African descent, and one of first city councilmen.",still image,[circa 1969],1969,,"Patrick, Samuel James, 1901-1987",,,,,local,"Print of a drawing by Sam Patrick representing Manuel Camero. He is shown wearing a shirt and a headband. |~|Manuel Camero was from el Real del Rosario, Sinaloa. He enlisted as a soldier at the age of 30 in 1780 and served as Los Angeles Regidor (city councilman) after arriving in 1781, he died in 1819.|~|Samuel James Patrick began his art studies in Philadelphia. By 1925 he had moved to Los Angeles and enrolled at the Otis Art Institute. He was then a staff artist at the Los Angeles Times for over 40 years. He provided the illustrations for the book ""They Had a Dream"" (1970) by George Reasons.",,1 photograph,"Photo label: Manuel Camero a mulatto, one of the founders of Los Angeles and one of its first City Councilmen / Drawing by Samuel Patrick, former L.A. Times staff artist. ",unknown,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Camero, Manuel, circa 1740-1819",,local,Colonists|~|Soldiers,lcsh|~|lcsh,,,,,photomechanical prints,aat,"Manuel Camero, founder of Los Angeles, of African descent, and one of first city councilmen.","Box 1, Folder 2",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1kr5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp1kr5/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f03_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z16x0v1v,Work,,"Painting of Jose Cesario Moreno and his wife Maria Guadalupe Gertrudis Perez, 1781 founders of Los Angeles",,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.",still image,[circa 1930-1989],1930/1989,,,,,,,,"Painting of Jose and Maria Guadalupe Moreno on horseback at the LA County Museum of Natural History.|~|Jose Cesario Moreno and his wife Maria Guadalupe Gertrudis Perez were from Real del Rosario, Sinaloa. They were among 12 families from Rosario recruited in 1781 to settle in Los Angeles. Moreno served as a Los Angeles Regidor; he is buried at Mission San Gabriel.",,1 photograph,"Photo label: Jose Moreno, mulatto, and his wife Maria Guadalupe, Milata, founders of Los Angeles / From a painting by an artist at the L.A. County Museum of Natural History.",public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Moreno, Jose Cesario, 1757-1806|~|Perez, Maria Guadalupe Gertrudis, 1762-1860",,local|~|local,Colonists,lcsh,,,,,paintings,aat,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.","Box 1, Folder 3",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x0v1v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x0v1v/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f03_002.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z13503b8,Work,,"Manuel Moreno at the age of 80, grandson of Los Angeles founder Jose Cesario Moreno, Los Angeles, 1905",,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.",still image,1905,1905,,,,,,,,"Portrait photograph of Manuel Moreno, grandson of mulatto Los Angeles founder Jose Cesario Moreno, taken in LA in 1905 when he was 80 years old. Moreno is standing outside in a hilly area, wearing a light-colored, torn shirt, neckerchief and hat; his hands rest on a walking stick.",,1 photograph,,public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Moreno, Manuel, b. circa 1825",,local,,,,,,,photographs,aat,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.","Box 1, Folder 3",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13503b8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13503b8/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f03_003.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1zc9kxx,Work,,"Manuel Moreno at the age of 80, grandson of Los Angeles founder Jose Cesario Moreno, Los Angeles, 1905",,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.",still image,1905,1905,,,,,,,,"Portrait photograph of Manuel Moreno, grandson of mulatto Los Angeles founder Jose Cesario Moreno, taken in LA in 1905 when he was 80 years old. Moreno is standing outside in a hilly area, wearing a light-colored, torn shirt, neckerchief and hat; his hands rest on a walking stick.",,1 photograph,,public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Moreno, Manuel, b. circa 1825",,local,,,,,,,photographs,aat,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.","Box 1, Folder 3",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9kxx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zc9kxx/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f03_004a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1tq7jj1,Work,,"Catarina Moreno, granddaughter of Los Angeles founder Jose Cesario Moreno, 1860",,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.",still image,1860,1860,,,,,,,,"Portrait photograph of Catarina Moreno, granddaughter of mulatto Los Angeles founder Jose Cesario Moreno. She married Andrés Pico",,1 photograph,,public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Moreno, Catarina",,local,,,,,,,photographs,aat,"Jose and Maria Guadalupe Moreno, founders of Los Angeles of African descent, and their descendants.","Box 1, Folder 3",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7jj1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq7jj1/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f04_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1pz6svr,Work,,"Painting of Luis and Maria Petra Quintero, 1781 founders of Los Angeles, of African descent",,"Luis and Maria Petra Quintero, founders of Los Angeles, of African descent.",still image,[circa 1930-1989],1930/1989,,,,,,,,"Painting representing Luis and Maria Petra Quintero, founders of Los Angeles, standing beside two horses, by a staff artist of the Los Angeles County Museum of Natural History.|~|Luis Manuel Quintero was a New Spain-Colonial tailor from Guadalajara, Jalisco, who later became one of the 44 original settlers of the Pueblo de Los Angeles (present-day Los Angeles, California) on September 4, 1781. Quintero's wife María Petra Rubio was born near 1741 and came from Álamos, Sonora. She was described as a mulatta, or a person of mixed Spanish and African descent. (Wikipedia)",,1 photograph,"Photo label: Luis Quinteros and his wife Maria Petra Quintero, L.A. founders of African descent. Painting by staff artist of the L.A. County Museum of Natural History. ",public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Quinteros, Luis, b. circa 1725 - 1810|~|Quinteros, María Petra Rubio, b. circa 1741",,local|~|local,Colonists,lcsh,,,,,paintings,aat,"Luis and Maria Petra Quintero, founders of Los Angeles, of African descent.","Box 1, Folder 4",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz6svr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz6svr/manifest
Masters/othermasters/miriammatthews/box01/uclalsc_1889_b01_f05_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1k6623p,Work,,"Ysidro Reyes, half-owner of Rancho Boca de Santa Monica and descendant of Juan Francisco Reyes, circa 1853-1861",,"Family and descendants of Juan Francisco Reyes, alcalde, 1793-1795.",still image,[circa 1853-1861],1853/1861,,,,,,,,"Ysidro Reyes, son of Juan Francisco Reyes, acquired half of the Mexican Land Grant called the Rancho Boca de Santa Monica (present day Santa Monica Canyon, the Pacific Palisades, and parts of Topanga Canyon). |~|Juan Francisco Reyes, was a mulatto settler from Mexico who arrived shortly after the original settlers of 1781. In 1784, he received the Spanish Crown’s land-grant for Rancho Los Encinos. After selling it back, he received the land grant for Lompoc. He became the first alcalde (mayor) of the Los Angeles pueblo in 1790.",,1 photograph,"Photo label: Ysidro Reyes. ""Lived at Santa Monica Canyon and his father worked a large tract of land extending to what is now Hollywood. He was sent by his father to the Brea Tar Pits to sell tar to the Los Angeles people who used it for their roofs. Photo is from: Chas. Prudhomme [Charles J. Prudhomme (1854-1934) collection of historic Los Angeles photographs, California Historical Society, Huntington Library]",public domain,,,,spec-coll@library.ucla.edu,"Early California, 1781-1920","Founders, Explorers, Travelers, 1527-1892","Reyes, Ysidro, 1813-1861",,local,,,,,,,photographs,aat,"Family and descendants of Juan Francisco Reyes, alcalde, 1793-1795.","Box 1, Folder 5",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k6623p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k6623p/manifest
