Object Type,Item ARK,Parent ARK,Title,Thumbnail,Local identifier,Item Sequence,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,volume | issue,IIIF Manifest URL
Work,ark:/21198/z1fv0n29,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d59,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Indice General",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10886gf,ihc_descriptiva_index,,,,,Alphabetical list of all terms ready in Volume I to XIV,1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,310 pages,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0n29/manifest
Work,ark:/21198/z1b29w9w,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d60,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo I - Pinar del Rio",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb098d,ihc_descriptiva_vol01,,,,,"Municipalities: Artemisa, Cabañas, Candelaria, Consolacion del Norte, Consolacion del Sur, Guane, Guanajay",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,840 pages|~|vol. 01,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29w9w/manifest
Work,ark:/21198/z16994hn,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d61,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo II - Pinar del Rio",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29wkg,ihc_descriptiva_vol02,,,,,"Municipalities: Los Palacios, Mantua, Mariel, Pinar del Rio, San Cristobal, San Juan y Martinez, San Luis, Viñales",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,836 pages|~|vol. 02,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16994hn/manifest
Work,ark:/21198/z12j8csx,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d62,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo III - Provincia Habana",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3sf3,ihc_descriptiva_vol03,,,,,"Municipalities: Aguacate, Alquizar, Batabano, Bauta, Bejucal, Caimito del Guayabal, Guanabacoa, Güines",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,900 pages|~|vol. 03,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j8csx/manifest
Work,ark:/21198/z1xs7wcj,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d63,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo IV - Provincia Habana",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8s1s,ihc_descriptiva_vol04,,,,,"Municipalities: Güira de Melena, Habana, Jaruco, Isla de Pinos, La Salud",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,774 pages|~|vol. 04,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs7wcj/manifest
Work,ark:/21198/z1t174pz,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d64,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo V - Provincia Habana",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx6d2p,ihc_descriptiva_vol05,,,,,"Municipalities: Madruga, Marianao, Nueva Paz, Regla, San Antonio de los Baños, San Jose de las Lajas, San Nicolas, Santa Maria del Rosario, Santiago de las Vegas",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,766 pages|~|vol. 05,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t174pz/manifest
Work,ark:/21198/z1pc53cz,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d65,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VI - Matanzas",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx3fbv,ihc_descriptiva_vol06,,,,,"Municipalities: Agramonte, Alacranes, Bolondron, Cardenas, Colon, Guamacaro, Jagüey Grande, Manguito, Jovellanos",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,688 pages|~|vol. 06,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc53cz/manifest
Work,ark:/21198/z1jm4bpp,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d66,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VII - Matanzas",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60p4x,ihc_descriptiva_vol07,,,,,"Municipalities: Marti, Matanzas, Pedro Betancourt, Perico, Sabanilla del Encomendador, San Antonio de Cabezas, San Jose de los Ramos, Santa Ana, Union de Reyes",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,716 pages|~|vol. 07,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm4bpp/manifest
Work,ark:/21198/z1dv3kvm,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d67,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo VIII - Santa Clara",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3sh0,ihc_descriptiva_vol08,,,,,"Municipalities: Abreus, Caibarien, Calabazar, Camajuani, Cienfuegos, Cifuentes, Corralillo, Cruces, Encrucijada, Esperanza",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,864 pages|~|vol. 08,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3kvm/manifest
Work,ark:/21198/z1932v35,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d68,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo IX - Santa Clara",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1742,ihc_descriptiva_vol09,,,,,"Municipalities: Palmira, Placetas, Quemado de Güines, Rancho Veloz, Ranchuelo, Rodas, Sagua la Grande, San Antonio de Vueltas, Sancti Spiritus, San Fernando de Camarone",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,828 pages|~|vol. 09,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932v35/manifest
Work,ark:/21198/z15b23d8,ark:/21198/z1q83f4g|~|ark:/21198/z1zk7d69,"Cuba Descriptiva: Datos sombre Municipios y Barrios, Tomo X - Santa Clara",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12575,ihc_descriptiva_vol10,,,,,"Municipalities: Remedios, San Juan de los Yeros, Santa Clara, Santa Isabel de las Lajas, Santo Domingo, Trinidad, Yaguajay, Zulueta",1911-1913,1911/1913,,,"This collection is a kind of gazeteer for Cuba. This series of books lists the names of cities, towns, neighborhoods, rivers, etc. throughout the island of Cuba. These facts were compiled by Carlos Garcia Velez and Augusto Casamayor Guerrero between 1911 - 1913. They describe the towns/cities/hamlets/homesteads and surrounding areas of the 6 original provinces. They also list churches, sugar mills (ingenios), agricultural farms (haciendas), lands used for the production of tobacco (vegas) as well as sites for farming and grazing horses and livestock (potrero.) Some give a history of the area as well as when it was founded. They name the mayor and other officials. It is a unique snapshot of the island of Cuba at the time. Source: Cuban Genealogy Club of Miami, Florida,  Inc.|~|Esta colección es un tipo de diccionario geográfico de Cuba. Esta serie enumera los nombres de las ciudades, los pueblos, los barrios, los ríos, etc. en la isla de Cuba. Estos datos fueron compilados por Carlos García Velez y Augusto Casamayor Guerrero entre 1911 - 1913. Ellos describen los pueblos / las aldeas / los caseríos y las áreas de las 6 provincias originales. También enumeran las iglesias, los ingenios, las haciendas, las vegas, y los potreros de cada area. Algunos dan una breve historia de la ciudad y cuando se fundó. Tambien nombran el alcalde y otros oficiales. Source: Cuban Genealogy Club of Miami, Florida, Inc.",,778 pages|~|vol. 10,,index,spa,"Velez, Carlos Garcia|~|Guerrero, Agusto Casamayor",,,Havana (Cuba),,,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,vol. 10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b23d8/manifest
