Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Subject.descriptiveTopic,Type.typeOfResource,Subject.conceptTopic,Rights.copyrightStatus,Language,Coverage.geographic,Rights.publicationStatus,Name.repository,Publisher.publisherName,Subject.corporateName,Type.genre,Name.manufacturer,Name.subject,Name.printer,Name.retailer,Name.designer,Rights.rightsHolderContact,Name.artist,Name.creator,Name.sponsor,AltTitle.uniform,Title,Format.dimensions,Description.caption,Publisher.placeOfOrigin,Date.normalized,Date.creation,Description.note,AltTitle.other,Format.extent,AltTitle.descriptive,Alternate Title.former,AltTitle.translated,Opac url,Description.abstract,IIIF Manifest URL
Patent Medicine Cards,ark:/21198/zz0002gx0g,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx0g%2F6f74nw5z,Children,still image,"Drugs, Non-Prescription--Advertisements|~|Dyspepsia--drug therapy--Advertisements|~|Indigestion|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Rumford Chemical Works,,trade cards,,,,,,,,,,,"Horsfords Acid Phosphate for mental & physical exhaustion, dyspepsia, &c [inscribed]",11.8 x 8 cm.,"For Dyspepsia, Indigestion, Headache, Mental & Physical Exhaustion, Nervousness, Hysteria, Night Sweats of Consumption, etc. This is a preparation of the phosphates of lime, magnesia, potash and iron with phosphoric acid, in such form as to be readily assimilated by the system.",Providence (R.I.),1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",Our pet,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx0g/manifest
Patent Medicine Cards,ark:/21198/zz0002gx10,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx10%2Fb7177784,Frogs|~|Log cabins|~|Wetlands|~|Crocodiles,still image,"Drugs, Non-Prescription--Advertisements|~|Fever--Treatment|~|Malaria--Treatment|~|Fever--drug therapy--Advertisements|~|Malaria--drug therapy--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Dr. J.C. Ayer & Co.,,trade cards,,,,,,,,,,,Ayer's Ague Cure is warranted to cure fever & ague and all malarial disorders [inscribed],6 x 11.5 cm.,"Additional card text: Ayer's Ague Cure is a purely vegetable bitter and powerful tonic, and is, with a positive knowledge of its effects, warranted a speedy and certain cure for Fever and Ague, Intermittent, Remittent, and Bilious Fevers, and for all disorders peculiar to malarious, marshy and miasmatic districts...It is a startling fact that most of the ""Fever and Ague preparations,"" ""Ague Pills,"" ""Specifics,"" ""Syrups,"" ""Febrifuges"" and ""Tonics"" in the market contain quinine, arsenic, zinc, or other poisonous substances, which, although they may break the chill, do not cure, but leave the malarial poison and their own drug poison in the system, producing Quinism, Congestion, Deafness, Neuralgia, and other disorders more formidable than the disease they were intended to cure. Ayer's Ague Cure thoroughly neutralizes and eradicates from the system these noxious poisons, and always cures the severest cases, leaving the patient as well as before the attack. It contains no quinine, mineral, or anything that will injure the most delicate patient, and we warrant it when taken according to directions...Where disorders of the liver and bowels have occurred from miasmatic poison, it removes the cause of them and they disappear. If taken occasionally by patients exposed to malaria, it will expel the poison and protect them from attack...For Liver Complaints it is an excellent remedy.",Lowell (Mass.),1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Image on front of card depicts a man rowing a boat on a swamp in front of a log cabin.  A woman and child are on the shore.  Mossy trees and a pink flamingo are in the background.  Triangular image on bottom right depicts crocodile and two frogs, with one of the frogs showing the bottle to the crocodile.  Text on front and back of card indicates a treatment used for curing fever, ague & all malarial disorders.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx10/manifest
Patent Medicine Cards,ark:/21198/zz0002gx2h,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx2h%2Fcb07xn7j,Children|~|Pills|~|Vegetable Pills,still image,Constipation--drug therapy--Advertisements|~|Liver Diseases--drug therapy--Advertisements|~|Laxatives--therapeutic use--Advertisements|~|Gastrointestinal system--Diseases|~|Patent medicines,pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,,,,,,,"C.I. Hood & Co. (Lowell, Mass.)",,,Hood's Pills [inscribed],7.8 x 7.8 cm.,"The general tendency of Hood's Sarsaparilla is laxative, but in many cases it is not sufficiently so. And in response to numerous demands for some laxative preparation we have compounded Hood's Vegetable Pills, which are meeting with marked favor. These Pills are mild yet efficient, do not cause pain, or gripe, and act with certainty upon the liver, removing all obstructions from the alimentary canal, and preventing all diseases arising from derangements of the liver and bowels. They are especially valuable as after-dinner Pills, and readily cure constipation and costiveness, nausea, distress in the stomach, etc. They are purely vegetable, and contain no calomel, mercury, or mineral substance of any kind.","Lowell, Mass.",1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no.311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Front of the card depicts a little child holding her face in her hands, leaning on her elbows. the image is in a painted elaborate frame. Back of the card has the description of the drug.",Cure liverills,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx2h/manifest
Patent Medicine Cards,ark:/21198/zz0002gx31,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx31%2Fd214kk50,Meadows|~|Women|~|Pain--Treatment|~|Pain--drug therapy--Advertisements.|~|Cattle|~|Grazing,still image,"Pain--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Patent medicines|~|Analgesics--therapeutic use--Advertisements",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,H.H. Payne  ,,trade cards,,,,W.H. Doll,,"Hayes, Geo. M. (George M.)",,,,,Chillarine [inscribed],12.6 x 7.6 cm.,"From back of card: Chillarine invariably cures chills. Ague of 12 years standing cured...Mexican Female Remedy is a certain and effectual cure for Leucorhoea or Whites, Painful Abscesses, Tumors, Ulcers or Falling of the Womb, together with Painful or Irregular Menstruation...I have been using M.A. Simmons' Liver Medicine for ten years for Indigestion and consequent troubles and find it the only Medicine of hundreds used that has given permanent relief.|~|Woman on front of card calls out: Cusha! Cusha! Cusha! Calling ere the early dews be falling",Scottsboro (Ala.),1883,c1883,"Front of card depicts a woman in a dress gazing out into a meadow and calling out for someone. Her left arm is extended outward from here body. There is a tree on her right in front of her and a path line with plans and flowers extends down to a pond. There are four cows in the meadow and a line of trees in the distance.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx31/manifest
Patent Medicine Cards,ark:/21198/zz0002gx4j,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx4j%2Fhp66c04t,Girls|~|Skin,still image,"Drugs, Non-Prescription--Advertisements|~|Cosmetics|~|Women--Health and hygiene.|~|Cosmetics--Advertisements|~|Patent medicines",pd,eng,United States,published,,,,trade cards,"Pozzoni, J. A.",,,,,,,,,,J.A. Pozzoni's Complexion Powder [inscribed],10.6 x 7.5 cm.,"For delicacy, for purity and for improvement of the complexion, nothing equals Pozzoni's Powder...Imparts a brilliant transparency to the skin. Removes all pimples, freckles, and discolorations, and makes the skin delicately soft. This most Exquisite Toilet Preparation, the virtues of which have caused it to be in demand in all civilized countries, stands pre-eminent for producing a soft and beautiful skin. It is acknowledged by thousands of ladies, who have used it daily for many years, to be the only preparation that does not roughen the skin, burn, chap, or leave black spots in the pores, or produce other discolorations.","St. Louis, Mo.",1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Depicts girl wearing a tattered straw hat. Suggests that by using this preparation a woman's face can look like a country girl's. Text on reverse side of card.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx4j/manifest
Patent Medicine Cards,ark:/21198/zz0002gx52,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx52%2Fg890rw79,Windows|~|Women|~|Flowers|~|Country life|~|Plants|~|Birds|~|Tablets--Advertisements,still image,"Sleep Disorders|~|Drugs, Non-Prescription--Advertisements|~|Dyspepsia--prevention & control--Advertising|~|Anxiety--prevention & control--Advertising|~|Dyspepsia--drug therapy--Advertisements.|~|Indigestion|~|Anxiety--Advertisements|~|Anxiety--drug therapy--Advertisements|~|Patent medicines|~|Analgesics--therapeutic use--Advertisements",pd,eng,,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Carter Medicine Co.,,,,,"Mayer, Merkel & Ottmann ",Bowen & Packard  ,,,,,,,Carter's Little Nerve Pills [inscribed],12.8 x 8.3 cm.,"On back of card: Sleep. Many persons are kept awake at night by some slight nervousness, caused, it may be, by the worry of business, by family cares, or not unfrequently by undigested food...These pills are free from any form of opium or morphine, do not effect the bowels in any manner whatever, but are made solely for the relief of Nervousness, Sleeplessness, Dyspepsia and Indigestion. They may be used alone or in combination with the Little Liver Pills, and in either case will give the most perfect satisfaction...We therefore give you this advice: If you are nervous or dyspeptic, or either one or both, try Carter's Little Nerve Pills, they cannot fail to benefit you.|~|Presented by the makers of Carter's Little Liver Pills",New York (N.Y),1880/1906,[between 1880 and 1906?],"Picture on front of card depicts a young woman looking out of a window at a bird. There is no glass and her left hand is extended out the window and resting on a ledge. There are flowering plants on either side of the window on the ledge. It appears to be in the country side and there appears to be a city with skyscrapaers in the distance.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx52/manifest
Patent Medicine Cards,ark:/21198/zz0002gx6k,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx6k%2F2x78g33x,Couples|~|Drawing rooms,still image,"Pain--Treatment|~|Tablets--Advertisements|~|Pain--drug therapy--Advertisements.|~|Headache--drug therapy--Advertisements|~|Pain--prevention & control--Advertisements.|~|Headache--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Dyspepsia--prevention & control--Advertising|~|Dyspepsia--drug therapy--Advertisements|~|Indigestion|~|Patent medicines|~|Analgesics--therapeutic use--Advertisements",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Carter Medicine Co.,,trade cards,,,,,,,,,,,Carter's Little Liver Pills [inscribed],10.9 x 7.3 cm.,"On back of card: Carter's Little Liver Pills will cure more cases of sick headache, constipation, dyspepsia and all forms of biliousness, in less time, with less medicine, and for less money than any other remedy. They promote digestion, relieve distress from too hearty eating, correct disorders of the stomach, stimulate the liver and regulate the bowels...Purely vegetable.|~|Additional text from front of card: I dont see how it is Frank, out so LATE as you were you feel so BRIGHT this morning, while I have this wretched NERVOUS HEADACHE FRANK - Well my dear I take CARTER'S LITTLE LIVER PILLS NO HEADACHE where they are used.",New York (N.Y.),1880/1906,[between 1880 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Front of card depicts a man dressing before a mirror. He is looking at a woman, seated, who is clutching her head with both hands and frowning. There is a tea or coffee pot and a cup on a saucer on a small table the woman's left elbow is resting on. The table and chair are resting on a throw rug. On the rear wall there is a large picture above the man. Behind the woman is a window with curtains partially drawn up.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002gx6k/manifest
Patent Medicine Cards,ark:/21198/zz0002hbqk,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbqk%2F5j11527b,Hats|~|Horses|~|Military personnel|~|Salutations|~|Rifles,still image,"Pain--Treatment|~|Pain--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Pond's Extract Company,,trade cards,,,,,,,,,,,Pond's Extract,10.2 x 10.2 cm.,"Pond's extract is invaluable for piles, burns, bruises, wounds, sprains, soreness, influenza, eruptions, chilblains, rheumatism, chapped hands, mosquito bites, cuts, boils, chafing, catarrh, sunburn, feminine disorders, lameness, hoarseness, sore throat, inflamed eyes, insect stings, inflammations and hemorrhages. Never harmful. Always beneficial. Fifty years the unequalled vegetable pain destroyer.",New York,1870/1906,[between 1870 and 1906?],"A group of military personnel in a field standing around their leader saluting him and he is sitting on the back of a horse. Some other soldiers are riding on horses. The uniform relates to American Revolution 1775-1783.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),What's on the other side?|~|American uniforms. War of revolution 1775-1783,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hbqk/manifest
Patent Medicine Cards,ark:/21198/zz0002hbr3,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbr3%2Fcq70xq2z,Children|~|Ice skating|~|Winter,still image,"Drugs, Non-Prescription--Advertisements|~|Drug Therapy--Advertisements|~|Glycerol--Advertisements|~|Anti-Inflammatory Agents--Advertisements|~|Glycerin|~|Drug Compounding--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,,,,,,,,,,"Sapanule, the Glycerine Lotion [inscribed]",6.9 x 10 cm.,"Additional card text: Cures rheumatism, neuralgia, pneumonia, diphtheria, sore throat, inflammation of the lungs & kidneys. The best household remedy ever known, satisfaction guaranteed. 25 c. 50 c. & $ 1.00 per bottle at all druggists.",Providence (R.I.),1870/1906,[between 1870-1906?],"Reverse side of card shows three children against a red background in a winter scene ice skating with a dog.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.","""Sapanule"" trade marks sold by all druggists",1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hbr3/manifest
Patent Medicine Cards,ark:/21198/zz0002hbsm,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbsm%2Fj994mq6s,Military personnel|~|Rifles,still image,"Pain--Treatment|~|Pain--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Pond's Extract Company,,trade cards,,,,,,,,,,,Pond's Extract,10.1 x 10.1 cm.,"Pond's extract is invaluable for piles, burns, bruises, wounds, sprains, soreness, influenza, eruptions, chilblains, rheumatism, chapped hands, mosquito bites, cuts, boils, chafing, catarrh, sunburn, feminine disorders, lameness, hoarseness, sore throat, inflamed eyes, insect stings, inflammations and hemorrhages. Never harmful. Always beneficial. Fifty years the unequalled vegetable pain destroyer.",New York,1870/1906,[Between 1870 and 1906?],"A group of military personnel with unifroms and rifles are standing in front of a public building and talking to each other.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",What's on the other side?,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hbsm/manifest
