"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Subject.descriptiveTopic","Type.typeOfResource","Subject.conceptTopic","Rights.copyrightStatus","Language","Coverage.geographic","Rights.publicationStatus","Name.repository","Publisher.publisherName","Subject.corporateName","Type.genre","Name.manufacturer","Name.subject","Name.printer","Name.retailer","Name.designer","Rights.rightsHolderContact","Name.artist","Name.creator","Name.sponsor","AltTitle.uniform","Title","Format.dimensions","Description.caption","Publisher.placeOfOrigin","Date.normalized","Date.creation","Description.note","AltTitle.other","Format.extent","AltTitle.descriptive","Alternate Title.former","AltTitle.translated","Opac url","Description.abstract","Bucketeer State","IIIF Access URL"
"Patent Medicine Cards","ark:/21198/zz0002gx0g/6f74nw5z","ark:/21198/zz0002gx0g","","","Page","patentmedcards/masters/21198-zz0002gx0g-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx0g%2F6f74nw5z"
"Patent Medicine Cards","ark:/21198/zz0002gx0g/hh241t32","ark:/21198/zz0002gx0g","","","Page","patentmedcards/masters/21198-zz0002gx0g-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx0g%2Fhh241t32"
"Patent Medicine Cards","ark:/21198/zz0002gx10/4m327r4z","ark:/21198/zz0002gx10","","","Page","patentmedcards/masters/21198-zz0002gx10-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx10%2F4m327r4z"
"Patent Medicine Cards","ark:/21198/zz0002gx10/b7177784","ark:/21198/zz0002gx10","","","Page","patentmedcards/masters/21198-zz0002gx10-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx10%2Fb7177784"
"Patent Medicine Cards","ark:/21198/zz0002gx2h/cb07xn7j","ark:/21198/zz0002gx2h","","","Page","patentmedcards/masters/21198-zz0002gx2h-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx2h%2Fcb07xn7j"
"Patent Medicine Cards","ark:/21198/zz0002gx2h/hp43d97w","ark:/21198/zz0002gx2h","","","Page","patentmedcards/masters/21198-zz0002gx2h-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx2h%2Fhp43d97w"
"Patent Medicine Cards","ark:/21198/zz0002gx31/2185sj0c","ark:/21198/zz0002gx31","","","Page","patentmedcards/masters/21198-zz0002gx31-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx31%2F2185sj0c"
"Patent Medicine Cards","ark:/21198/zz0002gx31/d214kk50","ark:/21198/zz0002gx31","","","Page","patentmedcards/masters/21198-zz0002gx31-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx31%2Fd214kk50"
"Patent Medicine Cards","ark:/21198/zz0002gx4j/9351494m","ark:/21198/zz0002gx4j","","","Page","patentmedcards/masters/21198-zz0002gx4j-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx4j%2F9351494m"
"Patent Medicine Cards","ark:/21198/zz0002gx4j/hp66c04t","ark:/21198/zz0002gx4j","","","Page","patentmedcards/masters/21198-zz0002gx4j-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx4j%2Fhp66c04t"
"Patent Medicine Cards","ark:/21198/zz0002gx52/c248fg4c","ark:/21198/zz0002gx52","","","Page","patentmedcards/masters/21198-zz0002gx52-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx52%2Fc248fg4c"
"Patent Medicine Cards","ark:/21198/zz0002gx52/g890rw79","ark:/21198/zz0002gx52","","","Page","patentmedcards/masters/21198-zz0002gx52-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx52%2Fg890rw79"
"Patent Medicine Cards","ark:/21198/zz0002gx6k/2x78g33x","ark:/21198/zz0002gx6k","","","Page","patentmedcards/masters/21198-zz0002gx6k-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx6k%2F2x78g33x"
"Patent Medicine Cards","ark:/21198/zz0002gx6k/hg57cp83","ark:/21198/zz0002gx6k","","","Page","patentmedcards/masters/21198-zz0002gx6k-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002gx6k%2Fhg57cp83"
