Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Subject.descriptiveTopic,Type.typeOfResource,Subject.conceptTopic,Rights.copyrightStatus,Language,Coverage.geographic,Rights.publicationStatus,Name.repository,Publisher.publisherName,Subject.corporateName,Type.genre,Name.manufacturer,Name.subject,Name.printer,Name.retailer,Name.designer,Rights.rightsHolderContact,Name.artist,Name.creator,Name.sponsor,AltTitle.uniform,Title,Format.dimensions,Description.caption,Publisher.placeOfOrigin,Date.normalized,Date.creation,Description.note,AltTitle.other,Format.extent,AltTitle.descriptive,Alternate Title.former,AltTitle.translated,Opac url,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Patent Medicine Cards,ark:/21198/zz0002gwzg,,2,Completed,Collection,,,,,,,still image,"Drugs, Non-Prescription--Advertisements|~|Patent medicines",,eng|~|fre|~|ger,Belgium|~|Canada|~|United States|~|Hungary,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,,,,,,,,,Patent Medicine Trade Cards Collection [descriptive],Patent Medicine Trade Cards,,,,1870/1906,[between 1870 and 1906?],"The trade cards are small, colorfully illustrated advertising cards touting a particular medicine and its many cures. The illustrations often have little to do with any of the ailments purported to be cured. They were pure advertising and very collectible.",,247 prints (trade cards),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,"A collection of 247 patent medicine trade cards. Patent medicines were medical compounds sold under a variety of names and labels, though they were for the most part actually trademarked medicines, not patented. The trade cards are small, colorfully illustrated advertising cards touting a particular medicine and its many cures. The era of patent medicine began to unravel in the U.S. with the passage of the first Pure Food and Drug Act in 1906.",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0002gwzg
Patent Medicine Cards,ark:/21198/zz0002hcfx,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hcfx-1-master.tif,,,,,Hats|~|Children|~|Running|~|Monkeys|~|Zoos|~|Parrots|~|Cages,still image,"Phytotherapy--Advertisements|~|Drugs, Non-Prescription--Advertisements|~|Bitters|~|Plant Preparations--Advertisements|~|Hematologic Diseases--drug therapy--Advertisements|~|Blood--Diseases--Treatment|~|Herbs--Therapeutic use|~|Patent medicines",pd,eng,United States,published,,"Loring, E.",,trade cards,,,,,,"Tobin, M. F.",,,,,Use Loring's Bitters [inscribed],4.6 x 7.9 cm.,"Use Loring's Bitters the best blood purifier in the market. Cures long-standing diseases...Treats strictly with roots and herbs.|~|Additional card text: Prepared by Prof. E. Loring, Stevens Place, Melrose, Mass.",,1880/1889,c between 1880 and 1889,"One of two brown monkeys in a cage, possibly in a zoo, holds a hat which it has snatched from the head of a little girl who is running away from the cage behind a boy. A yellow and green parrot in the center of the picture holds up a sign with the advertising text behind and above the boy and girl. To the right and in the background is a green tree.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",Blood purifier,"1 print (trade card, color)",,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcfx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hcfx/manifest
Patent Medicine Cards,ark:/21198/zz0002hdnh,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hdnh-1-master.tif,,,,,Girls|~|Bonnets,still image,"Drugs, Non-Prescription--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Dr. J.C. Ayer & Co.,,trade cards,,,,,,,,,,,Ayer's Pills are sugar coated [inscribed],15.5 x 10.5 cm.,Ayer's Pills are sugar coated.,Lowell (Mass.),1870/1906,[between 1870 and 1906?],"Image on card depicts young girl with long curly hair, wearing a bonnet, blouse with ruffled sleeve, and gloves.  She is holding a container labelled J.C Ayers in script.  The container has little white balls inside, and she is holding one in her right hand.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hdnh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hdnh/manifest
Patent Medicine Cards,ark:/21198/zz0002hf05,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hf05-1-master.tif,,,,,Women|~|Dresses,still image,"Drugs, Non-Prescription--Advertisements|~|Neuralgia--drug therapy--Advertisements|~|Antirheumatic Agents--Advertisements |~|Antirheumatic agents|~|Neuralgia--Treatment|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Athlophoros Co.,,trade cards,,,,,,,,,,,Three Most Reliable Remedies [inscribed],16 x 9 cm.,"Three most reliable remedies, Athlophoros for Rheumatism and Neuralgia, Athlo-Ointment for Sprains, Lameness, Sore throat, etc., Athlo-Tablets for Constipated Rheumatics...affliction could only be relieved by a remedy which would deal with the obstructive acid which poisoned and inflamed his blood, he devoted himself to study and experiment, aided by the best scientific help, to find such a remedy, the result being the discovery of Athlophoros...By its expulsion of rheumatic and neuralgic acid from the system, its invigoration of the muscles and healthy lubrication of the joints, Athlophoros has triumphed in every instance. This wonderful specific for hitherto incurable diseases is compounded with the utmost care, and contains nothing whatever that can injure the most delicate organism...",New Haven (Conn.),1870/1906,[between 1870 and 1906?],Front of card depicts a fashionable young lady in a rose-colored dress holding a long necklace. Back of card not shown.,,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hf05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hf05/manifest
Patent Medicine Cards,ark:/21198/zz0002hhmf,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hhmf-1-master.tif,,,,,Donkeys|~|Telephones,still image,"African American men|~|Pain--drug therapy--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Analgesics--Advertisements|~|Plaster (Pharmacy)|~|Kidney Diseases--drug therapy--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,J.H. Bufford & Co.,,,,,,,,,Mitchell's Kidney Plasters [inscribed],10.4 x 6.9 cm.,"On front of the card:Bless my stars! He must be a foreigner and can't understand Say! Tell James to call round to de drug store and get some MITCHELL'S KIDNEY PLASTERS.Mr. Livingston he can't go out today, he got such a pain across his Kidneys...",New York (N.Y) ?,1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311. History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|The card depicts a scene where an older african american man is talking on the phone. On the other side of the card there's a donkey appearing to be at the other side of the line.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhmf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hhmf/manifest
Patent Medicine Cards,ark:/21198/zz0002hhzm,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hhzm-1-master.tif,,,,,Men|~|Women,still image,Phytotherapy--Advertisements|~|Pharmaceutical Solutions--Advertisements|~|Women's Health--Advertisements|~|Patent medicines,pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,,,,,,,,,,Painfully Conscious,10.1 x 6.8 cm.,Painfully conscious.,[United States?],1870/1906,[between 1870 and 1906?],"Front of card depicts a woman seating near the high fence. A man is crouching near the woman. Another woman appears from the other side of the fence and pours a bucket of water on the man. She looks angry and the couple are surprised.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhzm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hhzm/manifest
Patent Medicine Cards,ark:/21198/zz0002hj4p,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hj4p-1-master.tif,,,,,Men|~|Women,still image,"Phytotherapy--Advertisements|~|Pharmaceutical Solutions--Advertisements|~|Drugs, Non-Prescription--Advertisements|~|Women's Health--Advertisements|~|Patent medicines",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,trade cards,,,,,,,,,,,Blissfully Unconscious [inscribed],,,[United States?],1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Front of card depicts a man and a woman seating near the high fence. Man is embracing the woman by one hand and in another one he is holding women’s hand. Another woman appears from the other side of the fence. She looks angrily and jealously on the couple.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hj4p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hj4p/manifest
Patent Medicine Cards,ark:/21198/zz0002hjbs,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hjbs-1-master.tif,,,,,,still image,"Infants|~|Children|~|Pain--Treatment|~|Tablets--Advertisements|~|Pain--drug therapy--Advertisements.|~|Headache--drug therapy--Advertisements|~|Pain--prevention & control--Advertisements.|~|Headache--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Dyspepsia--prevention & control--Advertising|~|Dyspepsia--drug therapy--Advertisements|~|Indigestion|~|Patent medicines|~|Analgesics--therapeutic use--Advertisements",pd,eng,United States,published,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,Bradt's,,,,,,,,,,,,,Bradt's Stomach Pills [inscribed],11.4 x 7.3 cm.,"At especially this season of the year, for Headache, Biliousness, Indigestion, costiviness and all derangements of the Stomach, use Bradt's Stomach Pills, relief sure to follow.",United States,1870/1906,[between 1870 and 1906?],"Card depicts an infant, clothed and resting on a pillow.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",Use Bradt's Stomach Pills,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hjbs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hjbs/manifest
Patent Medicine Cards,ark:/21198/zz0002hjmx,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hjmx-1-master.tif,,,,,Men|~|Girls|~|Feet $z California $z Los Angeles,still image,"Pain--Treatment|~|Pain--drug therapy--Advertisements.|~|Pain--prevention & control--Advertisements.|~|Drugs, Non-Prescription--Advertisements|~|Rheumatic Diseases--drug therapy--Advertisements|~|Rheumatism--Treatment|~|Patent medicines",pd,eng,United States,published,,,,trade cards,H.H. Warner & Co.,,,,,,,,,,Warners Safe Rheumatic Cure [inscribed],11 x 7.1 cm.,"...Also for Sciatica, Lumbago, Neuralgia, Gout and Rheumatic...",[United States?],1870/1906,[between 1870 and 1906?],"Depicts girl bringing a bottle of Warner's Safe Rheumatic Cure to her bed-ridden dad with bandaged feet. There is also a bottle on the bedside table with a glass full of the tonic.|~|Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hjmx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hjmx/manifest
Patent Medicine Cards,ark:/21198/zz0002hk7q,ark:/21198/zz0002gwzg|~|ark:/21198/z14f2v0q ,2,Completed,Work,patentmedcards/masters/21198-zz0002hk7q-1-master.tif,,,,,Boys|~|Costumes|~|Roller skates,still image,Roller skating,pd,eng,United States,published,,"Warren, W. H., printer",,trade cards,,,,,,,,,,,Boy on roller skates [descriptive],10.6 x 7.1 cm.,"W.H. Warren, job printer, Somerset, N.Y.","New York, N.Y.",1870/1906,[between 1870 and 1906?],"Original trade card forms part of: Collection no. 311, History & Special Collections for the Sciences, Louise M. Darling Biomedical Library, UCLA.|~|Depicts a boy in traditional dutch clothing with wooden shoes.  Roller skates are strapped to his shoes.",,1 print (trade card),,,,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9960994033606533,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hk7q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002hk7q/manifest
