Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Rights.rightsHolderContact,Subject,Title,AltTitle.other,Description.note,Summary,Alt ID.local,Date.creation,Date.normalized,Opac url,Finding Aid URL,IIIF Manifest URL
Wingfield (Michael) Collection,ark:/21198/zz002gw1mb,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj653x,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Logic Diagrams (A series),,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gw1mb/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gx95x,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7s9v,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [1] CPU Order Logic,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx95x/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxb2v,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w00fp,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [2] IMP to Host,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxb2v/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxb3c,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4fv9,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [4] Miscellaneous Indicator Lamps,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxb3c/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbb0,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3q23,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [3] Host to IMP,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbb0/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbch,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zg7,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [5] Diagonostic Logic Equations,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbch/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbd1,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7dn1,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [6] IMP Test program,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbd1/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbfj,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw65ch,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [7] I.C. Count,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbfj/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbg2,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961451,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [8] RFC 12 IMP-HOST INTERFACE FLOW DIAGRAMS,,,,,26 Aug 1969,1969-08-26,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbg2/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbhk,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6b8m,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [9] Project Network Diagram Interface Construction,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbhk/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbj3,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3b9x,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [10] Specifications for Gore-SDS Cable Connector,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbj3/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbkm,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2kmn,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [11] Control Panel Wiring Specifications,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbkm/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbm4,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7smw,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [12] Hardware Specifications,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbm4/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbnn,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16qb4,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [13] Computer Board Indexing Slots,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbnn/manifest
