Object Type,Item ARK,Parent ARK,Title,AltTitle.translated,AltTitle.other,File Name,Contents note,Date.normalized,Format.extent,Genre,Language,Local identifier,Name.creator,Place of origin,Repository,Type.typeOfResource,Subject geographic,Subject topic,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,ark:/21198/z17w8gfp,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,کاره ساتا شنگالى : جه گه را ته داىکى جه گه را مه هه ميانه ,Mother your suffering is our suffering too,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_001.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_001,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w8gfp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w8gfp/manifest
Work,ark:/21198/z1447qq8,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Crying Yazidi woman comforting two children,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_002.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_002,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447qq8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447qq8/manifest
Work,ark:/21198/z10c701s,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Young Yazidi refugee with bread and bottled water,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_003.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_003,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c701s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c701s/manifest
Work,ark:/21198/z1vm6gj3,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Female Yazidi refugee holding young child,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_004.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_004,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm6gj3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm6gj3/manifest
Work,ark:/21198/z1qv5qtc,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,کاره ساتا شنگالى : سلاف بو قه نجى و قه درناسىا خه لکى شه رفمه ندى به دىنان,Regards to honourable people of Behdinan for their resistance and respect,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_005.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_005,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5qtc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5qtc/manifest
Work,ark:/21198/z1m3500d,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,"Four images of Yazidi refugees boarding a truck, taking shelter, and walking",,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_006.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_006,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m3500d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m3500d/manifest
Work,ark:/21198/z1gb478p,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Images of Yazidi refugees walking and taking shelter,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_007.tif,Shingal Genocide 3/8 2014,2014,1 poster,posters,kur,lalish_yazidiposters_007,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb478p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gb478p/manifest
Work,ark:/21198/z1bp261k,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Bearded Yazidi refugee wearing a head covering,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_008.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_008,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp261k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp261k/manifest
Work,ark:/21198/z16x1f9v,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Yazidi refugee carrying another person on his back,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_009.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_009,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1f9v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x1f9v/manifest
Work,ark:/21198/z1350pmw,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,21 images of Yazidi refugees from Shingal,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_010.tif,Shingal Genocide 3/8/2014,2014,1 poster,posters,kur,lalish_yazidiposters_010,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350pmw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350pmw/manifest
Work,ark:/21198/z1zd065f,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Seated Yazidi woman with head scarf holding child,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_011.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_011,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd065f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zd065f/manifest
Work,ark:/21198/z1tm9fdq,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Elderly Yazidi refugee being offered food,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_012.tif,Shingal Genocide 3/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_012,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm9fdq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tm9fdq/manifest
Work,ark:/21198/z1pv8pm3,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Smiling Yazidi child refugee,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_013.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_013,,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8pm3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pv8pm3/manifest
