"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.servicesContact","Name.subject","Name.architect","Name.creator","Subject","AltTitle.uniform","Relation.isPartOf","Name.repository","Format.dimensions","Title","Date.creation","Format.extent","Alt ID.local","Date.normalized","Description.note","Coverage.geographic","Format.medium","Description.contents","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz000945v6","","2","Completed","Collection","","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Jones, A. Quincy (Archie Quincy), 1913-1979--Archives|~|Architects--California, Southern--Archival resources","A. Quincy Jones Papers","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","A. Quincy Jones Papers, 1942-1979","1942-1979","","Collection 1692","1942/1979","","","","Collection consists of material related to Jones' career as an architect. Includes architectural plans and drawings, presentation boards, company chronology files, building specifications, travel sketches, doodles, ephemera, and publications by and about Jones.","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1972923","http://www.oac.cdlib.org/findaid/ark:/13030/tf0j49n6wn","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000945v6"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz000947s4","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz000947s4-1-master.tif","","","","","still image","Architectural drawings","","","Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-","","Church buildings","St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","84 x 48 cm. (33 x 19 in.)","St. Aidan's Church, site studies scheme B","1965","1 drawing","clus_1692_of3446_005","1965","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000947s4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000947s4/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz00094qsw","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz00094qsw-1-master.tif","","","","","still image","Black-and-white photographs|~|Portrait photographs","","Jones, A. Quincy (Archie Quincy), 1913-1979","","","","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","18 x 23 cm. (7 x 9 in.)","A. Quincy Jones, portrait at drafting table","n.d.","1 photographic print","Box 3829, folder 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094qsw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094qsw/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014173r","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014173r-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Walter Annenberg Palm Springs Site","November 1963","1 35mm slide","c1692_b1593_s9_3","","View of land near Palm Springs, CA, future site of Walter Annenberg's estate, Sunnylands.","Rancho Mirage (Calif.)","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014173r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014173r/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz00141748","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz00141748-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Walter Annenberg Palm Springs Site","November 1963","1 35mm slide","c1692_b1593_s9_4","","View of land near Palm Springs, CA, future site of Walter Annenberg estate, Sunnylands.","Rancho Mirage (Calif.)","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00141748","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141748/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014177t","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014177t-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Walter Annenberg Palm Springs Site","November 1963","1 35mm slide","c1692_b1593_s9_5","","View of land near Palm Springs, CA, future site of Walter Annenberg estate, Sunnylands.","Rancho Mirage (Calif.)","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014177t","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014177t/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014179v","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014179v-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Walter Annenberg Palm Springs Site","November 1963","1 35mm slide","c1692_b1593_s9_6","","View of land near Palm Springs, CA, future site of Walter Annenberg's estate, Sunnylands.","Rancho Mirage (Calif.)","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014179v","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014179v/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417bc","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417bc-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Walter Annenberg Palm Springs Site [image of elevation drawing]","November 1963","1 35mm slide","c1692_b1593_s9_7","","color slide of elevation drawing","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417bc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417bc/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417cw","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417cw-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg construction office -- ""before""","February 1964","1 35mm slide","c1692_b1593_s9_8","","View of side of building with brick wall and shrubs.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417cw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417cw/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417fx","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417fx-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg construction office -- ""before""","February 1964","1 35mm slide","c1692_b1593_s9_9","","View of side of building with brick wall and shrubs.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417fx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417fx/manifest"
