Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized
Network Measurement Center Collection,ark:/21198/zz002dj6hw,,2,Completed,Collection,,,,,,,,,,,,,Kleinrock Internet History Center,,,Network Measurement Center Collection,,,,
Network Measurement Center Collection,ark:/21198/zz002dj6tj,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dj6tj-1-master.pdf,120,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Network Measurement Program,30 June 70,Misc. Network Notes #9,,
Network Measurement Center Collection,ark:/21198/zz002dj6v2,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002dj6v2_2151916_master.tif,110,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Modifications to the IMP Program,28 November 69,Misc NW Note 2,,
Network Measurement Center Collection,ark:/21198/zz002dj6wk,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dj6wk-1-master.pdf,130,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),UCLA Computer Science Site Profile,22 March 71,Misc N. W. Note #10,,
Network Measurement Center Collection,ark:/21198/zz002dj6x3,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dj6x3-1-master.pdf,135,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,,,ARPANET (Computer network),Bibliography of Literature on Computer Networking,December 1970,,,
Network Measurement Center Collection,ark:/21198/zz002dj6zm,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dj6zm-1-master.pdf,137,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),"Memorandum to Network Sites Through NIC, March 11, 1971","March 11, 1971",Misc. Network Note #13,,
Network Measurement Center Collection,ark:/21198/zz002djfh8,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djfh8_2152014_master.tif,510,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),BBN Connected to ARPA Network,30 March 1970,,"""BNN is now connected to the ARPA Network (Site #5)."" Letter to Dr. Leonard Kleinrock from David C. Walden",
Network Measurement Center Collection,ark:/21198/zz002djfjs,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djfjs-1-master.pdf,100,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Yet Another Series,24 November 1969,"Misc NW Note 1, November 24, 1969","""Yet Another Series""""Along with the formal BB and N reports and the less formal NWG/RFC notes, we are acquiring some unorganized information not of general concern. This series of notes will cumulate these tidbits.""",
Network Measurement Center Collection,ark:/21198/zz002djfpv,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djfpv-1-master.pdf,140,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Test: Measurement of SRI-Utah Traffic,25 March 71,Misc. Network Note #14,,
Network Measurement Center Collection,ark:/21198/zz002djfqc,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djfqc-1-master.pdf,150,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Early Project MAC ARPA Network Experiments,"February 2, 1971","Misc N. W. Note #16|~|Project MAC Computer Network Group, Memorandum No. 14",,
Network Measurement Center Collection,ark:/21198/zz002djfrw,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djfrw-1-master.pdf,160,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"Guide to Network Working Group/Request for Comments, Issue No. 1, 26 March 1971",26 March 1971,Misc. Network Note #17|~|NIC 5819,"Peggy M. Karp, The MITRE Corporation, Westgate Research Park, McLean, Virginia 22101|~|Pages 1-5 of 51 digitized",
Network Measurement Center Collection,ark:/21198/zz002djfsd,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djfsd_2152032_master.tif,170,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"ARPA Net, April 1971",April 1971,Misc. Network Note #18,,
Network Measurement Center Collection,ark:/21198/zz002djftx,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djftx_2152035_master.tif,180,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"Augmentation Research Center, Stanford Research Institute (SRI-ARC) Network Graphics Group - Membership List, Revised 31-Aug-71",31-AUG-71,NIC 7190|~|Misc. Network Note #19,,
Network Measurement Center Collection,ark:/21198/zz002djfvf,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djfvf-1-master.pdf,190,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Transmittal of NIC 7198,1-SEP-71,Misc. Network Note #20,Pages 1-3 of 11 scanned,
Network Measurement Center Collection,ark:/21198/zz002djg42,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg42_2152071_master.tif,200,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"NETRJS Usage for September, 1971",25-OCT-71,Misc. Network Note #21,,
Network Measurement Center Collection,ark:/21198/zz002djg5k,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg5k_2152074_master.tif,210,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),BBN Priority Messages,17-JAN-72,Misc. Network Note #22,,
Network Measurement Center Collection,ark:/21198/zz002djg63,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djg63-1-master.pdf,220,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),The New Flow-control Scheme for IMPSYS,27-MAR-72,Misc. Network Note #23,,
Network Measurement Center Collection,ark:/21198/zz002djg7m,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djg7m-1-master.pdf,230,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"MSP Message Format, Response to User Messages, and Response to Network Messages",28-MAR-72,Misc. Network Note #24,"MEMORANDUM TO: Will Crowther, Steve Crocker, Dave Walden, Dan Murphy, Alex McKenzie, Jon Postel FROM: Bob Bressler",
Network Measurement Center Collection,ark:/21198/zz002djg84,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg84_2152081_master.tif,240,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Lines and Line Legend,1-MAR-73,Misc. Network Note #29,,
Network Measurement Center Collection,ark:/21198/zz002djg9n,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djg9n-1-master.pdf,250,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Announcement of Changes in NIC Services,9-OCT-74,Misc. Network Note #31,"""Effective July 1, 1974, the scope and kinds of services provided by the Network Information Center will be reduced at ARPA's request. This note describes the NIC services SRI-ARC has proposed that ARPA support after July 1, 1974. It also describes those current NIC services that will be discontinued on that date.""",
Network Measurement Center Collection,ark:/21198/zz002djgb5,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgb5-1-master.pdf,260,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Mail Queueing,5-AUG-74,Misc. Network Note #32,,
Network Measurement Center Collection,ark:/21198/zz002djgcp,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgcp-1-master.pdf,270,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Network Liaison List,14-OCT-74,Misc. Network Note #33,,
