Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized
Network Measurement Center Collection,,,,,Page,21198-zz002dj6s1-1-master_001.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002dj6s1-1-master_002.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002dj6s1-1-master_003.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002h28g9-1-master_001.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002h28g9-1-master_002.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002h28g9-2-master_001.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,,,,,Page,21198-zz002h28g9-2-master_002.tif,,,,,,,,,,,,,,,,,,,
Network Measurement Center Collection,ark:/21198/zz002dwr90,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,700,,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 2,20-MAR-72,ASS Note 2,,1972-03-20
Network Measurement Center Collection,ark:/21198/zz002h28mc,ark:/21198/zz002dj6hw,1,In progress,Work,,774,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [4] Drift Compensation,12 Sep 1957,,,1957-09-12
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
