Bib ID,Object Type,Parent ARK,Item ARK,File Name,Title,Thumbnail,Item Sequence,AltTitle.other,AltTitle.uniform,Author,Place of origin,Date.creation,Date.normalized,Colophon,Description.note,Note,Summary,Representative image,Masthead,Language,References,Provenance,Table of Contents,Format.extent,Type.typeOfResource,Type.genre,Subject topic,Name.repository,AltIdentifier.local,Rights.copyrightStatus,Rights.servicesContact,Text direction,viewingHint,Opac url,Note.admin,vol.,IIIF Manifest URL
,Collection,,ark:/21198/n1r89q,,Toganoo Collection,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1c339%2Fsw43zc5x,,,,,,,,,,,"The Toganoo Collection (栂尾文庫) was a private library of Shōun Toganoo (栂尾祥雲), the first library director and the fifth president of Koyasan University, established as a monastic school for Shingon Buddhist priests and specialized in Shingon Buddhism in Mount Koya, Wakayama Prefecture, Japan. Shōun, Shingon a preist and scholar originally from Kagawa Prefecture, was also the second director of the Institute of Esoteric Culture, a research institute in Koyasan. The entire collection consists of nearly 340 titles in 1,000 volumes of modern and premodern (115 titles in 333 volumes) materials including two mandala manuscript scrolls. Strong in Shingon esoteric sect, its premodern collection contains Buddhist manuscripts and prints from the 14th to the 19th centuries on both exoteric and esoteric traditions. The collection was purchased by UCLA Library in 1962. Sixty-six selected manuscripts are reproduced in print in a 13-volume set, The Toganoo collection of exoteric and esoteric works kept in the University of California 栂尾コレクション顕密典籍文書集成 (Hirakawa Shuppansha, 1981). Pre-Meiji works are searchable by “toganoo collection” in UCLA Library OPAC and included in Jun Suzuki’s print catalog, Catalog of Rare Japanese Materials at the University of California, Los Angeles カリフォルニア大学所蔵栂尾コレクション顕密典籍文書集成 (Tōsui Shobō, 2000).",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fw794f62w,"/136,2712,4064,1920/full/0/default.jpg",jpn|~|chi,,,,,,,,"Richard C. Rudolph East Asian Library, UCLA",,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4836,,,,,,http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fn1r89q
2997885,Work,ark:/21198/n1r89q,ark:/21198/n1mk86,,Ōri Daijō denzū yōroku | 應理大乘傳通要錄,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fsw43zc5x,,応理大乗伝通要録 [variant title]|~|Hossō Daijō denzū yōroku | 法相大乗伝通要録 [variant title]|~|Hossō: Daijō denzū yōroku: jōge | 法相: 大乘傳通要錄: 上下 [title slip] ,,"Ryōhen, -1252|~|良遍, -1252",[Nara-shi] : Yakushiji Jizōin|~|[奈良市] : 藥師寺地藏院,Bunka 3 [1806]|~|文化3,1806,（刊記）「南都西京／薬師寺大蔵経板」,Essential Record of the Widespread Transmission of the Appropriate Mahāyāna,仏教ー宗派ー法相宗,,,,chi,"Jun Suzuki, no. 0093",,,"[1], 23, 25 leaves ; 261 x 180 mm",text,,Hossō (Sect)--Doctrines--History--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ8118.4 .R96 1806,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4837,right-to-left,paged,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997885,"On back of container: J 7,044; on back cover: 西讃仁保邑覚城院 仁純理玄求之",,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1mk86/manifest
3680034,Work,ark:/21198/n1r89q,ark:/21198/n1gs4h,,Himitsu mandarakyō kaien genjo ; Kyōsō taigi | 秘密曼荼羅敎開演玄叙 ; 敎相大義,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1gs4h%2Fzr288h9w,,秘密曼荼羅教開演玄叙 [variant title],,"Yūkei, fl. 1841-1846|~|宥圭, fl. 1841-1846",,Kōka 3-4 [1846-1847]|~|弘化3-4,1846/1847,（奥書）「弘化四丁未春於予州西条写得功了／西讃仁保村覚城院理玄（花押）」「同（弘化三年）六月十三日以本書写得畢／西讃仁保邑覚城御院之資仁純理玄」,"Description of profound lectures on the teachings of the esoteric mandala, with Kyōsō taigi",仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 0129",,,"20, [1], 17 leaves ; 244 x 170 mm",text,Manuscripts,Shingon (Sect)--Doctrines,"Richard C. Rudolph East Asian Library, UCLA",BQ8968.2 .Y84,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4838,right-to-left,paged,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3680034,2 inserts in the 14th and 19th leaves in the 1st work,,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1gs4h/manifest
1240878-1,Work,ark:/21198/n1r89q,ark:/21198/n1c339,,Hizō hōyaku mondanshō | 秘藏寶鑰問談鈔 [vol. 1] ,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1c339%2Fsw43zc5x,,"秘蔵宝鑰問談鈔 [variant title]|~|Hizō hōyaku mondanshō: ichi, ni, kon | 秘藏寶鑰問談鈔: 一、二、坤 [vol. 1 title slip]|~|Hōyaku mondanshō | 宝鑰問談鈔 [end title of vol. 1: pt. 2]",,"Dōhan, 1184-1252|~|道範, 1184-1252",,Meiwa 3 [1766]|~|明和3,1766,,Notes on Discussions of [Kūkai's] Hizō hōyaku,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 115",,,1 v. ; 236 x 168 mm,text,Manuscripts,"Kūkai, 774-835. Hizō hōyaku|~|空海, 774-835. 秘藏寶鑰|~|Shingon (Sect)--Doctrines--Early works to 1800","Richard C. Rudolph East Asian Library, UCLA",BQ8999.K854 H5933 1766 (v.1),public domain,http://www.library.ucla.edu/eastasian; (310) 825-4839,right-to-left,paged,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1240878,"On container: J 7,099; on cover: 讃岐 覚城院",1,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1c339/manifest
1240878-2,Work,ark:/21198/n1r89q,ark:/21198/n17892,,Hizō hōyaku mondanshō | 秘藏寶鑰問談鈔 [vol. 2] ,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn17892%2Fxj69sv05,,"秘蔵宝鑰問談鈔 [variant title]|~|Hizō hōyaku mondanshō: san, yon, ken | 秘藏寶鑰問談鈔: 三、四、乾 [vol. 2 title slip] ",,"Dōhan, 1184-1252|~|道範, 1184-1252",,Meiwa 3 [1766]|~|明和3,1766,（奥書）「明和三丙戌夏四月廿二日□南紀鈴九寺七楽院霊信師法華講談之砌同所円福蘭若所書写畢　沙門実雅」,Notes on Discussions of [Kūkai's] Hizō hōyaku,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 115",,,1 v. ; 236 x 168 mm,text,Manuscripts,"Kūkai, 774-835. Hizō hōyaku|~|空海, 774-835. 秘藏寶鑰|~|Shingon (Sect)--Doctrines--Early works to 1800","Richard C. Rudolph East Asian Library, UCLA",BQ8999.K854 H5933 1767 (v.2),public domain,http://www.library.ucla.edu/eastasian; (310) 825-4840,right-to-left,paged,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1240878,"On container: J 7,099; on cover: 讃岐 覚城院; 下巻 several postits pasted over text",2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn17892/manifest
1765607-1,Work,ark:/21198/n1r89q,ark:/21198/n13k8j,,Hōsokushū | 法則集 [vol. 1],https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn13k8j%2Fv552kf9t,,Hōsokushū: jō | 法則集: 上 [vol. 1 title slip],,"Yūkō, fl. 1671|~|宥晧, fl. 1671",[Japan : s.n.],Kanbun shingai [1671]|~|寬文辛亥,1671,,Collected ritual procedures,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 158",,,1 v. : ill. ; 271 x 195 mm,text,,Shingon (Sect)--Rituals--Texts--Early works to 1800|~|Shōmyō--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ8970.2 .H67 1671 (v.1),public domain,http://www.library.ucla.edu/eastasian; (310) 825-4841,right-to-left,paged,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1765607,"On container: J 7,098; 蔵書印: 讃別 覚城院 仁保; one loose leaf with handwriting inserted (either in v.1 or 2)",1,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn13k8j/manifest
1765607-2,Work,ark:/21198/n1r89q,ark:/21198/n1zs57,,Hōsokushū | 法則集 [vol. 2],https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F1q56rm0v,,Hōsokushū: ge | 法則集: 下 [vol. 2 title slip],,"Yūkō, fl. 1671|~|宥晧, fl. 1671",[Japan : s.n.],Kanbun shingai [1671]|~|寬文辛亥,1671,（刊記）「寬文辛亥臘月日／南山持念沙門宥晧謹計」,Collected ritual procedures,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 158",,,1 v. : ill. ; 271 x 195 mm,text,,Shingon (Sect)--Rituals--Texts--Early works to 1800|~|Shōmyō--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ8970.2 .H67 1672 (v.2),public domain,http://www.library.ucla.edu/eastasian; (310) 825-4842,right-to-left,paged,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1765607,"On container: J 7,098; 蔵書印: 讃別 覚城院 仁保; one loose leave with handwriting inserted (either in v.1 or 2)",2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1zs57/manifest
2002310,Work,ark:/21198/n1r89q,ark:/21198/n1v328,,Kotsuzui shō | 骨髓鈔,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2Ffx532f6z,,骨髓鈔 [title slip]|~|Rurai shōji no daiji | 流來生死大事 [caption title],Shūkotsu shō. Dai 10|~|宗骨抄. 第十,"Kenjin, 1192-1263|~|憲深, 1192-1263",,Hōreki 5 [1755]~|宝曆5|,1755,（奥書）「同（宝暦）五乙亥菊月廿七日書之了／宝珠山金光寺　行範」,Notes on the Essence [of Shingon Teachings],仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 140",,,[10] leaves ; 240 x 173 mm,text,Manuscripts,Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ8968 .K463 1755,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4843,right-to-left,paged,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2002310,On a piece of sheet on front cover: 観瑞行範,,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1v328/manifest
2471672,Work,ark:/21198/n1r89q,ark:/21198/n1q90b,,Mitsurin yozai | 密林餘材,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fhc14pc37,,,,,,[18--?],1801/1900,,Excess Materials [from the] Secret Forest,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 151",,,[81] leaves ; 260 x 193 mm,text,Manuscripts,Tantric Buddhism--Doctrines,"Richard C. Rudolph East Asian Library, UCLA",BQ8915.2 .M58,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4844,right-to-left,paged,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2471672,On front and back covers: 蔵書印: 讃別 覚城院 仁保,,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1q90b/manifest
3680644,Work,ark:/21198/n1r89q,ark:/21198/n1kk7h,,Mitsuzō yōgi | 密藏要義,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F1p20nc27,,Mitsuzō yōgi: zen | 密藏要義: 全 [cover],,"Yūzen, fl. 1398|~|宥全, fl. 1398",,Kōka 4 [1847]|~|弘化4,1847,（奥書）「干時弘化四丁未八月十日於播州加東郡稲実山神咒寺以件本写得畢西讃州仁保村覚城院理玄仁純（花押）」,Essential Meaning of the Esoteric Canon,仏教ー宗派ー真言宗,,,,jpn,"Jun Suzuki, no. 122",,,"[1], 66, leaves ; 247 x 172 mm",text,Manuscripts,Tantric Buddhism--Doctrines--Early works to 1800|~|Shingon (Sect)--Doctrines--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ8918 .Y89 1847,public domain,http://www.library.ucla.edu/eastasian; (310) 825-4845,right-to-left,paged,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3680644,On front cover: 仁純所秘; on back cover: 西讃仁保覚城院□□,,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1kk7h/manifest
