Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Name.subject,Relation.isPartOf,Subject,Name.collector,Name.repository,Description.contents,Relation.box,Relation.subseries,Relation.file,Relation.series,Alt ID.local,Title,Date.creation,Description.note,Description.condition,Format.extent,Language,AltTitle.other,Description.abstract,Date.normalized,Opac url,Finding Aid URL
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz0008c2pw,,2,Completed,Collection,,,,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Duncan, Isadora,---1877-1927---Archives","Howard Holtzman Collection on Isadora Duncan (Collection 1729). UCLA Library Special Collections, Charles E. Young Research Library.",Dancers---Archival resources,"Holtzman, Howard","University of California, Los Angeles. Library. Department of Special Collections",,,,,,Collection 1729,Howard Holtzman Collection on Isadora Duncan ca. 1878-1990,circa 1878-1990,"Isadora Duncan (1877-1927) was a modern dance pioneer influenced by Walt Whitman, Emerson and American Transcendentalism. She first gained recognition and support for her work after moving to London (1899). In 1904, she met Edward Gordon Craig, and they worked and toured together for three years. Later, she opened a school of dance for children in Bellevue near Paris (1914), and another in Moscow (1921). She continued to dance until her accidental death in 1927. Howard M. Holtzman (1921-1990) was a poet, lawyer and collector. His interest in Isadora Duncan began when he read her memoirs and sought to explore and document the influence of her artistic expression on the history of art. Recognizing the role that certain relationships, both personal and artistic, came to play in shaping her artistic development, Holtzman collected materials that reflect others' influences on Isadora, documented the impressions of many people who had seen her perform, and acquired the Edward Gordon Craig material in this collection. The collection consists of Isadora Duncan's business and personal papers, primary writings, and material about her. There are also materials by and about Edward Gordon Craig, Raymond Duncan, and Ellen Terry. Materials include dance programs, business correspondence, writings by Isadora Duncan, photographs, objets d'art created by her brother Raymond, research materials compiled by her biographer, Allan Ross Macdougall and collector Howard Holtzman, correspondence between Howard Holtzman and Irma Duncan, and programs and photographs of other dancers who influenced or were influenced by Isadora Duncan.",,,,Howard Holtzman Collection on Isadora Duncan,"Howard M. Holtzman (1921-1990) was a poet, lawyer and collector. His interest in Isadora Duncan began when he read her memoirs and sought to explore and document the influence of her artistic expression on the history of art. For the next 32 years, he collected materials by and about Isadora Duncan. Recognizing the role that certain relationships, both personal and artistic, came to play in shaping her artistic development, Holtzman acquired the Edward Gordon Craig material in this collection. For the performing arts, the transition from the 19th to the 20th century was a change from the pictorial and romantic to a more architectural and impressionistic framework. Craig's work in the theatre and Duncan's in dance promoted these developments, and their collaborative works were considered revolutionary. Ellen Terry, Craig's mother and a famous Shakespearean actress, was a model for both of them as her artistic interests incorporated theatre, dance, music, and the visual arts and architecture. Holtzman conducted extensive research and collected materials that reflect others' influences on Isadora, and documented the impressions of many people who had seen her perform.",1877/1990,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckjq,ark:/21198/zz0008c2pw,2,Completed,Work,,1070,,,,,paged,,,,copyrighted,,,,,,,"Box Office Statements, 1905|~|7",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f07|~|002-027-01,"Kassenrapport, 1905 Febrary 27",[1905 February 27],"Cash report, no date, with pencilled calculations in upper left.","Folded horizontally, with 2 holes punched along left edge.","Print, 1 leaf (1 page), with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckk7,ark:/21198/zz0008c2pw,2,Completed,Work,,1080,,,,,paged,,,,copyrighted,,,,,,,"8|~|Box Office Statements, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f08|~|002-031-02,"Borderel, 1906 April 14",4/14/1906,"Summary of intended expenditures, dated 14 April 1906, for guest performance by Isadora Duncan.","Folded horizontally, with 4 holes punched along horlizontal fold.","Print, 1 leaf (1 page), with manuscript annotations.",dut,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckmr,ark:/21198/zz0008c2pw,2,Completed,Work,,2010,,,,,paged,,,,copyrighted,,,,,,,"10|~|Guest Book, 1914",2,"2. Personal Papers, 1898-1926",,1. Isadora Duncan,uclamss_1729_b02_f10|~|007-001,"Bellevue guestbook, 1914-1922",1914 February 17 - 1922,"Bound book containing signatures of prominent visitors to Isadora Duncan's dance school at Bellvue, including Auguste Rodin, Cecile Sorel, Gabriele d'Annunzio, Preston Sturges and others.|~|This is a Goldoni Book, from the Gordon Craig School for the Art of the Theatre, Florence.  Boards wrapped in block print decorated paper, hand sewn.  Front hinge is broken.",Front hinge is broken.,"Hand made guest book, with ink stains.",,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckn8,ark:/21198/zz0008c2pw,2,Completed,Work,,6010,,,,,paged,,,,copyrighted,,,,,,,"1|~|Image of Isadora Duncan, ca. 1903",6,"2. Personal Papers, 1898-1926",,1. Isadora Duncan,uclamss_1729_b06_f01|~|180-001,"Isadora Duncan at the base of the Erechtheum, Athens, 1903",1903,Photograph.,,b/w.  Image:  31.2 x 21.0 cm.   Framed.,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckps,ark:/21198/zz0008c2pw,2,Completed,Work,,6011,,,,,paged,,,,copyrighted,,,,,,,"10|~|Image of Isadora Duncan, 1912",6,"2. Personal Papers, 1898-1926",,1. Isadora Duncan,uclamss_1729_b06_f10|~|191-001,"Isadora Duncan with Spanish shawl, 1912",1912,Photograph.  Isadora Duncan reclining with embroidered and fringed shawl draped across her.,,b/w.  Image:  19.1 x 23.6 cm.,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckq9,ark:/21198/zz0008c2pw,2,Completed,Work,,3020,,,,,paged,,,,copyrighted,,,,,,,"2|~|Correspondence and notes compiled by Allan Ross Macdougall for his biography, Isadora, a Revolutionary in Art and Love 1903-1956",3,3. Primary Writings about Isadora Duncan,,1. Isadora Duncan,uclamss_1729_b03_f02|~|021-414,"Letter to ""Allan Macdougall,"" 1952 March 25",3/25/1952,,,"Typescript, leaf (1 page),  signed, with holograph note.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcksb,ark:/21198/zz0008c2pw,2,Completed,Work,,160,,,,,paged,,,,copyrighted,,,,,,,"Box Office Statements, 1904-1905|~|6",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f06|~|002-008,"Billetenpreissspecification für Tanzabend Miss Duncan, 1904 August 19",8/19/1904,"Ticket price specifications for a dance performance by Isadora Duncan, dated 19 August 1904.|~|With manusccript note, ""Saalspläne unter vekomandirte Kreusband.""",5 holes punched along left edge.,"Print, 1 leaf (4 pages), folded,  with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcktv,ark:/21198/zz0008c2pw,2,Completed,Work,,170,,,,,paged,,,,copyrighted,,,,,,,"Box Office Statements, 1905|~|7",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f07|~|002-018,"Billet-Afregning, 1905 April",April 1905,"Ticket statement for performances  by Isadora Duncan on 23 and 25 April, dated 26 April 1905.","Folded, with 4 holes punched along vertical fold.","Print, 1 leaf (1 page), with manuscript annotations.",dan,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckvc,ark:/21198/zz0008c2pw,2,Completed,Work,,1,,,,,paged,,,,copyrighted,,,,,,,"8|~|Box Office Statements, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f08|~|002-022,"[Price list for tickets], 1906 November 24",11/24/1906,"Price list for tickets addressed to Direktion Vereinigter Künste for an unspecified performance by Isadora Duncan, dated 24 November 1906, signed by A. [illegible], representative for Der Vorstand Der Warschauer Philharmonie.","Folded, with 3 holes punched along left center edge.  Pages 1 and 3 folded in lower right corners.","Typescript on Zarzad Filharmonii Warszawskiej letterhead, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
