Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,Thumbnail,Item Sequence,Contents note,Date.normalized,Format.extent,Genre,Language,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject topic,volume | issue,IIIF Manifest URL
Work,Cuba y América 1897-04-01,bncjm_cubayamerica_18970401,ark:/21198/z1h15ftx,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95nj6,,,1897-04-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h15ftx/manifest
Work,Cuba y América 1897-04-15,bncjm_cubayamerica_18970415,ark:/21198/z1c84q25,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf37hg,,,1897-04-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c84q25/manifest
Work,Cuba y América 1897-05-01,bncjm_cubayamerica_18970501,ark:/21198/z17h3zbf,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg242f,,,1897-05-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3zbf/manifest
Work,Cuba y América 1897-05-15,bncjm_cubayamerica_18970515,ark:/21198/z13v1x00,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9q3p,,,1897-05-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v1x00/manifest
Work,Cuba y América 1897-06-01,bncjm_cubayamerica_18970601,ark:/21198/z10315bv,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8kn7,,,1897-06-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10315bv/manifest
Work,Cuba y América 1897-06-15,bncjm_cubayamerica_18970615,ark:/21198/z1vb0nx2,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r65qv,,,1897-06-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb0nx2/manifest
Work,Cuba y América 1897-07-01,bncjm_cubayamerica_18970701,ark:/21198/z1qj9x49,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs59gd,,,1897-07-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj9x49/manifest
Work,Cuba y América 1897-07-15,bncjm_cubayamerica_18970715,ark:/21198/z1ks95dz,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2wk3,,,1897-07-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks95dz/manifest
Work,Cuba y América 1897-08-01,bncjm_cubayamerica_18970801,ark:/21198/z1g18dmn,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1s1q,,,1897-08-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g18dmn/manifest
Work,Cuba y América 1897-08-15,bncjm_cubayamerica_18970815,ark:/21198/z1b87nxc,ark:/21198/z1pp1kgp|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29c50,,,1897-08-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature--Periodicals,vol. 01 | no. 10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b87nxc/manifest
